classifier_variant,benchmark,family,arm,pair_id,item_id,model,target_act,target_source,predicted_act,act_match,response_sha256
hybrid_svm,mathtutorbench_scaffolding,standard,generic,6,scaffolding-6,deepseek-v4-flash,probing,exact_human_lookup,telling,0,07e111423d8380e28997bfccd06701d473ca004c2821d28e30b68365bcf733e9
char_svm,mathtutorbench_scaffolding,standard,generic,5,scaffolding-5,deepseek-v4-flash,focus,exact_human_lookup,telling,0,383847f6d9880853fad9be11ecf7966e0c3ab3b7fc81a93befcbd244ffc3c35f
word_svm,mathtutorbench_scaffolding,standard,generic,5,scaffolding-5,deepseek-v4-flash,focus,exact_human_lookup,focus,1,383847f6d9880853fad9be11ecf7966e0c3ab3b7fc81a93befcbd244ffc3c35f
hybrid_svm,mathtutorbench_scaffolding,standard,generic,5,scaffolding-5,deepseek-v4-flash,focus,exact_human_lookup,focus,1,383847f6d9880853fad9be11ecf7966e0c3ab3b7fc81a93befcbd244ffc3c35f
char_svm,mathtutorbench_scaffolding,standard,generic,7,scaffolding-7,deepseek-v4-flash,telling,exact_human_lookup,focus,0,2ee87a938f34811ed2f93238b9abbe4385bd562d42053c5d455269cb32dfd37d
word_svm,mathtutorbench_scaffolding,standard,generic,7,scaffolding-7,deepseek-v4-flash,telling,exact_human_lookup,focus,0,2ee87a938f34811ed2f93238b9abbe4385bd562d42053c5d455269cb32dfd37d
hybrid_svm,mathtutorbench_scaffolding,standard,generic,7,scaffolding-7,deepseek-v4-flash,telling,exact_human_lookup,focus,0,2ee87a938f34811ed2f93238b9abbe4385bd562d42053c5d455269cb32dfd37d
char_svm,mathtutorbench_scaffolding,standard,generic,8,scaffolding-8,deepseek-v4-flash,telling,exact_human_lookup,generic,0,79e0422f1367b191697288a999dfa21d457cd53b2a19ec680b6f8cdefaa428da
word_svm,mathtutorbench_scaffolding,standard,generic,8,scaffolding-8,deepseek-v4-flash,telling,exact_human_lookup,generic,0,79e0422f1367b191697288a999dfa21d457cd53b2a19ec680b6f8cdefaa428da
hybrid_svm,mathtutorbench_scaffolding,standard,generic,8,scaffolding-8,deepseek-v4-flash,telling,exact_human_lookup,generic,0,79e0422f1367b191697288a999dfa21d457cd53b2a19ec680b6f8cdefaa428da
char_svm,mathtutorbench_scaffolding,standard,generic,3,scaffolding-3,deepseek-v4-flash,probing,exact_human_lookup,telling,0,b0a729bd0746607db61257d3a78794960c9cbacf34408081b45db4a9b2f2975c
word_svm,mathtutorbench_scaffolding,standard,generic,3,scaffolding-3,deepseek-v4-flash,probing,exact_human_lookup,focus,0,b0a729bd0746607db61257d3a78794960c9cbacf34408081b45db4a9b2f2975c
hybrid_svm,mathtutorbench_scaffolding,standard,generic,3,scaffolding-3,deepseek-v4-flash,probing,exact_human_lookup,telling,0,b0a729bd0746607db61257d3a78794960c9cbacf34408081b45db4a9b2f2975c
char_svm,mathtutorbench_scaffolding,standard,generic,9,scaffolding-9,deepseek-v4-flash,telling,exact_human_lookup,telling,1,34847538af3334bf4b3da83976d5e08f070c898bb6fcfd914e3c88e63f200060
word_svm,mathtutorbench_scaffolding,standard,generic,9,scaffolding-9,deepseek-v4-flash,telling,exact_human_lookup,probing,0,34847538af3334bf4b3da83976d5e08f070c898bb6fcfd914e3c88e63f200060
hybrid_svm,mathtutorbench_scaffolding,standard,generic,9,scaffolding-9,deepseek-v4-flash,telling,exact_human_lookup,telling,1,34847538af3334bf4b3da83976d5e08f070c898bb6fcfd914e3c88e63f200060
char_svm,mathtutorbench_scaffolding,standard,generic,11,scaffolding-11,deepseek-v4-flash,telling,exact_human_lookup,focus,0,5201ab49e1d00f3c06d462abab265cfd00947dcf0eeb281df4af54f45befd73d
word_svm,mathtutorbench_scaffolding,standard,generic,11,scaffolding-11,deepseek-v4-flash,telling,exact_human_lookup,focus,0,5201ab49e1d00f3c06d462abab265cfd00947dcf0eeb281df4af54f45befd73d
hybrid_svm,mathtutorbench_scaffolding,standard,generic,11,scaffolding-11,deepseek-v4-flash,telling,exact_human_lookup,focus,0,5201ab49e1d00f3c06d462abab265cfd00947dcf0eeb281df4af54f45befd73d
char_svm,mathtutorbench_scaffolding,standard,generic,12,scaffolding-12,deepseek-v4-flash,telling,exact_human_lookup,probing,0,66c18d61fcd9cff7bafd8526b914958db004a392f1b7bcabd49325be4d533834
word_svm,mathtutorbench_scaffolding,standard,generic,12,scaffolding-12,deepseek-v4-flash,telling,exact_human_lookup,focus,0,66c18d61fcd9cff7bafd8526b914958db004a392f1b7bcabd49325be4d533834
hybrid_svm,mathtutorbench_scaffolding,standard,generic,12,scaffolding-12,deepseek-v4-flash,telling,exact_human_lookup,focus,0,66c18d61fcd9cff7bafd8526b914958db004a392f1b7bcabd49325be4d533834
char_svm,mathtutorbench_scaffolding,standard,generic,13,scaffolding-13,deepseek-v4-flash,focus,exact_human_lookup,focus,1,8a1fa3ce79d14e846328cb30c8a6bfad4482e3a0b10d62b33b9260fc5a007e8a
word_svm,mathtutorbench_scaffolding,standard,generic,13,scaffolding-13,deepseek-v4-flash,focus,exact_human_lookup,focus,1,8a1fa3ce79d14e846328cb30c8a6bfad4482e3a0b10d62b33b9260fc5a007e8a
hybrid_svm,mathtutorbench_scaffolding,standard,generic,13,scaffolding-13,deepseek-v4-flash,focus,exact_human_lookup,focus,1,8a1fa3ce79d14e846328cb30c8a6bfad4482e3a0b10d62b33b9260fc5a007e8a
char_svm,mathtutorbench_scaffolding,standard,generic,14,scaffolding-14,deepseek-v4-flash,probing,exact_human_lookup,telling,0,92b278c76e743605269505734f5703acb2c5688f081fdc1a9d72679c5f6f642e
word_svm,mathtutorbench_scaffolding,standard,generic,14,scaffolding-14,deepseek-v4-flash,probing,exact_human_lookup,telling,0,92b278c76e743605269505734f5703acb2c5688f081fdc1a9d72679c5f6f642e
hybrid_svm,mathtutorbench_scaffolding,standard,generic,14,scaffolding-14,deepseek-v4-flash,probing,exact_human_lookup,telling,0,92b278c76e743605269505734f5703acb2c5688f081fdc1a9d72679c5f6f642e
char_svm,mathtutorbench_scaffolding,standard,generic,15,scaffolding-15,deepseek-v4-flash,telling,exact_human_lookup,focus,0,50306158ae26537fe4942f613aae00d253bc343655bd066bae24d08e8cf2e747
word_svm,mathtutorbench_scaffolding,standard,generic,15,scaffolding-15,deepseek-v4-flash,telling,exact_human_lookup,focus,0,50306158ae26537fe4942f613aae00d253bc343655bd066bae24d08e8cf2e747
hybrid_svm,mathtutorbench_scaffolding,standard,generic,15,scaffolding-15,deepseek-v4-flash,telling,exact_human_lookup,focus,0,50306158ae26537fe4942f613aae00d253bc343655bd066bae24d08e8cf2e747
char_svm,mathtutorbench_scaffolding,standard,generic,16,scaffolding-16,deepseek-v4-flash,probing,exact_human_lookup,telling,0,a11712f1e218f1a94ecc5a144dd5a84e06c8683dff58bea9ff7a4b6d1a41fd4f
word_svm,mathtutorbench_scaffolding,standard,generic,16,scaffolding-16,deepseek-v4-flash,probing,exact_human_lookup,telling,0,a11712f1e218f1a94ecc5a144dd5a84e06c8683dff58bea9ff7a4b6d1a41fd4f
hybrid_svm,mathtutorbench_scaffolding,standard,generic,16,scaffolding-16,deepseek-v4-flash,probing,exact_human_lookup,telling,0,a11712f1e218f1a94ecc5a144dd5a84e06c8683dff58bea9ff7a4b6d1a41fd4f
char_svm,mathtutorbench_scaffolding,standard,generic,10,scaffolding-10,deepseek-v4-flash,focus,exact_human_lookup,probing,0,481f8d17036f8feb56fff11d4b5dd3e51c5ca4a7e6ecf6b61887f8a56b7732a5
word_svm,mathtutorbench_scaffolding,standard,generic,10,scaffolding-10,deepseek-v4-flash,focus,exact_human_lookup,focus,1,481f8d17036f8feb56fff11d4b5dd3e51c5ca4a7e6ecf6b61887f8a56b7732a5
hybrid_svm,mathtutorbench_scaffolding,standard,generic,10,scaffolding-10,deepseek-v4-flash,focus,exact_human_lookup,focus,1,481f8d17036f8feb56fff11d4b5dd3e51c5ca4a7e6ecf6b61887f8a56b7732a5
char_svm,mathtutorbench_scaffolding,standard,generic,18,scaffolding-18,deepseek-v4-flash,focus,exact_human_lookup,telling,0,acb052f488d56d9968a693cdbaaa41d242d6a52235f2895bf4d62aff6efd4dd9
word_svm,mathtutorbench_scaffolding,standard,generic,18,scaffolding-18,deepseek-v4-flash,focus,exact_human_lookup,focus,1,acb052f488d56d9968a693cdbaaa41d242d6a52235f2895bf4d62aff6efd4dd9
hybrid_svm,mathtutorbench_scaffolding,standard,generic,18,scaffolding-18,deepseek-v4-flash,focus,exact_human_lookup,telling,0,acb052f488d56d9968a693cdbaaa41d242d6a52235f2895bf4d62aff6efd4dd9
char_svm,mathtutorbench_scaffolding,standard,generic,19,scaffolding-19,deepseek-v4-flash,probing,exact_human_lookup,focus,0,22ca0c994cf7460cb6fbca5c9d39a9f6679226c336adca00ebcbd9dcad2c188c
word_svm,mathtutorbench_scaffolding,standard,generic,19,scaffolding-19,deepseek-v4-flash,probing,exact_human_lookup,probing,1,22ca0c994cf7460cb6fbca5c9d39a9f6679226c336adca00ebcbd9dcad2c188c
hybrid_svm,mathtutorbench_scaffolding,standard,generic,19,scaffolding-19,deepseek-v4-flash,probing,exact_human_lookup,focus,0,22ca0c994cf7460cb6fbca5c9d39a9f6679226c336adca00ebcbd9dcad2c188c
char_svm,mathtutorbench_scaffolding,standard,generic,20,scaffolding-20,deepseek-v4-flash,focus,exact_human_lookup,telling,0,c579bde9ee0ce49dbfb383300d0a35f4863e10dbf9a16ab47468376783fb8ba1
word_svm,mathtutorbench_scaffolding,standard,generic,20,scaffolding-20,deepseek-v4-flash,focus,exact_human_lookup,focus,1,c579bde9ee0ce49dbfb383300d0a35f4863e10dbf9a16ab47468376783fb8ba1
hybrid_svm,mathtutorbench_scaffolding,standard,generic,20,scaffolding-20,deepseek-v4-flash,focus,exact_human_lookup,focus,1,c579bde9ee0ce49dbfb383300d0a35f4863e10dbf9a16ab47468376783fb8ba1
char_svm,mathtutorbench_scaffolding,standard,generic,17,scaffolding-17,deepseek-v4-flash,probing,exact_human_lookup,telling,0,8337bbb8fd8f0464f34542b580018a9c7cecbd5ea40a64f1fb5689965413c04c
word_svm,mathtutorbench_scaffolding,standard,generic,17,scaffolding-17,deepseek-v4-flash,probing,exact_human_lookup,telling,0,8337bbb8fd8f0464f34542b580018a9c7cecbd5ea40a64f1fb5689965413c04c
hybrid_svm,mathtutorbench_scaffolding,standard,generic,17,scaffolding-17,deepseek-v4-flash,probing,exact_human_lookup,telling,0,8337bbb8fd8f0464f34542b580018a9c7cecbd5ea40a64f1fb5689965413c04c
char_svm,mathtutorbench_scaffolding,standard,generic,23,scaffolding-23,deepseek-v4-flash,focus,exact_human_lookup,focus,1,58991ec6e26d23d5ed1a39d6eef40c68c8e29a10657be9a780615c1926b21888
word_svm,mathtutorbench_scaffolding,standard,generic,23,scaffolding-23,deepseek-v4-flash,focus,exact_human_lookup,focus,1,58991ec6e26d23d5ed1a39d6eef40c68c8e29a10657be9a780615c1926b21888
hybrid_svm,mathtutorbench_scaffolding,standard,generic,23,scaffolding-23,deepseek-v4-flash,focus,exact_human_lookup,focus,1,58991ec6e26d23d5ed1a39d6eef40c68c8e29a10657be9a780615c1926b21888
char_svm,mathtutorbench_scaffolding,standard,generic,21,scaffolding-21,deepseek-v4-flash,probing,exact_human_lookup,focus,0,e5e6c772ebe4a8c24c8aee8ebc9afb4a395b715b22413afd84c6a77df2166062
word_svm,mathtutorbench_scaffolding,standard,generic,21,scaffolding-21,deepseek-v4-flash,probing,exact_human_lookup,focus,0,e5e6c772ebe4a8c24c8aee8ebc9afb4a395b715b22413afd84c6a77df2166062
hybrid_svm,mathtutorbench_scaffolding,standard,generic,21,scaffolding-21,deepseek-v4-flash,probing,exact_human_lookup,focus,0,e5e6c772ebe4a8c24c8aee8ebc9afb4a395b715b22413afd84c6a77df2166062
char_svm,mathtutorbench_scaffolding,standard,generic,22,scaffolding-22,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f1f01db7f16f634f21a2955128defd35ee941b853db7cb12c721a5da89b1baf0
word_svm,mathtutorbench_scaffolding,standard,generic,22,scaffolding-22,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f1f01db7f16f634f21a2955128defd35ee941b853db7cb12c721a5da89b1baf0
hybrid_svm,mathtutorbench_scaffolding,standard,generic,22,scaffolding-22,deepseek-v4-flash,focus,exact_human_lookup,probing,0,f1f01db7f16f634f21a2955128defd35ee941b853db7cb12c721a5da89b1baf0
char_svm,mathtutorbench_scaffolding,standard,generic,24,scaffolding-24,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f340620c0d19dc9839d7aa3f80c58d811158c576d279dfb26aac9769a79aec66
word_svm,mathtutorbench_scaffolding,standard,generic,24,scaffolding-24,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f340620c0d19dc9839d7aa3f80c58d811158c576d279dfb26aac9769a79aec66
hybrid_svm,mathtutorbench_scaffolding,standard,generic,24,scaffolding-24,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f340620c0d19dc9839d7aa3f80c58d811158c576d279dfb26aac9769a79aec66
char_svm,mathtutorbench_scaffolding,standard,generic,26,scaffolding-26,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f7936cfcc2d38a5e5f4d3d769cbdad6fa5bbb5c99a48a79155ca6724b762d9d3
word_svm,mathtutorbench_scaffolding,standard,generic,26,scaffolding-26,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f7936cfcc2d38a5e5f4d3d769cbdad6fa5bbb5c99a48a79155ca6724b762d9d3
hybrid_svm,mathtutorbench_scaffolding,standard,generic,26,scaffolding-26,deepseek-v4-flash,focus,exact_human_lookup,focus,1,f7936cfcc2d38a5e5f4d3d769cbdad6fa5bbb5c99a48a79155ca6724b762d9d3
char_svm,mathtutorbench_scaffolding,standard,generic,27,scaffolding-27,deepseek-v4-flash,focus,exact_human_lookup,probing,0,aee4f600b3811ffc6bb93b38e9ec8e392a280efdaf938dc19bfd0dca8eb277d2
word_svm,mathtutorbench_scaffolding,standard,generic,27,scaffolding-27,deepseek-v4-flash,focus,exact_human_lookup,telling,0,aee4f600b3811ffc6bb93b38e9ec8e392a280efdaf938dc19bfd0dca8eb277d2
hybrid_svm,mathtutorbench_scaffolding,standard,generic,27,scaffolding-27,deepseek-v4-flash,focus,exact_human_lookup,probing,0,aee4f600b3811ffc6bb93b38e9ec8e392a280efdaf938dc19bfd0dca8eb277d2
char_svm,mathtutorbench_scaffolding,standard,generic,2,scaffolding-2,deepseek-v4-flash,telling,exact_human_lookup,telling,1,69e94192a2ac55cbe56e818d8b2af3edca4cf2789dd8a260da3efea51a528e0b
word_svm,mathtutorbench_scaffolding,standard,generic,2,scaffolding-2,deepseek-v4-flash,telling,exact_human_lookup,telling,1,69e94192a2ac55cbe56e818d8b2af3edca4cf2789dd8a260da3efea51a528e0b
hybrid_svm,mathtutorbench_scaffolding,standard,generic,2,scaffolding-2,deepseek-v4-flash,telling,exact_human_lookup,telling,1,69e94192a2ac55cbe56e818d8b2af3edca4cf2789dd8a260da3efea51a528e0b
char_svm,mathtutorbench_scaffolding,standard,generic,29,scaffolding-29,deepseek-v4-flash,focus,exact_human_lookup,focus,1,30ae208ec65f799b93ba1869de28291fadf7fd518d8f242f89546bfb5a613e5f
word_svm,mathtutorbench_scaffolding,standard,generic,29,scaffolding-29,deepseek-v4-flash,focus,exact_human_lookup,focus,1,30ae208ec65f799b93ba1869de28291fadf7fd518d8f242f89546bfb5a613e5f
hybrid_svm,mathtutorbench_scaffolding,standard,generic,29,scaffolding-29,deepseek-v4-flash,focus,exact_human_lookup,focus,1,30ae208ec65f799b93ba1869de28291fadf7fd518d8f242f89546bfb5a613e5f
char_svm,mathtutorbench_scaffolding,standard,generic,28,scaffolding-28,deepseek-v4-flash,focus,exact_human_lookup,focus,1,e70fbeccfae333baa76ea194d01ae4677f63217b6b68876a14fec9665c883c6a
word_svm,mathtutorbench_scaffolding,standard,generic,28,scaffolding-28,deepseek-v4-flash,focus,exact_human_lookup,focus,1,e70fbeccfae333baa76ea194d01ae4677f63217b6b68876a14fec9665c883c6a
hybrid_svm,mathtutorbench_scaffolding,standard,generic,28,scaffolding-28,deepseek-v4-flash,focus,exact_human_lookup,focus,1,e70fbeccfae333baa76ea194d01ae4677f63217b6b68876a14fec9665c883c6a
char_svm,mathtutorbench_scaffolding,standard,generic,30,scaffolding-30,deepseek-v4-flash,focus,exact_human_lookup,telling,0,96da4746277a15756ef2283b43dcb0862b73e62cf79c8196e1379470c3ad4e37
word_svm,mathtutorbench_scaffolding,standard,generic,30,scaffolding-30,deepseek-v4-flash,focus,exact_human_lookup,focus,1,96da4746277a15756ef2283b43dcb0862b73e62cf79c8196e1379470c3ad4e37
hybrid_svm,mathtutorbench_scaffolding,standard,generic,30,scaffolding-30,deepseek-v4-flash,focus,exact_human_lookup,telling,0,96da4746277a15756ef2283b43dcb0862b73e62cf79c8196e1379470c3ad4e37
char_svm,mathtutorbench_scaffolding,standard,generic,31,scaffolding-31,deepseek-v4-flash,focus,exact_human_lookup,telling,0,f30fb4f3816e61f2324ece62f11f8033eba56dbfc3a6794562e74c824446e7ca
word_svm,mathtutorbench_scaffolding,standard,generic,31,scaffolding-31,deepseek-v4-flash,focus,exact_human_lookup,probing,0,f30fb4f3816e61f2324ece62f11f8033eba56dbfc3a6794562e74c824446e7ca
hybrid_svm,mathtutorbench_scaffolding,standard,generic,31,scaffolding-31,deepseek-v4-flash,focus,exact_human_lookup,telling,0,f30fb4f3816e61f2324ece62f11f8033eba56dbfc3a6794562e74c824446e7ca
char_svm,mathtutorbench_scaffolding,standard,generic,32,scaffolding-32,deepseek-v4-flash,focus,exact_human_lookup,focus,1,a8b38e2df5377a41cedbfb4f5514f865de1b996a890ee37133e713ca5f105ac0
word_svm,mathtutorbench_scaffolding,standard,generic,32,scaffolding-32,deepseek-v4-flash,focus,exact_human_lookup,telling,0,a8b38e2df5377a41cedbfb4f5514f865de1b996a890ee37133e713ca5f105ac0
hybrid_svm,mathtutorbench_scaffolding,standard,generic,32,scaffolding-32,deepseek-v4-flash,focus,exact_human_lookup,probing,0,a8b38e2df5377a41cedbfb4f5514f865de1b996a890ee37133e713ca5f105ac0
char_svm,mathtutorbench_scaffolding,standard,generic,33,scaffolding-33,deepseek-v4-flash,probing,exact_human_lookup,focus,0,6b6e002e0e914982114a4d08e7abb385a72a294d9eb48be9e741ebbb76f314ec
word_svm,mathtutorbench_scaffolding,standard,generic,33,scaffolding-33,deepseek-v4-flash,probing,exact_human_lookup,focus,0,6b6e002e0e914982114a4d08e7abb385a72a294d9eb48be9e741ebbb76f314ec
hybrid_svm,mathtutorbench_scaffolding,standard,generic,33,scaffolding-33,deepseek-v4-flash,probing,exact_human_lookup,focus,0,6b6e002e0e914982114a4d08e7abb385a72a294d9eb48be9e741ebbb76f314ec
char_svm,mathtutorbench_scaffolding,standard,generic,35,scaffolding-35,deepseek-v4-flash,probing,exact_human_lookup,focus,0,a97a8f8beacc1e881ee9d9c8874e5a1c112c8f3951381e3671614cdd60767b43
word_svm,mathtutorbench_scaffolding,standard,generic,35,scaffolding-35,deepseek-v4-flash,probing,exact_human_lookup,focus,0,a97a8f8beacc1e881ee9d9c8874e5a1c112c8f3951381e3671614cdd60767b43
hybrid_svm,mathtutorbench_scaffolding,standard,generic,35,scaffolding-35,deepseek-v4-flash,probing,exact_human_lookup,focus,0,a97a8f8beacc1e881ee9d9c8874e5a1c112c8f3951381e3671614cdd60767b43
char_svm,mathtutorbench_scaffolding,standard,generic,34,scaffolding-34,deepseek-v4-flash,focus,exact_human_lookup,focus,1,899f26685ac841f950e31655aaf41480b514d6850738abfb110da60402f9399a
word_svm,mathtutorbench_scaffolding,standard,generic,34,scaffolding-34,deepseek-v4-flash,focus,exact_human_lookup,focus,1,899f26685ac841f950e31655aaf41480b514d6850738abfb110da60402f9399a
hybrid_svm,mathtutorbench_scaffolding,standard,generic,34,scaffolding-34,deepseek-v4-flash,focus,exact_human_lookup,focus,1,899f26685ac841f950e31655aaf41480b514d6850738abfb110da60402f9399a
char_svm,mathtutorbench_scaffolding,standard,generic,37,scaffolding-37,deepseek-v4-flash,focus,exact_human_lookup,focus,1,249bad8954613ffff68139aa4f120ec99de1a9758b5e9f51cceb817a6b664ff5
word_svm,mathtutorbench_scaffolding,standard,generic,37,scaffolding-37,deepseek-v4-flash,focus,exact_human_lookup,focus,1,249bad8954613ffff68139aa4f120ec99de1a9758b5e9f51cceb817a6b664ff5
hybrid_svm,mathtutorbench_scaffolding,standard,generic,37,scaffolding-37,deepseek-v4-flash,focus,exact_human_lookup,focus,1,249bad8954613ffff68139aa4f120ec99de1a9758b5e9f51cceb817a6b664ff5
char_svm,mathtutorbench_scaffolding,standard,generic,39,scaffolding-39,deepseek-v4-flash,focus,exact_human_lookup,telling,0,dc17c86b09f3c48ae53200b4d28ef97a2dd52baf93e0c57ece2058caaedbd088
word_svm,mathtutorbench_scaffolding,standard,generic,39,scaffolding-39,deepseek-v4-flash,focus,exact_human_lookup,probing,0,dc17c86b09f3c48ae53200b4d28ef97a2dd52baf93e0c57ece2058caaedbd088
hybrid_svm,mathtutorbench_scaffolding,standard,generic,39,scaffolding-39,deepseek-v4-flash,focus,exact_human_lookup,telling,0,dc17c86b09f3c48ae53200b4d28ef97a2dd52baf93e0c57ece2058caaedbd088
char_svm,mathtutorbench_scaffolding,standard,generic,38,scaffolding-38,deepseek-v4-flash,focus,exact_human_lookup,telling,0,954834cedef3ec4bd431ec17858cef1535ac4dcd16df7feda9905b72352ce121
word_svm,mathtutorbench_scaffolding,standard,generic,38,scaffolding-38,deepseek-v4-flash,focus,exact_human_lookup,telling,0,954834cedef3ec4bd431ec17858cef1535ac4dcd16df7feda9905b72352ce121
hybrid_svm,mathtutorbench_scaffolding,standard,generic,38,scaffolding-38,deepseek-v4-flash,focus,exact_human_lookup,telling,0,954834cedef3ec4bd431ec17858cef1535ac4dcd16df7feda9905b72352ce121
char_svm,mathtutorbench_scaffolding,standard,generic,40,scaffolding-40,deepseek-v4-flash,probing,exact_human_lookup,focus,0,7b2e38c7d9e275d1304bdd13ef5e7523879319d633f3e936f325e341e6a6ee88
word_svm,mathtutorbench_scaffolding,standard,generic,40,scaffolding-40,deepseek-v4-flash,probing,exact_human_lookup,focus,0,7b2e38c7d9e275d1304bdd13ef5e7523879319d633f3e936f325e341e6a6ee88
hybrid_svm,mathtutorbench_scaffolding,standard,generic,40,scaffolding-40,deepseek-v4-flash,probing,exact_human_lookup,focus,0,7b2e38c7d9e275d1304bdd13ef5e7523879319d633f3e936f325e341e6a6ee88
char_svm,mathtutorbench_scaffolding,standard,generic,36,scaffolding-36,deepseek-v4-flash,focus,exact_human_lookup,telling,0,ad55e340657a852cf4d0f8e086d8fcc0124f0a9cd9926425513a3a89634374d1
word_svm,mathtutorbench_scaffolding,standard,generic,36,scaffolding-36,deepseek-v4-flash,focus,exact_human_lookup,focus,1,ad55e340657a852cf4d0f8e086d8fcc0124f0a9cd9926425513a3a89634374d1
hybrid_svm,mathtutorbench_scaffolding,standard,generic,36,scaffolding-36,deepseek-v4-flash,focus,exact_human_lookup,telling,0,ad55e340657a852cf4d0f8e086d8fcc0124f0a9cd9926425513a3a89634374d1
char_svm,mathtutorbench_scaffolding,standard,generic,41,scaffolding-41,deepseek-v4-flash,probing,exact_human_lookup,probing,1,4909277f025a319c966ca81b3b6b9c8b62a933d8f2c4262f81067cfaa2f1c540
word_svm,mathtutorbench_scaffolding,standard,generic,41,scaffolding-41,deepseek-v4-flash,probing,exact_human_lookup,focus,0,4909277f025a319c966ca81b3b6b9c8b62a933d8f2c4262f81067cfaa2f1c540
hybrid_svm,mathtutorbench_scaffolding,standard,generic,41,scaffolding-41,deepseek-v4-flash,probing,exact_human_lookup,focus,0,4909277f025a319c966ca81b3b6b9c8b62a933d8f2c4262f81067cfaa2f1c540
char_svm,mathtutorbench_scaffolding,standard,generic,43,scaffolding-43,deepseek-v4-flash,probing,exact_human_lookup,focus,0,04d2a4ac498845d9d5bced27ab8b4fb92bf7b64028ae1cfed0f357a686fe3153
word_svm,mathtutorbench_scaffolding,standard,generic,43,scaffolding-43,deepseek-v4-flash,probing,exact_human_lookup,focus,0,04d2a4ac498845d9d5bced27ab8b4fb92bf7b64028ae1cfed0f357a686fe3153
hybrid_svm,mathtutorbench_scaffolding,standard,generic,43,scaffolding-43,deepseek-v4-flash,probing,exact_human_lookup,focus,0,04d2a4ac498845d9d5bced27ab8b4fb92bf7b64028ae1cfed0f357a686fe3153
char_svm,mathtutorbench_scaffolding,standard,generic,42,scaffolding-42,deepseek-v4-flash,probing,exact_human_lookup,telling,0,74cce68af4cbb1a48d6d1cc127212fbf589eb8ce57bdd70a25861886b9e4573a
word_svm,mathtutorbench_scaffolding,standard,generic,42,scaffolding-42,deepseek-v4-flash,probing,exact_human_lookup,telling,0,74cce68af4cbb1a48d6d1cc127212fbf589eb8ce57bdd70a25861886b9e4573a
hybrid_svm,mathtutorbench_scaffolding,standard,generic,42,scaffolding-42,deepseek-v4-flash,probing,exact_human_lookup,telling,0,74cce68af4cbb1a48d6d1cc127212fbf589eb8ce57bdd70a25861886b9e4573a
