pair_id,delta,task,model,dimension
232,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
246,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
247,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
252,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
274,1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
277,-1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
28,-1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
29,1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
315,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
326,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
33,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
39,-1.0,mathdial_hard,deepseek-v4-pro,autonomy_support
42,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
46,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
5,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
51,0.0,mathdial_hard,deepseek-v4-pro,autonomy_support
71,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
75,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
77,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
80,2.0,mathdial_hard,deepseek-v4-pro,autonomy_support
83,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
89,3.0,mathdial_hard,deepseek-v4-pro,autonomy_support
0,1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
104,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
112,1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
12,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
130,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
134,1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
140,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
155,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
160,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
165,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
172,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
177,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
181,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
183,1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
202,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
211,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
215,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
219,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
232,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
246,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
247,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
252,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
274,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
277,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
28,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
29,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
315,1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
326,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
33,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
39,0.0,mathdial_hard,deepseek-v4-pro,cognitive_load
42,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
46,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
5,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
51,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
71,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
75,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
77,-2.0,mathdial_hard,deepseek-v4-pro,cognitive_load
80,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
83,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
89,-1.0,mathdial_hard,deepseek-v4-pro,cognitive_load
0,3.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
104,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
112,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
12,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
130,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
134,2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
140,-4.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
155,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
160,2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
165,-4.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
172,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
177,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
181,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
183,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
202,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
211,1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
215,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
219,-4.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
232,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
246,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
247,2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
252,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
274,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
277,1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
28,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
29,1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
315,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
326,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
33,1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
39,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
42,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
46,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
5,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
51,0.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
71,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
75,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
77,-4.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
80,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
83,-1.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
89,-2.0,mathdial_hard,deepseek-v4-pro,diagnostic_specificity
0,0.0,mathdial_hard,deepseek-v4-pro,elicitation
104,4.0,mathdial_hard,deepseek-v4-pro,elicitation
112,4.0,mathdial_hard,deepseek-v4-pro,elicitation
12,1.0,mathdial_hard,deepseek-v4-pro,elicitation
130,0.0,mathdial_hard,deepseek-v4-pro,elicitation
134,0.0,mathdial_hard,deepseek-v4-pro,elicitation
140,1.0,mathdial_hard,deepseek-v4-pro,elicitation
155,4.0,mathdial_hard,deepseek-v4-pro,elicitation
160,4.0,mathdial_hard,deepseek-v4-pro,elicitation
165,4.0,mathdial_hard,deepseek-v4-pro,elicitation
172,3.0,mathdial_hard,deepseek-v4-pro,elicitation
177,2.0,mathdial_hard,deepseek-v4-pro,elicitation
181,4.0,mathdial_hard,deepseek-v4-pro,elicitation
183,2.0,mathdial_hard,deepseek-v4-pro,elicitation
202,0.0,mathdial_hard,deepseek-v4-pro,elicitation
211,-1.0,mathdial_hard,deepseek-v4-pro,elicitation
215,0.0,mathdial_hard,deepseek-v4-pro,elicitation
219,0.0,mathdial_hard,deepseek-v4-pro,elicitation
232,4.0,mathdial_hard,deepseek-v4-pro,elicitation
246,4.0,mathdial_hard,deepseek-v4-pro,elicitation
247,3.0,mathdial_hard,deepseek-v4-pro,elicitation
252,0.0,mathdial_hard,deepseek-v4-pro,elicitation
274,1.0,mathdial_hard,deepseek-v4-pro,elicitation
277,-1.0,mathdial_hard,deepseek-v4-pro,elicitation
28,0.0,mathdial_hard,deepseek-v4-pro,elicitation
29,4.0,mathdial_hard,deepseek-v4-pro,elicitation
315,2.0,mathdial_hard,deepseek-v4-pro,elicitation
326,0.0,mathdial_hard,deepseek-v4-pro,elicitation
33,2.0,mathdial_hard,deepseek-v4-pro,elicitation
39,0.0,mathdial_hard,deepseek-v4-pro,elicitation
42,4.0,mathdial_hard,deepseek-v4-pro,elicitation
46,4.0,mathdial_hard,deepseek-v4-pro,elicitation
5,3.0,mathdial_hard,deepseek-v4-pro,elicitation
51,-1.0,mathdial_hard,deepseek-v4-pro,elicitation
71,4.0,mathdial_hard,deepseek-v4-pro,elicitation
75,4.0,mathdial_hard,deepseek-v4-pro,elicitation
77,3.0,mathdial_hard,deepseek-v4-pro,elicitation
80,4.0,mathdial_hard,deepseek-v4-pro,elicitation
83,4.0,mathdial_hard,deepseek-v4-pro,elicitation
89,4.0,mathdial_hard,deepseek-v4-pro,elicitation
0,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
104,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
112,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
12,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
130,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
134,-1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
140,2.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
155,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
160,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
165,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
172,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
177,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
181,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
183,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
202,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
211,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
215,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
219,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
232,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
246,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
247,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
252,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
274,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
277,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
28,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
29,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
315,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
326,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
33,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
39,-1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
42,1.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
46,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
5,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
51,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
71,2.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
75,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
77,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
80,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
83,0.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
89,-2.0,mathdial_hard,deepseek-v4-pro,epistemic_caution
0,1.0,mathdial_hard,deepseek-v4-pro,help_directness
104,-4.0,mathdial_hard,deepseek-v4-pro,help_directness
112,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
12,0.0,mathdial_hard,deepseek-v4-pro,help_directness
130,-1.0,mathdial_hard,deepseek-v4-pro,help_directness
134,0.0,mathdial_hard,deepseek-v4-pro,help_directness
140,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
155,-4.0,mathdial_hard,deepseek-v4-pro,help_directness
160,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
165,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
172,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
177,0.0,mathdial_hard,deepseek-v4-pro,help_directness
181,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
183,-1.0,mathdial_hard,deepseek-v4-pro,help_directness
202,0.0,mathdial_hard,deepseek-v4-pro,help_directness
211,1.0,mathdial_hard,deepseek-v4-pro,help_directness
215,-1.0,mathdial_hard,deepseek-v4-pro,help_directness
219,0.0,mathdial_hard,deepseek-v4-pro,help_directness
232,-1.0,mathdial_hard,deepseek-v4-pro,help_directness
246,-4.0,mathdial_hard,deepseek-v4-pro,help_directness
247,-1.0,mathdial_hard,deepseek-v4-pro,help_directness
252,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
274,0.0,mathdial_hard,deepseek-v4-pro,help_directness
277,0.0,mathdial_hard,deepseek-v4-pro,help_directness
28,0.0,mathdial_hard,deepseek-v4-pro,help_directness
29,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
315,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
326,0.0,mathdial_hard,deepseek-v4-pro,help_directness
33,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
39,0.0,mathdial_hard,deepseek-v4-pro,help_directness
42,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
46,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
5,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
51,-2.0,mathdial_hard,deepseek-v4-pro,help_directness
71,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
75,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
77,-4.0,mathdial_hard,deepseek-v4-pro,help_directness
80,-1.0,mathdial_hard,deepseek-v4-pro,help_directness
83,-4.0,mathdial_hard,deepseek-v4-pro,help_directness
89,-3.0,mathdial_hard,deepseek-v4-pro,help_directness
0,0.0,mathdial_hard,deepseek-v4-pro,personalization
104,0.0,mathdial_hard,deepseek-v4-pro,personalization
112,0.0,mathdial_hard,deepseek-v4-pro,personalization
12,0.0,mathdial_hard,deepseek-v4-pro,personalization
130,0.0,mathdial_hard,deepseek-v4-pro,personalization
134,2.0,mathdial_hard,deepseek-v4-pro,personalization
140,0.0,mathdial_hard,deepseek-v4-pro,personalization
155,0.0,mathdial_hard,deepseek-v4-pro,personalization
160,0.0,mathdial_hard,deepseek-v4-pro,personalization
165,-1.0,mathdial_hard,deepseek-v4-pro,personalization
172,0.0,mathdial_hard,deepseek-v4-pro,personalization
177,0.0,mathdial_hard,deepseek-v4-pro,personalization
181,0.0,mathdial_hard,deepseek-v4-pro,personalization
183,0.0,mathdial_hard,deepseek-v4-pro,personalization
202,-2.0,mathdial_hard,deepseek-v4-pro,personalization
211,0.0,mathdial_hard,deepseek-v4-pro,personalization
215,0.0,mathdial_hard,deepseek-v4-pro,personalization
219,0.0,mathdial_hard,deepseek-v4-pro,personalization
232,2.0,mathdial_hard,deepseek-v4-pro,personalization
246,0.0,mathdial_hard,deepseek-v4-pro,personalization
247,0.0,mathdial_hard,deepseek-v4-pro,personalization
252,0.0,mathdial_hard,deepseek-v4-pro,personalization
274,1.0,mathdial_hard,deepseek-v4-pro,personalization
277,0.0,mathdial_hard,deepseek-v4-pro,personalization
28,0.0,mathdial_hard,deepseek-v4-pro,personalization
29,0.0,mathdial_hard,deepseek-v4-pro,personalization
315,0.0,mathdial_hard,deepseek-v4-pro,personalization
326,0.0,mathdial_hard,deepseek-v4-pro,personalization
33,0.0,mathdial_hard,deepseek-v4-pro,personalization
39,0.0,mathdial_hard,deepseek-v4-pro,personalization
42,0.0,mathdial_hard,deepseek-v4-pro,personalization
46,-1.0,mathdial_hard,deepseek-v4-pro,personalization
5,0.0,mathdial_hard,deepseek-v4-pro,personalization
51,0.0,mathdial_hard,deepseek-v4-pro,personalization
71,0.0,mathdial_hard,deepseek-v4-pro,personalization
75,0.0,mathdial_hard,deepseek-v4-pro,personalization
77,0.0,mathdial_hard,deepseek-v4-pro,personalization
80,0.0,mathdial_hard,deepseek-v4-pro,personalization
83,0.0,mathdial_hard,deepseek-v4-pro,personalization
89,0.0,mathdial_hard,deepseek-v4-pro,personalization
0,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
104,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
112,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
12,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
130,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
134,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
140,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
155,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
160,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
165,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
172,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
177,2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
181,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
183,-3.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
202,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
211,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
215,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
219,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
232,-4.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
246,1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
247,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
252,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
274,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
277,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
28,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
29,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
315,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
326,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
33,1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
39,1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
42,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
46,1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
5,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
51,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
71,0.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
75,-1.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
77,-3.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
80,2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
83,-3.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
89,-2.0,mathdial_hard,doubao-seed-2.0-pro,affective_warmth
0,1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
104,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
112,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
12,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
130,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
134,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
140,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
155,4.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
160,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
165,1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
172,-2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
177,1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
181,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
183,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
202,-1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
211,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
215,-1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
219,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
232,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
246,0.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
247,0.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
252,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
274,-1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
277,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
28,-1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
29,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
315,0.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
326,-2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
33,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
39,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
42,4.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
46,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
5,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
51,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
71,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
75,2.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
77,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
80,1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
83,1.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
89,3.0,mathdial_hard,doubao-seed-2.0-pro,autonomy_support
0,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
104,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
112,1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
12,-1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
130,0.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
134,-1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
140,0.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
155,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
160,-1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
165,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
172,0.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
177,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
181,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
183,0.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
202,1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
211,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
215,-1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
219,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
232,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
246,1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
247,0.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
252,-1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
274,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
277,-1.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
28,-2.0,mathdial_hard,doubao-seed-2.0-pro,cognitive_load
