task,model,dimension,paired_contexts,generic_mean,pedagogy_mean,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,positive_fraction,negative_fraction,bh_q_within_task
mathdial_hard,glm-5.2,help_directness,40,3.075,2.475,-0.6,-0.5,-1.0,-0.175,0.013492731048379794,0.175,0.5,0.025906043612889205
mathdial_hard,glm-5.2,personalization,40,3.0,3.0,0.0,0.0,-0.15,0.125,1.0,0.075,0.05,1.0
mathdial_hard,minimax-m2.7,affective_warmth,40,2.275,2.625,0.35,0.0,-0.075,0.775,0.07552149909614185,0.4,0.325,0.1245742072793578
mathdial_hard,minimax-m2.7,autonomy_support,40,1.475,2.925,1.45,2.0,1.025,1.825,5.1936177498723715e-06,0.8,0.075,2.010899073662355e-05
mathdial_hard,minimax-m2.7,cognitive_load,40,2.425,1.65,-0.775,-1.0,-1.075,-0.475,0.00010561639481803071,0.075,0.55,0.0002668203658560776
mathdial_hard,minimax-m2.7,diagnostic_specificity,40,2.925,2.475,-0.45,0.0,-0.95,0.05,0.09244481232246622,0.3,0.425,0.13866721848369934
mathdial_hard,minimax-m2.7,elicitation,40,1.5,4.175,2.675,3.5,2.125,3.175,2.7076991590380797e-07,0.825,0.05,5.836903160295026e-06
mathdial_hard,minimax-m2.7,epistemic_caution,40,1.125,1.275,0.15,0.0,-0.1,0.375,0.22994905679421362,0.15,0.025,0.29831228989519604
mathdial_hard,minimax-m2.7,help_directness,40,4.6,2.65,-1.95,-2.0,-2.45,-1.4,4.164751721051693e-06,0.075,0.8,1.8173462055498294e-05
mathdial_hard,minimax-m2.7,personalization,40,2.8,2.925,0.125,0.0,-0.075,0.325,0.25963977138128647,0.125,0.05,0.3195566417000449
mathdial_hard,minimax-m3,affective_warmth,40,2.9,2.7,-0.2,0.0,-0.600625,0.175,0.255481686327905,0.275,0.35,0.3195566417000449
mathdial_hard,minimax-m3,autonomy_support,40,1.45,2.9,1.45,2.0,1.025,1.85,3.656493380390761e-06,0.675,0.05,1.7551168225875655e-05
mathdial_hard,minimax-m3,cognitive_load,40,2.625,1.65,-0.975,-1.0,-1.25,-0.7,7.280076242864409e-06,0.075,0.725,2.1866530078751306e-05
mathdial_hard,minimax-m3,diagnostic_specificity,40,3.5,3.0,-0.5,-0.5,-1.0,-0.025,0.05875293780321101,0.25,0.5,0.10071932194836174
mathdial_hard,minimax-m3,elicitation,40,1.5,3.8,2.3,2.0,1.825,2.775,8.16599112754873e-07,0.775,0.0,7.839351482446781e-06
mathdial_hard,minimax-m3,epistemic_caution,40,1.125,1.325,0.2,0.0,0.0,0.4,0.07816272961838779,0.275,0.075,0.1245742072793578
mathdial_hard,minimax-m3,help_directness,40,4.5,2.6,-1.9,-2.0,-2.35,-1.425,3.191313513954072e-06,0.025,0.725,1.7551168225875655e-05
mathdial_hard,minimax-m3,personalization,40,2.95,3.0,0.05,0.0,-0.05,0.15,0.31731050786291415,0.075,0.025,0.37148547261999704
mathdial_hard,qwen3.5-4b,affective_warmth,40,3.175,2.8,-0.375,-0.5,-0.725,0.0,0.054222462441754785,0.2,0.5,0.09639548878534185
mathdial_hard,qwen3.5-4b,autonomy_support,40,1.4,2.9,1.5,2.0,1.15,1.85,1.680039414802738e-06,0.8,0.025,1.3440315318421904e-05
mathdial_hard,qwen3.5-4b,cognitive_load,40,2.05,1.525,-0.525,0.0,-0.75,-0.275,0.0004576862564938309,0.05,0.45,0.0010984470155851942
mathdial_hard,qwen3.5-4b,diagnostic_specificity,40,3.175,2.975,-0.2,0.0,-0.625,0.25,0.39890391540270764,0.25,0.3,0.4351679077120447
mathdial_hard,qwen3.5-4b,elicitation,40,1.25,3.45,2.2,2.0,1.7993750000000002,2.575,3.6480644751843914e-07,0.825,0.0,5.836903160295026e-06
mathdial_hard,qwen3.5-4b,epistemic_caution,40,1.15,1.375,0.225,0.0,0.0,0.45,0.08045417553458524,0.25,0.075,0.1245742072793578
mathdial_hard,qwen3.5-4b,help_directness,40,3.925,2.7,-1.225,-1.5,-1.600625,-0.825,7.288843359583769e-06,0.075,0.65,2.1866530078751306e-05
mathdial_hard,qwen3.5-4b,personalization,40,2.85,2.95,0.1,0.0,-0.075,0.275,0.27948536825112646,0.125,0.025,0.33538244190135175
mathdial_standard,deepseek-v4-pro,affective_warmth,79,2.4683544303797467,2.367088607594937,-0.10126582278481013,0.0,-0.35443037974683544,0.13924050632911392,0.3964259577127357,0.22784810126582278,0.26582278481012656,0.4136618689176373
mathdial_standard,deepseek-v4-pro,autonomy_support,79,2.2658227848101267,3.481012658227848,1.2151898734177216,1.0,0.8987341772151899,1.5063291139240507,4.67613036847625e-09,0.6962025316455697,0.11392405063291139,1.4028391105428749e-08
mathdial_standard,deepseek-v4-pro,cognitive_load,79,1.9620253164556962,1.3417721518987342,-0.620253164556962,-1.0,-0.8354430379746836,-0.4050632911392405,3.8424248116895926e-06,0.0759493670886076,0.5063291139240507,7.3774556384440175e-06
mathdial_standard,deepseek-v4-pro,diagnostic_specificity,79,3.8734177215189876,3.189873417721519,-0.6835443037974683,-1.0,-0.9113924050632911,-0.45569620253164556,2.2906509328360747e-06,0.08860759493670886,0.5443037974683544,4.581301865672149e-06
mathdial_standard,deepseek-v4-pro,elicitation,79,2.4430379746835444,4.620253164556962,2.1772151898734178,2.0,1.7974683544303798,2.518987341772152,4.304593142686964e-12,0.7848101265822784,0.02531645569620253,2.5827558856121784e-11
mathdial_standard,deepseek-v4-pro,epistemic_caution,79,1.3544303797468353,1.7848101265822784,0.43037974683544306,0.0,0.17721518987341772,0.6708860759493671,0.00035289595575536823,0.43037974683544306,0.12658227848101267,0.0005646335292085891
mathdial_standard,deepseek-v4-pro,help_directness,79,3.329113924050633,1.9367088607594938,-1.3924050632911393,-1.0,-1.6962025316455696,-1.0886075949367089,5.07907160546705e-10,0.06329113924050633,0.6582278481012658,1.7413959790172742e-09
mathdial_standard,deepseek-v4-pro,personalization,79,2.848101265822785,2.8607594936708862,0.012658227848101266,0.0,-0.11392405063291139,0.12689873417721348,0.8540760609934533,0.0759493670886076,0.06329113924050633,0.8540760609934533
mathdial_standard,doubao-seed-2.0-pro,affective_warmth,79,3.9240506329113924,3.5063291139240507,-0.4177215189873418,0.0,-0.620253164556962,-0.189873417721519,0.00040148459159888644,0.17721518987341772,0.4810126582278481,0.0006216535611853726
mathdial_standard,doubao-seed-2.0-pro,autonomy_support,79,1.7088607594936709,3.6582278481012658,1.9493670886075949,2.0,1.620253164556962,2.278481012658228,7.920048501004831e-12,0.8354430379746836,0.0759493670886076,3.456021164074835e-11
mathdial_standard,doubao-seed-2.0-pro,cognitive_load,79,2.3037974683544302,1.1772151898734178,-1.1265822784810127,-1.0,-1.3037974683544304,-0.9367088607594937,6.443165857087669e-12,0.012658227848101266,0.759493670886076,3.4363551237800906e-11
mathdial_standard,doubao-seed-2.0-pro,diagnostic_specificity,79,3.7468354430379747,2.7721518987341773,-0.9746835443037974,-1.0,-1.2661392405063292,-0.6708860759493671,4.3532349924298765e-07,0.11392405063291139,0.6582278481012658,9.085012158114525e-07
mathdial_standard,doubao-seed-2.0-pro,elicitation,79,1.7088607594936709,4.8734177215189876,3.1645569620253164,4.0,2.848101265822785,3.4683544303797467,1.4689860150867258e-14,0.8860759493670886,0.012658227848101266,3.5255664362081416e-13
mathdial_standard,doubao-seed-2.0-pro,epistemic_caution,79,1.0759493670886076,1.5443037974683544,0.46835443037974683,0.0,0.2911392405063291,0.6582278481012658,2.0931752303518936e-05,0.3924050632911392,0.05063291139240506,3.464565898513479e-05
mathdial_standard,doubao-seed-2.0-pro,help_directness,79,3.8987341772151898,1.5822784810126582,-2.3164556962025316,-2.0,-2.6202531645569622,-2.0253164556962027,4.867154790957124e-13,0.0,0.8607594936708861,3.893723832765699e-12
mathdial_standard,doubao-seed-2.0-pro,personalization,79,3.0,2.8860759493670884,-0.11392405063291139,0.0,-0.21518987341772153,-0.02531645569620253,0.029303072040448363,0.02531645569620253,0.11392405063291139,0.03701440678793477
mathdial_standard,glm-5.2,affective_warmth,79,3.1772151898734178,2.962025316455696,-0.21518987341772153,0.0,-0.4936708860759494,0.05063291139240506,0.13934796546614078,0.24050632911392406,0.3291139240506329,0.15555121726452922
mathdial_standard,glm-5.2,autonomy_support,79,2.962025316455696,3.481012658227848,0.5189873417721519,1.0,0.16455696202531644,0.8354430379746836,0.005048692468211602,0.5189873417721519,0.25316455696202533,0.006731589957615469
mathdial_standard,glm-5.2,cognitive_load,79,1.9240506329113924,1.2911392405063291,-0.6329113924050633,-1.0,-0.810126582278481,-0.4430379746835443,1.371118643629654e-07,0.06329113924050633,0.569620253164557,3.133985471153495e-07
mathdial_standard,glm-5.2,diagnostic_specificity,79,3.6582278481012658,3.1265822784810124,-0.5316455696202531,0.0,-0.8227848101265823,-0.25316455696202533,0.0007142193101008134,0.17721518987341772,0.45569620253164556,0.00107132896515122
mathdial_standard,glm-5.2,elicitation,79,3.2658227848101267,4.632911392405063,1.3670886075949367,1.0,0.9746835443037974,1.7471518987341754,6.149714401862818e-08,0.569620253164557,0.0759493670886076,1.6127707457902818e-07
mathdial_standard,glm-5.2,epistemic_caution,79,1.1518987341772151,1.7215189873417722,0.569620253164557,0.0,0.3291139240506329,0.7974683544303798,9.171831221550216e-06,0.4810126582278481,0.06329113924050633,1.6360826148116886e-05
mathdial_standard,glm-5.2,help_directness,79,2.9746835443037973,1.8734177215189873,-1.1012658227848102,-1.0,-1.3670886075949367,-0.8354430379746836,3.250399924575538e-09,0.06329113924050633,0.6582278481012658,1.040127975864172e-08
mathdial_standard,glm-5.2,personalization,79,2.8860759493670884,2.949367088607595,0.06329113924050633,0.0,-0.06329113924050633,0.20253164556962025,0.2932642351386824,0.08860759493670886,0.06329113924050633,0.31281518414792786
mathdial_standard,minimax-m2.7,affective_warmth,79,2.4556962025316458,3.1012658227848102,0.6455696202531646,1.0,0.3667721518987342,0.8987341772151899,1.4272543101510877e-05,0.5063291139240507,0.0759493670886076,2.4467216745447218e-05
mathdial_standard,minimax-m2.7,autonomy_support,79,1.1898734177215189,3.0759493670886076,1.8860759493670887,2.0,1.6835443037974684,2.0759493670886076,2.2363755978891932e-14,0.9493670886075949,0.0,3.578200956622709e-13
mathdial_standard,minimax-m2.7,cognitive_load,79,2.607594936708861,1.620253164556962,-0.9873417721518988,-1.0,-1.240506329113924,-0.7341772151898734,8.644139528990599e-09,0.06329113924050633,0.6329113924050633,2.4406982199502864e-08
mathdial_standard,minimax-m2.7,diagnostic_specificity,79,3.4936708860759493,2.632911392405063,-0.8607594936708861,-1.0,-1.1898734177215189,-0.5439873417721537,9.202964708315749e-06,0.16455696202531644,0.5189873417721519,1.6360826148116886e-05
mathdial_standard,minimax-m2.7,elicitation,79,1.1139240506329113,4.3164556962025316,3.2025316455696204,4.0,2.9746835443037973,3.4050632911392404,5.2115161315932764e-15,0.9746835443037974,0.012658227848101266,2.501527743164773e-13
mathdial_standard,minimax-m2.7,epistemic_caution,79,1.1898734177215189,1.5569620253164558,0.3670886075949367,0.0,0.1518987341772152,0.5822784810126582,0.00133692558977795,0.3670886075949367,0.06329113924050633,0.0018874243620394591
mathdial_standard,minimax-m2.7,help_directness,79,4.6835443037974684,2.4556962025316458,-2.2278481012658227,-2.0,-2.4936708860759493,-1.9493670886075949,1.753865420648273e-13,0.012658227848101266,0.9113924050632911,2.104638504777928e-12
mathdial_standard,minimax-m2.7,personalization,79,2.632911392405063,2.810126582278481,0.17721518987341772,0.0,0.0379746835443038,0.31645569620253167,0.017756032985644134,0.189873417721519,0.0759493670886076,0.023034853602997795
mathdial_standard,minimax-m3,affective_warmth,79,3.2278481012658227,3.0126582278481013,-0.21518987341772153,0.0,-0.4177215189873418,-0.012658227848101266,0.060833555904317084,0.16455696202531644,0.35443037974683544,0.07300026708518051
mathdial_standard,minimax-m3,autonomy_support,79,1.759493670886076,3.4050632911392404,1.6455696202531647,2.0,1.3417721518987342,1.9620253164556962,2.8570591559252208e-11,0.7974683544303798,0.08860759493670886,1.1428236623700883e-10
mathdial_standard,minimax-m3,cognitive_load,79,2.4430379746835444,1.620253164556962,-0.8227848101265823,-1.0,-1.0506329113924051,-0.5949367088607594,7.762370732148286e-08,0.12658227848101267,0.6962025316455697,1.8629689757155887e-07
mathdial_standard,minimax-m3,diagnostic_specificity,79,3.607594936708861,3.329113924050633,-0.27848101265822783,0.0,-0.6075949367088608,0.05063291139240506,0.08989357457611857,0.22784810126582278,0.4177215189873418,0.10273551380127836
mathdial_standard,minimax-m3,elicitation,79,1.9240506329113924,4.3924050632911396,2.4683544303797467,3.0,2.1012658227848102,2.8354430379746836,1.1262530366978015e-12,0.8227848101265823,0.05063291139240506,7.722877965927782e-12
mathdial_standard,minimax-m3,epistemic_caution,79,1.1772151898734178,1.8734177215189873,0.6962025316455697,1.0,0.4810126582278481,0.9240506329113924,2.3057610864877155e-07,0.5443037974683544,0.05063291139240506,5.030751461427743e-07
mathdial_standard,minimax-m3,help_directness,79,4.139240506329114,1.9873417721518987,-2.151898734177215,-3.0,-2.5063291139240507,-1.7974683544303798,7.40742636934344e-12,0.05063291139240506,0.7848101265822784,3.456021164074835e-11
mathdial_standard,minimax-m3,personalization,79,2.8227848101265822,2.8987341772151898,0.0759493670886076,0.0,0.0,0.16455696202531644,0.0832645166635504,0.08860759493670886,0.02531645569620253,0.09748040975244926
mathdial_standard,qwen3.5-4b,affective_warmth,79,3.278481012658228,3.0126582278481013,-0.26582278481012656,0.0,-0.5063291139240507,-0.03765822784810299,0.03682888158413793,0.20253164556962025,0.4177215189873418,0.04532785425740053
mathdial_standard,qwen3.5-4b,autonomy_support,79,1.5949367088607596,2.9367088607594938,1.3417721518987342,1.0,1.0632911392405062,1.5949367088607596,7.762777483215206e-11,0.759493670886076,0.06329113924050633,2.866256301494845e-10
mathdial_standard,qwen3.5-4b,cognitive_load,79,1.9240506329113924,1.5569620253164558,-0.3670886075949367,0.0,-0.569620253164557,-0.16455696202531644,0.0012593392441563303,0.13924050632911392,0.4050632911392405,0.0018317661733182986
mathdial_standard,qwen3.5-4b,diagnostic_specificity,79,3.430379746835443,3.392405063291139,-0.0379746835443038,0.0,-0.3291139240506329,0.26582278481012656,0.7246722429429888,0.35443037974683544,0.3037974683544304,0.7400908013034779
mathdial_standard,qwen3.5-4b,elicitation,79,1.4303797468354431,3.8734177215189876,2.4430379746835444,3.0,2.151582278481013,2.721518987341772,2.264510645298336e-13,0.8987341772151899,0.012658227848101266,2.1739302194864025e-12
mathdial_standard,qwen3.5-4b,epistemic_caution,79,1.1898734177215189,1.5316455696202531,0.34177215189873417,0.0,0.13924050632911392,0.5319620253164539,0.0016169013933844704,0.35443037974683544,0.06329113924050633,0.0022174647680701307
mathdial_standard,qwen3.5-4b,help_directness,79,3.6455696202531644,2.5822784810126582,-1.0632911392405062,-1.0,-1.3544303797468353,-0.759493670886076,6.383884202086532e-08,0.11392405063291139,0.6582278481012658,1.6127707457902818e-07
mathdial_standard,qwen3.5-4b,personalization,79,2.8354430379746836,2.911392405063291,0.0759493670886076,0.0,-0.02531645569620253,0.17721518987341772,0.15333049284635678,0.10126582278481013,0.05063291139240506,0.16726962855966193
