event,comparison,arm,dimension,value,answers,weighted_gain_change
affect_acknowledgement,conditional,implicit,model,MiniMax-M3,256,-0.00538189609841022
affect_acknowledgement,conditional,implicit,model,deepseek-v4-pro,256,-0.013470027127206644
affect_acknowledgement,conditional,implicit,model,doubao-seed-2.0-lite,256,-0.0037036531099606347
affect_acknowledgement,conditional,implicit,model,glm-5.3,256,0.003328756099905391
affect_acknowledgement,conditional,implicit,domain,language,320,-0.005497937175720752
affect_acknowledgement,conditional,implicit,domain,logic_and_data,320,-0.003342706468207372
affect_acknowledgement,conditional,implicit,domain,mathematics,320,-0.0067441400761126934
affect_acknowledgement,conditional,implicit,domain,science,320,-0.0031759439658948473
affect_acknowledgement,conditional,implicit,progress,correct_partial,640,-0.0107936495720853
affect_acknowledgement,conditional,implicit,progress,wrong_attempt,640,-0.007967078113850366
affect_acknowledgement,conditional,implicit,cue_pole,calm,640,-0.015597573350298027
affect_acknowledgement,conditional,implicit,cue_pole,frustrated,640,-0.003163154335637638
answer_reveal,default,explicit,model,MiniMax-M2.7,256,0.0002744652884995952
answer_reveal,default,explicit,model,MiniMax-M3,256,-0.0009967657120560163
answer_reveal,default,explicit,model,deepseek-v4-pro,256,0.0009912310362380531
answer_reveal,default,explicit,model,doubao-seed-2.0-lite,256,0.0
answer_reveal,default,explicit,model,glm-5.3,256,0.0016437462884382169
answer_reveal,default,explicit,domain,language,320,0.0008973768905196661
answer_reveal,default,explicit,domain,logic_and_data,320,0.004471463107158476
answer_reveal,default,explicit,domain,mathematics,320,-0.0019941218030900265
answer_reveal,default,explicit,domain,science,320,-0.0014620412934682673
answer_reveal,default,explicit,progress,correct_partial,640,-0.006102736079129702
answer_reveal,default,explicit,progress,wrong_attempt,640,0.008015412980249551
answer_reveal,default,explicit,cue_pole,calm,640,0.0012560254383271838
answer_reveal,default,explicit,cue_pole,frustrated,640,0.0006566514627926665
answer_reveal,default,implicit,model,MiniMax-M2.7,256,-3.828433738692471e-05
answer_reveal,default,implicit,model,MiniMax-M3,256,-0.00014354843273208412
answer_reveal,default,implicit,model,deepseek-v4-pro,256,-0.0034084212004250325
answer_reveal,default,implicit,model,doubao-seed-2.0-lite,256,-0.00034789614015069833
answer_reveal,default,implicit,model,glm-5.3,256,-0.009137381850011932
answer_reveal,default,implicit,domain,language,320,-0.005613159494739667
answer_reveal,default,implicit,domain,logic_and_data,320,0.0011910730486175772
answer_reveal,default,implicit,domain,mathematics,320,-0.008759984603271658
answer_reveal,default,implicit,domain,science,320,0.00010653908868707567
answer_reveal,default,implicit,progress,correct_partial,640,-0.010822713819336287
answer_reveal,default,implicit,progress,wrong_attempt,640,-0.002252818141370384
answer_reveal,default,implicit,cue_pole,calm,640,-0.004796846656432827
answer_reveal,default,implicit,cue_pole,frustrated,640,-0.008278685304273845
answer_reveal,conditional,explicit,model,MiniMax-M2.7,256,1.0645689946473316e-05
answer_reveal,conditional,explicit,model,MiniMax-M3,256,0.0002458852732502754
answer_reveal,conditional,explicit,model,deepseek-v4-pro,256,2.6754256366581103e-05
answer_reveal,conditional,explicit,model,doubao-seed-2.0-lite,256,0.0
answer_reveal,conditional,explicit,model,glm-5.3,256,0.000329435596423263
answer_reveal,conditional,explicit,domain,language,320,-0.00014851732137647738
answer_reveal,conditional,explicit,domain,logic_and_data,320,0.00024056908944063772
answer_reveal,conditional,explicit,domain,mathematics,320,9.814547957468978e-05
answer_reveal,conditional,explicit,domain,science,320,0.00042252356834774274
answer_reveal,conditional,explicit,progress,correct_partial,640,0.00038931668512362034
answer_reveal,conditional,explicit,progress,wrong_attempt,640,0.0002234041308629725
answer_reveal,conditional,explicit,cue_pole,calm,640,0.0002914451019709128
answer_reveal,conditional,explicit,cue_pole,frustrated,640,0.00032127571401568
answer_reveal,conditional,implicit,model,MiniMax-M2.7,256,-5.77527078989299e-05
answer_reveal,conditional,implicit,model,MiniMax-M3,256,-0.00020943945260668093
answer_reveal,conditional,implicit,model,deepseek-v4-pro,256,-8.978249579499279e-05
answer_reveal,conditional,implicit,model,doubao-seed-2.0-lite,256,-4.63330302758469e-06
answer_reveal,conditional,implicit,model,glm-5.3,256,0.0005777035984333289
answer_reveal,conditional,implicit,domain,language,320,0.00023914348063277228
answer_reveal,conditional,implicit,domain,logic_and_data,320,1.8531735637354088e-05
answer_reveal,conditional,implicit,domain,mathematics,320,0.0002066557070064655
answer_reveal,conditional,implicit,domain,science,320,-0.0002482352841714513
answer_reveal,conditional,implicit,progress,correct_partial,640,0.0001684845169654191
answer_reveal,conditional,implicit,progress,wrong_attempt,640,4.7611122139721475e-05
answer_reveal,conditional,implicit,cue_pole,calm,640,-7.088466567841303e-05
answer_reveal,conditional,implicit,cue_pole,frustrated,640,0.0002869803047835536
reasoning_elicitation,default,explicit,model,MiniMax-M2.7,256,-8.296539316167261e-05
reasoning_elicitation,default,explicit,model,MiniMax-M3,256,0.0003507087456944404
reasoning_elicitation,default,explicit,model,deepseek-v4-pro,256,0.0017254691721762985
reasoning_elicitation,default,explicit,model,doubao-seed-2.0-lite,256,-0.002043407222160238
reasoning_elicitation,default,explicit,model,glm-5.3,256,-0.0075336824286698885
reasoning_elicitation,default,explicit,domain,language,320,0.00045822746209840117
reasoning_elicitation,default,explicit,domain,logic_and_data,320,-0.0018303731692411265
reasoning_elicitation,default,explicit,domain,mathematics,320,-0.0024667159233042277
reasoning_elicitation,default,explicit,domain,science,320,-0.0037450154956741076
reasoning_elicitation,default,explicit,progress,correct_partial,640,-0.006620088935526974
reasoning_elicitation,default,explicit,progress,wrong_attempt,640,-0.0009637881905940847
reasoning_elicitation,default,explicit,cue_pole,calm,640,-0.004339381197206811
reasoning_elicitation,default,explicit,cue_pole,frustrated,640,-0.0032444959289142502
reasoning_elicitation,default,implicit,model,MiniMax-M2.7,256,0.0009909316750044204
reasoning_elicitation,default,implicit,model,MiniMax-M3,256,0.003916383495547233
reasoning_elicitation,default,implicit,model,deepseek-v4-pro,256,-0.005681518592664676
reasoning_elicitation,default,implicit,model,doubao-seed-2.0-lite,256,-0.0016594124221301697
reasoning_elicitation,default,implicit,model,glm-5.3,256,-0.008374147981077704
reasoning_elicitation,default,implicit,domain,language,320,-0.003733742147403361
reasoning_elicitation,default,implicit,domain,logic_and_data,320,-0.001218536327654906
reasoning_elicitation,default,implicit,domain,mathematics,320,-0.00802530204104191
reasoning_elicitation,default,implicit,domain,science,320,0.0021698166907792803
reasoning_elicitation,default,implicit,progress,correct_partial,640,-0.011334683811942116
reasoning_elicitation,default,implicit,progress,wrong_attempt,640,0.0005269199866212198
reasoning_elicitation,default,implicit,cue_pole,calm,640,-0.004782492888856749
reasoning_elicitation,default,implicit,cue_pole,frustrated,640,-0.006025270936464147
reasoning_elicitation,conditional,explicit,model,MiniMax-M2.7,256,0.00016511499367785685
reasoning_elicitation,conditional,explicit,model,MiniMax-M3,256,0.00037512587954739024
reasoning_elicitation,conditional,explicit,model,deepseek-v4-pro,256,-0.00021720228815476152
reasoning_elicitation,conditional,explicit,model,doubao-seed-2.0-lite,256,0.00012702314554217717
reasoning_elicitation,conditional,explicit,model,glm-5.3,256,0.0004924641113023109
reasoning_elicitation,conditional,explicit,domain,language,320,-0.00029987856923566984
reasoning_elicitation,conditional,explicit,domain,logic_and_data,320,0.0006572469527822622
reasoning_elicitation,conditional,explicit,domain,mathematics,320,0.0002894344712231885
reasoning_elicitation,conditional,explicit,domain,science,320,0.0002957229871451929
reasoning_elicitation,conditional,explicit,progress,correct_partial,640,0.0007601043441215037
reasoning_elicitation,conditional,explicit,progress,wrong_attempt,640,0.00018242149779346985
reasoning_elicitation,conditional,explicit,cue_pole,calm,640,0.0003397496173598067
reasoning_elicitation,conditional,explicit,cue_pole,frustrated,640,0.000602776224555167
reasoning_elicitation,conditional,implicit,model,MiniMax-M2.7,256,0.00020976267348397763
reasoning_elicitation,conditional,implicit,model,MiniMax-M3,256,-0.00011656032191496098
reasoning_elicitation,conditional,implicit,model,deepseek-v4-pro,256,-0.00023238296877151543
reasoning_elicitation,conditional,implicit,model,doubao-seed-2.0-lite,256,0.00032520739100013797
reasoning_elicitation,conditional,implicit,model,glm-5.3,256,0.0004941643395173608
reasoning_elicitation,conditional,implicit,domain,language,320,-2.912211945428505e-05
reasoning_elicitation,conditional,implicit,domain,logic_and_data,320,0.0003113622467808134
reasoning_elicitation,conditional,implicit,domain,mathematics,320,0.00010907905754546075
reasoning_elicitation,conditional,implicit,domain,science,320,0.00028887192844301096
reasoning_elicitation,conditional,implicit,progress,correct_partial,640,0.0007249551724878287
reasoning_elicitation,conditional,implicit,progress,wrong_attempt,640,-4.476405917282866e-05
reasoning_elicitation,conditional,implicit,cue_pole,calm,640,0.00011369942513570264
reasoning_elicitation,conditional,implicit,cue_pole,frustrated,640,0.0005664916881792973
