model,event,arm,sources,mean_difference,source_standard_error,t_statistic,p_one_sided_gain,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,neutral_equivalence_margin,supports_neutral_equivalence,degenerate_source_interval,frozen_numerical_equivalence_flag,equivalence_support_for_narrative,interpretation_note,bounded_source_half_width,bounded_source_95_low,bounded_source_95_high,nondegenerate_t_equivalence_flag,bounded_source_equivalence_support
MiniMax-M3,reasoning_elicitation,neutral_b,16,0.046875,0.0482439007371225,0.9716254134469436,0.1733226093939227,,-0.046875,0.140625,0.0016666666666666,-0.1375119047922558,0.2312619047922558,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.8945386202923832,0.9882886202923832,False,False
deepseek-v4-pro,affect_acknowledgement,neutral_a,16,-0.0078125,0.0743625252143174,-0.1050596382718834,0.5411397578315442,,-0.1484375,0.1328125,0.0016666666666666,-0.2920240924978143,0.2763990924978143,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9492261202923832,0.9336011202923832,False,False
deepseek-v4-pro,affect_acknowledgement,neutral_b,16,0.03125,0.0516649865318218,0.6048583789091339,0.2771568432474274,,-0.0703125,0.125,0.0016666666666666,-0.1662122036606156,0.2287122036606156,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9101636202923832,0.9726636202923832,False,False
deepseek-v4-pro,answer_reveal,neutral_a,16,-0.0078125,0.0078125,-1.0,0.8334149320422618,,-0.0234375,0.0,0.0016666666666666,-0.0376716671004963,0.0220466671004963,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9492261202923832,0.9336011202923832,True,False
deepseek-v4-pro,answer_reveal,neutral_b,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.0016666666666666,0.0,0.0,0.1,True,True,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9414136202923832,0.9414136202923832,False,False
deepseek-v4-pro,reasoning_elicitation,neutral_a,16,-0.015625,0.0193480996052153,-0.8075728530872482,0.7840214595219656,,-0.0546875,0.015625,0.0016666666666666,-0.0895729218162138,0.0583229218162138,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9570386202923832,0.9257886202923832,True,False
deepseek-v4-pro,reasoning_elicitation,neutral_b,16,0.0078125,0.0179290775813109,0.4357446703305951,0.334613748647495,,-0.0234375,0.046875,0.0016666666666666,-0.06071195740264,0.07633695740264,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9336011202923832,0.9492261202923832,True,False
doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,16,0.0,0.0378456294262186,0.0,0.5,,-0.0703125,0.0703125,0.0016666666666666,-0.1446449885517981,0.1446449885517981,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9414136202923832,0.9414136202923832,False,False
doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,16,-0.0234375,0.0327131432238379,-0.7164551519745493,0.757641678525505,,-0.0859375,0.0390625,0.0016666666666666,-0.1484662628675898,0.1015912628675898,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9648511202923832,0.9179761202923832,False,False
doubao-seed-2.0-lite,answer_reveal,neutral_a,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.0016666666666666,0.0,0.0,0.1,True,True,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9414136202923832,0.9414136202923832,False,False
doubao-seed-2.0-lite,answer_reveal,neutral_b,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.0016666666666666,0.0,0.0,0.1,True,True,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9414136202923832,0.9414136202923832,False,False
doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,16,-0.0078125,0.0179290775813109,-0.4357446703305951,0.665386251352505,,-0.046875,0.0234375,0.0016666666666666,-0.07633695740264,0.06071195740264,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9492261202923832,0.9336011202923832,True,False
doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,16,-0.0078125,0.0241219503685612,-0.3238751378156478,0.624747774923299,,-0.0546875,0.03125,0.0016666666666666,-0.1000059523961279,0.0843809523961279,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9492261202923832,0.9336011202923832,False,False
glm-5.3,affect_acknowledgement,neutral_a,16,0.0703125,0.0394769678367441,1.781101838691747,0.0475754368559626,,-0.0078125,0.140625,0.0016666666666666,-0.0805674205450575,0.2211924205450575,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.8711011202923832,1.0,False,False
glm-5.3,affect_acknowledgement,neutral_b,16,0.15625,0.0541265877365274,2.886751345948129,0.0056469910282371,,0.0546875,0.2578125,0.0016666666666666,-0.0506203779589947,0.3631203779589947,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.7851636202923832,1.0,False,False
glm-5.3,answer_reveal,neutral_a,16,0.015625,0.0276581625986494,0.564932682866032,0.2902354841298238,,-0.0390625,0.0703125,0.0016666666666666,-0.0900837614368988,0.1213337614368988,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9257886202923832,0.9570386202923832,False,False
glm-5.3,answer_reveal,neutral_b,16,0.15625,0.0529101045800012,2.953122116093092,0.0049352955447041,,0.0546875,0.2578125,0.0016666666666666,-0.0459710117067509,0.3584710117067509,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.7851636202923832,1.0,False,False
glm-5.3,reasoning_elicitation,neutral_a,16,0.0234375,0.0169970509084174,1.378915679330765,0.0940685310915043,,0.0,0.0625,0.0016666666666666,-0.04152477626113,0.08839977626113,0.1,True,False,True,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9179761202923832,0.9648511202923832,True,False
glm-5.3,reasoning_elicitation,neutral_b,16,-0.0390625,0.0437778928941309,-0.8922882628103121,0.8068353852297405,,-0.125,0.0390625,0.0016666666666666,-0.2063804416618861,0.1282554416618861,0.1,False,False,False,False,Nominal paired-t output retained. Population equivalence requires the bounded-source check as well; small observed shifts alone are descriptive.,0.9414136202923832,-0.9804761202923832,0.9023511202923832,False,False
