artifact_group,event,baseline,predictions_checked,max_absolute_probability_error,reconstructed_gradient_inf,constant_training_labels,judge_panel,deleted_generator
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,1.4379641611661498e-05,False,exclude_generator_family,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,1.845197465669135e-05,False,exclude_generator_family,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,2.6067824345332724e-05,False,exclude_generator_family,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,1.921877917698822e-05,False,exclude_generator_family,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,1.3568920813611385e-06,False,exclude_generator_family,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,1.760809777895389e-05,False,exclude_generator_family,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,0.000157152588762699,False,exclude_generator_family,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,4.855833912859042e-05,False,exclude_generator_family,
judge,reasoning_elicitation,training_style_profile,1280,8.326672684688674e-17,3.817280079809748e-06,False,exclude_generator_family,
judge,affect_acknowledgement,context,1280,8.326672684688674e-17,6.12505254897755e-05,False,single_MiniMax-M3,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,9.706557369026925e-05,False,single_MiniMax-M3,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,3.6869108871684375e-05,False,single_MiniMax-M3,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,3.621878915183174e-05,False,single_MiniMax-M3,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,4.3838827997966234e-05,False,single_MiniMax-M3,
judge,answer_reveal,context,1280,0.0,1.5728016835581116e-06,False,single_MiniMax-M3,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,0.00020739410293302285,False,single_MiniMax-M3,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,3.6428931133647424e-05,False,single_MiniMax-M3,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,5.218382907379304e-05,False,single_MiniMax-M3,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,4.7959989191159735e-06,False,single_MiniMax-M3,
judge,reasoning_elicitation,context,1280,8.326672684688674e-17,1.5265973960509882e-05,False,single_MiniMax-M3,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,2.785714246655857e-05,False,single_MiniMax-M3,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,6.507789178744616e-05,False,single_MiniMax-M3,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,3.590066954473059e-05,False,single_MiniMax-M3,
judge,reasoning_elicitation,training_style_profile,1280,9.020562075079397e-17,3.83802212767792e-05,False,single_MiniMax-M3,
judge,affect_acknowledgement,context,1280,8.326672684688674e-17,2.8059956759030058e-05,False,single_deepseek-v4-pro,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,0.0001247710700975624,False,single_deepseek-v4-pro,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,2.7656780181573026e-05,False,single_deepseek-v4-pro,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,0.00020341330154227677,False,single_deepseek-v4-pro,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,2.0501753167201375e-05,False,single_deepseek-v4-pro,
judge,answer_reveal,context,1280,0.0,3.871282062473114e-06,False,single_deepseek-v4-pro,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,1.3604191896554596e-05,False,single_deepseek-v4-pro,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,4.170258060527676e-05,False,single_deepseek-v4-pro,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,3.660947395789371e-05,False,single_deepseek-v4-pro,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,4.3150186640472654e-05,False,single_deepseek-v4-pro,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,1.4002157354475742e-05,False,single_deepseek-v4-pro,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,2.019654913087976e-05,False,single_deepseek-v4-pro,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,2.1725436398556397e-05,False,single_deepseek-v4-pro,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,8.491546744970879e-05,False,single_deepseek-v4-pro,
judge,reasoning_elicitation,training_style_profile,1280,9.71445146547012e-17,4.080322657307178e-06,False,single_deepseek-v4-pro,
judge,affect_acknowledgement,context,1280,8.326672684688674e-17,1.1082201649192935e-05,False,single_glm-5.3,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,9.01099425112406e-05,False,single_glm-5.3,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,2.753137029343211e-05,False,single_glm-5.3,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,1.9483319562141332e-05,False,single_glm-5.3,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,2.463379267059196e-05,False,single_glm-5.3,
judge,answer_reveal,context,1280,0.0,3.18786870501242e-06,False,single_glm-5.3,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,5.519353280192263e-06,False,single_glm-5.3,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,2.881185281078391e-05,False,single_glm-5.3,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,2.4676490184560862e-05,False,single_glm-5.3,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,1.095880216683831e-05,False,single_glm-5.3,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,1.694080125957953e-06,False,single_glm-5.3,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,9.899748758573912e-05,False,single_glm-5.3,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,7.877779858478373e-05,False,single_glm-5.3,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,3.1384591584859844e-05,False,single_glm-5.3,
judge,reasoning_elicitation,training_style_profile,1280,9.020562075079397e-17,6.899570336171834e-07,False,single_glm-5.3,
judge,affect_acknowledgement,context,1280,1.1102230246251565e-16,5.881553099174042e-05,False,without_MiniMax-M3,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,2.9772620655066362e-05,False,without_MiniMax-M3,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,6.348315131776694e-05,False,without_MiniMax-M3,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,3.0004103523717518e-05,False,without_MiniMax-M3,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,4.799662947085892e-05,False,without_MiniMax-M3,
judge,answer_reveal,context,1280,0.0,3.5294390254847485e-06,False,without_MiniMax-M3,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,1.2770134969919411e-05,False,without_MiniMax-M3,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,4.795908458465892e-05,False,without_MiniMax-M3,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,3.319005226387617e-05,False,without_MiniMax-M3,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,1.2194599623538416e-05,False,without_MiniMax-M3,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,9.061249226505197e-07,False,without_MiniMax-M3,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,3.3125255665789055e-05,False,without_MiniMax-M3,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,2.808566013962066e-05,False,without_MiniMax-M3,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,8.430285403093762e-05,False,without_MiniMax-M3,
judge,reasoning_elicitation,training_style_profile,1280,9.71445146547012e-17,2.6081488579965395e-06,False,without_MiniMax-M3,
judge,affect_acknowledgement,context,1280,1.1102230246251565e-16,8.137293965493342e-05,False,without_deepseek-v4-pro,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,3.288140674850837e-05,False,without_deepseek-v4-pro,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,5.6683745952801345e-05,False,without_deepseek-v4-pro,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,3.2235077055187134e-05,False,without_deepseek-v4-pro,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,5.271412640972528e-05,False,without_deepseek-v4-pro,
judge,answer_reveal,context,1280,0.0,2.2605844609557835e-06,False,without_deepseek-v4-pro,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,1.7457571557244478e-05,False,without_deepseek-v4-pro,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,3.428385079162766e-05,False,without_deepseek-v4-pro,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,3.0113769511785904e-05,False,without_deepseek-v4-pro,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,6.0625923834489726e-06,False,without_deepseek-v4-pro,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,3.352290169011951e-06,False,without_deepseek-v4-pro,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,1.3185824134454016e-05,False,without_deepseek-v4-pro,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,7.955322931268993e-05,False,without_deepseek-v4-pro,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,6.972220644607674e-05,False,without_deepseek-v4-pro,
judge,reasoning_elicitation,training_style_profile,1280,9.020562075079397e-17,3.4705264237433475e-06,False,without_deepseek-v4-pro,
judge,affect_acknowledgement,context,1280,1.1102230246251565e-16,4.6691779324703475e-05,False,without_glm-5.3,
judge,affect_acknowledgement,default_profile,1280,1.1102230246251565e-16,0.00011205505375100344,False,without_glm-5.3,
judge,affect_acknowledgement,domain_profile,1280,1.1102230246251565e-16,2.9567136315300502e-05,False,without_glm-5.3,
judge,affect_acknowledgement,conditional_profile,1280,1.1102230246251565e-16,0.00011875485384127416,False,without_glm-5.3,
judge,affect_acknowledgement,training_style_profile,1280,1.1102230246251565e-16,2.791484850295234e-05,False,without_glm-5.3,
judge,answer_reveal,context,1280,0.0,2.2595469476582863e-06,False,without_glm-5.3,
judge,answer_reveal,default_profile,1280,1.1102230246251565e-16,2.2978896166314655e-05,False,without_glm-5.3,
judge,answer_reveal,domain_profile,1280,1.1102230246251565e-16,4.1881367460305796e-05,False,without_glm-5.3,
judge,answer_reveal,conditional_profile,1280,1.1102230246251565e-16,3.141180123655829e-05,False,without_glm-5.3,
judge,answer_reveal,training_style_profile,1280,1.1102230246251565e-16,1.4752096546777338e-05,False,without_glm-5.3,
judge,reasoning_elicitation,context,1280,5.551115123125783e-17,3.287989551736814e-06,False,without_glm-5.3,
judge,reasoning_elicitation,default_profile,1280,1.1102230246251565e-16,1.711992820219166e-05,False,without_glm-5.3,
judge,reasoning_elicitation,domain_profile,1280,1.1102230246251565e-16,3.274703636502174e-05,False,without_glm-5.3,
judge,reasoning_elicitation,conditional_profile,1280,1.1102230246251565e-16,6.728168796321654e-05,False,without_glm-5.3,
judge,reasoning_elicitation,training_style_profile,1280,9.020562075079397e-17,8.840301332746492e-06,False,without_glm-5.3,
deletion,affect_acknowledgement,context,1024,8.326672684688674e-17,1.976598601566293e-05,False,,MiniMax-M2.7
deletion,affect_acknowledgement,default_profile,1024,1.1102230246251565e-16,2.29480456838127e-05,False,,MiniMax-M2.7
deletion,affect_acknowledgement,domain_profile,1024,1.1102230246251565e-16,4.352743510205315e-05,False,,MiniMax-M2.7
deletion,affect_acknowledgement,conditional_profile,1024,1.1102230246251565e-16,1.683354046821961e-05,False,,MiniMax-M2.7
deletion,affect_acknowledgement,training_style_profile,1024,1.1102230246251565e-16,2.4866432197401256e-05,False,,MiniMax-M2.7
deletion,answer_reveal,context,1024,0.0,9.6601831978127e-06,False,,MiniMax-M2.7
deletion,answer_reveal,default_profile,1024,1.1102230246251565e-16,2.456989637877882e-05,False,,MiniMax-M2.7
deletion,answer_reveal,domain_profile,1024,1.1102230246251565e-16,3.3796509621986104e-06,False,,MiniMax-M2.7
deletion,answer_reveal,conditional_profile,1024,1.1102230246251565e-16,4.0800800813006743e-05,False,,MiniMax-M2.7
deletion,answer_reveal,training_style_profile,1024,1.1102230246251565e-16,4.783055723933671e-06,False,,MiniMax-M2.7
deletion,reasoning_elicitation,context,1024,5.551115123125783e-17,7.045830224150507e-06,False,,MiniMax-M2.7
deletion,reasoning_elicitation,default_profile,1024,1.1102230246251565e-16,5.316957944007106e-06,False,,MiniMax-M2.7
deletion,reasoning_elicitation,domain_profile,1024,1.1102230246251565e-16,1.4536958692745738e-05,False,,MiniMax-M2.7
deletion,reasoning_elicitation,conditional_profile,1024,1.1102230246251565e-16,3.502809230937487e-05,False,,MiniMax-M2.7
deletion,reasoning_elicitation,training_style_profile,1024,6.938893903907228e-17,1.9761691991693198e-06,False,,MiniMax-M2.7
deletion,affect_acknowledgement,context,1024,8.326672684688674e-17,3.8123825161884284e-05,False,,MiniMax-M3
deletion,affect_acknowledgement,default_profile,1024,1.1102230246251565e-16,2.3780365941750148e-05,False,,MiniMax-M3
deletion,affect_acknowledgement,domain_profile,1024,1.1102230246251565e-16,1.0999908469866426e-05,False,,MiniMax-M3
deletion,affect_acknowledgement,conditional_profile,1024,1.1102230246251565e-16,0.00013360973910625518,False,,MiniMax-M3
deletion,affect_acknowledgement,training_style_profile,1024,1.1102230246251565e-16,7.999340007192046e-05,False,,MiniMax-M3
deletion,answer_reveal,context,1024,0.0,2.931506547731999e-06,False,,MiniMax-M3
deletion,answer_reveal,default_profile,1024,1.1102230246251565e-16,8.98829859519168e-06,False,,MiniMax-M3
deletion,answer_reveal,domain_profile,1024,1.1102230246251565e-16,8.918308580074807e-06,False,,MiniMax-M3
deletion,answer_reveal,conditional_profile,1024,1.1102230246251565e-16,1.7097781486619112e-05,False,,MiniMax-M3
deletion,answer_reveal,training_style_profile,1024,1.1102230246251565e-16,2.5263169682668285e-06,False,,MiniMax-M3
deletion,reasoning_elicitation,context,1024,5.551115123125783e-17,3.644485726539415e-07,False,,MiniMax-M3
deletion,reasoning_elicitation,default_profile,1024,1.1102230246251565e-16,4.8948946061666554e-05,False,,MiniMax-M3
deletion,reasoning_elicitation,domain_profile,1024,1.1102230246251565e-16,1.5916315430408723e-05,False,,MiniMax-M3
deletion,reasoning_elicitation,conditional_profile,1024,1.1102230246251565e-16,2.575284235373232e-05,False,,MiniMax-M3
deletion,reasoning_elicitation,training_style_profile,1024,1.1102230246251565e-16,6.577360198989357e-06,False,,MiniMax-M3
deletion,affect_acknowledgement,context,1024,1.1102230246251565e-16,1.2106660416510984e-05,False,,deepseek-v4-pro
deletion,affect_acknowledgement,default_profile,1024,1.1102230246251565e-16,5.04090543446134e-06,False,,deepseek-v4-pro
deletion,affect_acknowledgement,domain_profile,1024,1.1102230246251565e-16,0.0001882767391361284,False,,deepseek-v4-pro
deletion,affect_acknowledgement,conditional_profile,1024,1.1102230246251565e-16,7.702580295054773e-05,False,,deepseek-v4-pro
deletion,affect_acknowledgement,training_style_profile,1024,1.1102230246251565e-16,2.047866881504934e-05,False,,deepseek-v4-pro
deletion,answer_reveal,context,1024,0.0,4.58372065925694e-05,False,,deepseek-v4-pro
deletion,answer_reveal,default_profile,1024,1.1102230246251565e-16,4.741582568357217e-06,False,,deepseek-v4-pro
deletion,answer_reveal,domain_profile,1024,1.1102230246251565e-16,1.240433040017308e-05,False,,deepseek-v4-pro
deletion,answer_reveal,conditional_profile,1024,1.1102230246251565e-16,3.680983967147e-05,False,,deepseek-v4-pro
deletion,answer_reveal,training_style_profile,1024,0.0,2.822131363267033e-06,False,,deepseek-v4-pro
deletion,reasoning_elicitation,context,1024,5.551115123125783e-17,1.5468464891199574e-06,False,,deepseek-v4-pro
deletion,reasoning_elicitation,default_profile,1024,1.1102230246251565e-16,2.8682981518812767e-06,False,,deepseek-v4-pro
deletion,reasoning_elicitation,domain_profile,1024,1.1102230246251565e-16,5.544922306821576e-05,False,,deepseek-v4-pro
deletion,reasoning_elicitation,conditional_profile,1024,1.1102230246251565e-16,0.00011729050168929334,False,,deepseek-v4-pro
deletion,reasoning_elicitation,training_style_profile,1024,8.326672684688674e-17,4.396247457627567e-06,False,,deepseek-v4-pro
deletion,affect_acknowledgement,context,1024,5.551115123125783e-17,1.1268538430586617e-05,False,,doubao-seed-2.0-lite
deletion,affect_acknowledgement,default_profile,1024,1.1102230246251565e-16,2.2043711591201998e-05,False,,doubao-seed-2.0-lite
deletion,affect_acknowledgement,domain_profile,1024,1.1102230246251565e-16,4.266682889686457e-05,False,,doubao-seed-2.0-lite
deletion,affect_acknowledgement,conditional_profile,1024,1.1102230246251565e-16,3.687182695033542e-05,False,,doubao-seed-2.0-lite
deletion,affect_acknowledgement,training_style_profile,1024,1.1102230246251565e-16,5.1435861099236035e-06,False,,doubao-seed-2.0-lite
deletion,answer_reveal,context,1024,0.0,4.741026990773278e-05,False,,doubao-seed-2.0-lite
deletion,answer_reveal,default_profile,1024,1.1102230246251565e-16,0.00014141746726714644,False,,doubao-seed-2.0-lite
deletion,answer_reveal,domain_profile,1024,1.1102230246251565e-16,3.555222655243773e-05,False,,doubao-seed-2.0-lite
deletion,answer_reveal,conditional_profile,1024,1.1102230246251565e-16,2.9202141584916408e-05,False,,doubao-seed-2.0-lite
deletion,answer_reveal,training_style_profile,1024,1.1102230246251565e-16,2.9958710478339423e-05,False,,doubao-seed-2.0-lite
deletion,reasoning_elicitation,context,1024,5.551115123125783e-17,2.5154479659228457e-06,False,,doubao-seed-2.0-lite
deletion,reasoning_elicitation,default_profile,1024,1.1102230246251565e-16,8.191383766842364e-06,False,,doubao-seed-2.0-lite
deletion,reasoning_elicitation,domain_profile,1024,1.1102230246251565e-16,9.020069573328904e-05,False,,doubao-seed-2.0-lite
deletion,reasoning_elicitation,conditional_profile,1024,1.1102230246251565e-16,2.6874531631193577e-05,False,,doubao-seed-2.0-lite
deletion,reasoning_elicitation,training_style_profile,1024,1.1102230246251565e-16,2.557501116884353e-06,False,,doubao-seed-2.0-lite
deletion,affect_acknowledgement,context,1024,1.1102230246251565e-16,4.306414540011794e-05,False,,glm-5.3
deletion,affect_acknowledgement,default_profile,1024,1.1102230246251565e-16,5.346932065375398e-05,False,,glm-5.3
deletion,affect_acknowledgement,domain_profile,1024,1.1102230246251565e-16,1.853447095134797e-05,False,,glm-5.3
deletion,affect_acknowledgement,conditional_profile,1024,1.1102230246251565e-16,5.4180060493180804e-05,False,,glm-5.3
deletion,affect_acknowledgement,training_style_profile,1024,1.1102230246251565e-16,1.6877416372018672e-05,False,,glm-5.3
deletion,answer_reveal,context,1024,1.1102230246251565e-16,1.4108448924687877e-06,False,,glm-5.3
deletion,answer_reveal,default_profile,1024,1.1102230246251565e-16,9.853023062333932e-06,False,,glm-5.3
deletion,answer_reveal,domain_profile,1024,1.1102230246251565e-16,9.828543386242172e-06,False,,glm-5.3
deletion,answer_reveal,conditional_profile,1024,1.1102230246251565e-16,1.9306311155986577e-05,False,,glm-5.3
deletion,answer_reveal,training_style_profile,1024,1.1102230246251565e-16,5.044607138016133e-06,False,,glm-5.3
deletion,reasoning_elicitation,context,1024,8.326672684688674e-17,9.264174628764721e-06,False,,glm-5.3
deletion,reasoning_elicitation,default_profile,1024,9.71445146547012e-17,6.227202761199813e-05,False,,glm-5.3
deletion,reasoning_elicitation,domain_profile,1024,9.367506770274758e-17,1.795071060306519e-05,False,,glm-5.3
deletion,reasoning_elicitation,conditional_profile,1024,9.367506770274758e-17,6.992696217672512e-05,False,,glm-5.3
deletion,reasoning_elicitation,training_style_profile,1024,9.71445146547012e-17,2.2353075806336165e-05,False,,glm-5.3
