group,learner_need,question_policy,answer_policy,tone_policy,n,question_first,answer_reveal_correct,warmth_marker,question_any,answer_reveal_any,word_count,char_count,sentence_count
deepseek-v4-pro,direct,question_first,withhold,neutral,8,0.875,0.0,0.0,1.0,0.0,62.25,321.5,5.75
deepseek-v4-pro,direct,question_first,withhold,warm,8,0.75,0.0,0.75,1.0,0.0,95.625,505.125,7.5
deepseek-v4-pro,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,40.625,231.25,4.0
deepseek-v4-pro,explore,explain_only,reveal,warm,8,0.0,1.0,0.625,0.0,1.0,64.125,352.25,4.875
deepseek-v4-pro,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,55.25,303.625,3.875
deepseek-v4-pro,explore,explain_only,withhold,warm,8,0.0,0.0,0.25,0.0,0.0,79.25,439.75,5.125
deepseek-v4-pro,explore,question_first,reveal,neutral,8,0.875,1.0,0.0,1.0,1.0,57.0,301.25,5.0
deepseek-v4-pro,explore,question_first,reveal,warm,8,0.875,1.0,0.375,1.0,1.0,76.75,425.0,6.125
deepseek-v4-pro,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,70.75,381.5,4.875
deepseek-v4-pro,explore,question_first,withhold,warm,8,0.375,0.0,0.625,1.0,0.0,113.75,607.125,7.625
doubao-seed-2.0-lite,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,69.0,389.125,4.5
doubao-seed-2.0-lite,direct,explain_only,reveal,warm,8,0.0,1.0,0.25,0.0,1.0,91.5,506.25,5.0
doubao-seed-2.0-lite,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,89.25,507.25,3.75
doubao-seed-2.0-lite,direct,explain_only,withhold,warm,8,0.0,0.0,0.625,0.0,0.0,109.5,631.75,4.375
doubao-seed-2.0-lite,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,88.25,480.75,6.375
doubao-seed-2.0-lite,direct,question_first,reveal,warm,8,1.0,1.0,0.625,1.0,1.0,112.75,613.75,7.25
doubao-seed-2.0-lite,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,113.625,641.75,5.125
doubao-seed-2.0-lite,direct,question_first,withhold,warm,8,1.0,0.0,0.5,1.0,0.0,141.625,782.375,6.25
doubao-seed-2.0-lite,explore,explain_only,reveal,neutral,8,0.0,0.875,0.0,0.0,1.0,53.375,307.125,4.0
doubao-seed-2.0-lite,explore,explain_only,reveal,warm,8,0.0,1.0,0.0,0.0,1.0,77.875,439.125,4.75
doubao-seed-2.0-lite,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,81.0,468.875,3.75
doubao-seed-2.0-lite,explore,explain_only,withhold,warm,8,0.0,0.0,0.5,0.0,0.0,103.75,586.25,3.875
doubao-seed-2.0-lite,explore,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,79.625,437.875,5.25
doubao-seed-2.0-lite,explore,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,104.0,568.5,6.125
doubao-seed-2.0-lite,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,90.5,508.75,4.25
doubao-seed-2.0-lite,explore,question_first,withhold,warm,8,1.0,0.0,0.875,1.0,0.0,125.25,685.875,5.375
glm-5.2,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,47.25,249.375,4.5
glm-5.2,direct,explain_only,reveal,warm,8,0.0,1.0,0.0,0.0,1.0,61.75,331.125,5.0
glm-5.2,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,59.875,327.625,4.125
glm-5.2,direct,explain_only,withhold,warm,8,0.0,0.0,0.125,0.0,0.0,76.75,420.75,4.875
glm-5.2,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,64.875,347.625,5.25
glm-5.2,direct,question_first,reveal,warm,8,0.875,1.0,0.125,1.0,1.0,76.625,404.25,6.0
glm-5.2,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,72.75,396.25,5.5
glm-5.2,direct,question_first,withhold,warm,8,1.0,0.0,0.5,1.0,0.0,90.125,489.125,5.875
glm-5.2,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,51.25,280.25,4.5
glm-5.2,explore,explain_only,reveal,warm,8,0.0,1.0,0.125,0.0,1.0,70.0,384.125,5.25
glm-5.2,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,73.375,421.375,4.375
glm-5.2,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.0,0.0,72.125,407.375,4.0
glm-5.2,explore,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,61.625,333.375,4.875
glm-5.2,explore,question_first,reveal,warm,8,1.0,1.0,0.375,1.0,1.0,90.75,481.5,6.625
glm-5.2,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,74.875,403.125,4.25
glm-5.2,explore,question_first,withhold,warm,8,1.0,0.0,0.5,1.0,0.0,98.75,530.75,6.0
