model,event,arm,sources,mean_difference,source_standard_error,t_statistic,p_one_sided_gain,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,neutral_equivalence_margin,supports_neutral_equivalence
MiniMax-M3,answer_reveal,explain,16,0.21875,0.03326816546389857,6.575355056394069,4.4014554415487365e-06,,0.15625,0.28125,0.05,0.14784058384036597,0.28965941615963403,,
MiniMax-M3,reasoning_elicitation,neutral_a,16,-0.0234375,0.0667500292602932,-0.3511234415883917,0.6348106186275799,,-0.1484375,0.1015625,0.0016666666666666668,-0.27855433553870246,0.23167933553870246,0.1,False
MiniMax-M3,reasoning_elicitation,neutral_b,16,0.046875,0.04824390073712254,0.9716254134469436,0.17332260939392277,,-0.046875,0.140625,0.0016666666666666668,-0.13751190479225586,0.23126190479225586,0.1,False
MiniMax-M3,reasoning_elicitation,ask,16,0.4375,0.057054433073454806,7.6681158050723255,7.226329362838286e-07,,0.328125,0.546875,0.05,0.3158913545534141,0.5591086454465859,,
MiniMax-M3,reasoning_elicitation,explain,16,-0.109375,0.05915529526875285,-1.84894690328381,0.9578640732170106,,-0.21875,0.0078125,0.05,-0.23546152721803762,0.01671152721803762,,
deepseek-v4-pro,affect_acknowledgement,neutral_a,16,-0.0078125,0.07436252521431745,-0.1050596382718834,0.5411397578315442,,-0.1484375,0.1328125,0.0016666666666666668,-0.29202409249781436,0.27639909249781436,0.1,False
deepseek-v4-pro,affect_acknowledgement,neutral_b,16,0.03125,0.05166498653182185,0.6048583789091339,0.2771568432474274,,-0.0703125,0.125,0.0016666666666666668,-0.16621220366061568,0.22871220366061568,0.1,False
deepseek-v4-pro,affect_acknowledgement,ask,16,-0.046875,0.07114667215220494,-0.6588502115702579,0.7400108443029538,,-0.171875,0.09375,0.05,-0.19852054202690758,0.10477054202690758,,
deepseek-v4-pro,affect_acknowledgement,explain,16,-0.125,0.0535218024111047,-2.3354968324845693,0.9830912285344613,,-0.2265625,-0.015625,0.05,-0.23907902142668924,-0.010920978573310772,,
deepseek-v4-pro,answer_reveal,neutral_a,16,-0.0078125,0.0078125,-1.0,0.8334149320422618,,-0.0234375,0.0,0.0016666666666666668,-0.03767166710049631,0.022046667100496308,0.1,True
deepseek-v4-pro,answer_reveal,neutral_b,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.0016666666666666668,0.0,0.0,0.1,True
deepseek-v4-pro,answer_reveal,ask,16,-1.0,0.0,,1.0,zero source variance; no t-test decision,-1.0,-1.0,0.05,-1.0,-1.0,,
deepseek-v4-pro,answer_reveal,explain,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.05,0.0,0.0,,
deepseek-v4-pro,reasoning_elicitation,neutral_a,16,-0.015625,0.019348099605215323,-0.8075728530872482,0.7840214595219656,,-0.0546875,0.015625,0.0016666666666666668,-0.08957292181621389,0.05832292181621389,0.1,True
deepseek-v4-pro,reasoning_elicitation,neutral_b,16,0.0078125,0.017929077581310942,0.4357446703305951,0.33461374864749505,,-0.0234375,0.046875,0.0016666666666666668,-0.06071195740264007,0.07633695740264007,0.1,True
deepseek-v4-pro,reasoning_elicitation,ask,16,0.96875,0.018042195912175804,53.6935750346352,7.270631830512461e-19,,0.9296875,1.0,0.05,0.9302939697220924,1.0072060302779076,,
deepseek-v4-pro,reasoning_elicitation,explain,16,0.0234375,0.016997050908417417,1.378915679330765,0.0940685310915043,,-0.0078125,0.0546875,0.05,-0.012790856434602683,0.05966585643460268,,
doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,16,0.0,0.03784562942621864,0.0,0.5,,-0.0703125,0.0703125,0.0016666666666666668,-0.1446449885517981,0.1446449885517981,0.1,False
doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,16,-0.0234375,0.03271314322383793,-0.7164551519745493,0.757641678525505,,-0.0859375,0.0390625,0.0016666666666666668,-0.1484662628675898,0.1015912628675898,0.1,False
doubao-seed-2.0-lite,affect_acknowledgement,ask,16,-0.109375,0.044009646196411685,-2.485250608738542,0.9873853990955724,,-0.1875,-0.0234375,0.05,-0.20317934038558821,-0.015570659614411786,,
doubao-seed-2.0-lite,affect_acknowledgement,explain,16,-0.15625,0.04192627457812106,-3.7267799624996494,0.998987528311229,,-0.234375,-0.078125,0.05,-0.24561373889655053,-0.06688626110344949,,
doubao-seed-2.0-lite,answer_reveal,neutral_a,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.0016666666666666668,0.0,0.0,0.1,True
doubao-seed-2.0-lite,answer_reveal,neutral_b,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.0016666666666666668,0.0,0.0,0.1,True
doubao-seed-2.0-lite,answer_reveal,ask,16,-1.0,0.0,,1.0,zero source variance; no t-test decision,-1.0,-1.0,0.05,-1.0,-1.0,,
doubao-seed-2.0-lite,answer_reveal,explain,16,0.0,0.0,,1.0,zero source variance; no t-test decision,0.0,0.0,0.05,0.0,0.0,,
doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,16,-0.0078125,0.017929077581310942,-0.4357446703305951,0.665386251352505,,-0.046875,0.0234375,0.0016666666666666668,-0.07633695740264007,0.06071195740264007,0.1,True
doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,16,-0.0078125,0.02412195036856127,-0.32387513781564786,0.624747774923299,,-0.0546875,0.03125,0.0016666666666666668,-0.10000595239612793,0.08438095239612793,0.1,False
doubao-seed-2.0-lite,reasoning_elicitation,ask,16,0.9609375,0.018814991529362963,51.07297011005008,1.5341595051689824e-18,,0.921875,0.9921875,0.05,0.9208342948550283,1.0010407051449717,,
doubao-seed-2.0-lite,reasoning_elicitation,explain,16,-0.0234375,0.020472129173993277,-1.1448491654582649,0.8648944678033532,,-0.0703125,0.015625,0.05,-0.067072810424549,0.020197810424549004,,
glm-5.3,affect_acknowledgement,neutral_a,16,0.0703125,0.03947696783674417,1.781101838691747,0.04757543685596265,,-0.0078125,0.140625,0.0016666666666666668,-0.08056742054505758,0.22119242054505758,0.1,False
glm-5.3,affect_acknowledgement,neutral_b,16,0.15625,0.05412658773652741,2.886751345948129,0.005646991028237198,,0.0546875,0.2578125,0.0016666666666666668,-0.05062037795899471,0.3631203779589947,0.1,False
glm-5.3,affect_acknowledgement,ask,16,-0.015625,0.029919597117385566,-0.5222329678670935,0.695432598633211,,-0.0703125,0.0390625,0.05,-0.07939711167918305,0.04814711167918305,,
glm-5.3,affect_acknowledgement,explain,16,-0.03125,0.03517071461694611,-0.8885233166386385,0.8058570494220538,,-0.1015625,0.03125,0.05,-0.10621460368730236,0.04371460368730236,,
glm-5.3,answer_reveal,neutral_a,16,0.015625,0.027658162598649488,0.564932682866032,0.29023548412982386,,-0.0390625,0.0703125,0.0016666666666666668,-0.09008376143689885,0.12133376143689885,0.1,False
glm-5.3,answer_reveal,neutral_b,16,0.15625,0.05291010458000123,2.9531221160930916,0.004935295544704121,,0.0546875,0.2578125,0.0016666666666666668,-0.04597101170675094,0.35847101170675094,0.1,False
glm-5.3,answer_reveal,ask,16,-0.2734375,0.07673237955984857,-3.5635217045071346,0.9985851787716741,,-0.4296875,-0.1328125,0.05,-0.4369886955425595,-0.10988630445744052,,
glm-5.3,answer_reveal,explain,16,0.7265625,0.07673237955984857,9.468786243404672,5.098373562844651e-08,,0.5703125,0.8671875,0.05,0.5630113044574405,0.8901136955425595,,
glm-5.3,reasoning_elicitation,neutral_a,16,0.0234375,0.016997050908417417,1.378915679330765,0.0940685310915043,,0.0,0.0625,0.0016666666666666668,-0.04152477626113002,0.08839977626113002,0.1,True
glm-5.3,reasoning_elicitation,neutral_b,16,-0.0390625,0.043777892894130935,-0.8922882628103121,0.8068353852297405,,-0.125,0.0390625,0.0016666666666666668,-0.20638044166188615,0.12825544166188615,0.1,False
glm-5.3,reasoning_elicitation,ask,16,0.046875,0.019348099605215323,2.4227185592617446,0.014264034224870839,,0.015625,0.0859375,0.05,0.00563550188901852,0.08811449811098149,,
glm-5.3,reasoning_elicitation,explain,16,-0.328125,0.06542628644767585,-5.0151860638218455,0.9999231103111712,,-0.4453125,-0.203125,0.05,-0.46757782851656243,-0.18867217148343757,,
