blind_id,event,present,unanimous,template,progress,affect,repeat,model,source_family,partition,panel,arm,lower,upper
37540fcbc506f35f7359,information_request,0,0,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,0,1
41cf7dbe7593311e1eaf,information_request,1,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,1,1
7edbfd1d7922420efb01,information_request,0,1,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,0,0
fddc15713d9544eb2fd0,information_request,0,1,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,0,0
01e7a6ef07903ca67941,learner_choice,0,1,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,0,0
357b6fe64cd5463b893f,learner_choice,0,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,0,0
37540fcbc506f35f7359,learner_choice,1,1,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,1,1
41cf7dbe7593311e1eaf,learner_choice,1,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,1,1
7edbfd1d7922420efb01,learner_choice,1,1,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,1,1
fddc15713d9544eb2fd0,learner_choice,1,1,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,1,1
01e7a6ef07903ca67941,reasoning_elicitation,1,1,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,1,1
357b6fe64cd5463b893f,reasoning_elicitation,1,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,1,1
37540fcbc506f35f7359,reasoning_elicitation,1,0,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,1,1
41cf7dbe7593311e1eaf,reasoning_elicitation,0,0,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,0,0
7edbfd1d7922420efb01,reasoning_elicitation,0,1,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,0,0
fddc15713d9544eb2fd0,reasoning_elicitation,0,0,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,0,0
01e7a6ef07903ca67941,unsupported_ability_claim,1,1,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,1,1
357b6fe64cd5463b893f,unsupported_ability_claim,0,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,0,0
37540fcbc506f35f7359,unsupported_ability_claim,0,0,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,0,1
41cf7dbe7593311e1eaf,unsupported_ability_claim,0,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,0,0
7edbfd1d7922420efb01,unsupported_ability_claim,1,0,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,1,1
fddc15713d9544eb2fd0,unsupported_ability_claim,0,1,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,0,0
01e7a6ef07903ca67941,worked_explanation,1,1,radioactive_half_life,not_started,unstated,0,MiniMax-M3,half_life,confirmation,opportunity_missing,canonical,1,1
357b6fe64cd5463b893f,worked_explanation,1,1,metaphor_identification,correct_partial,calm,1,glm-5.3,figurative_metaphor,confirmation,main,neutral_b,1,1
37540fcbc506f35f7359,worked_explanation,1,1,triangle_area,not_started,unstated,0,glm-5.3,triangle_area,confirmation,opportunity_missing,canonical,1,1
41cf7dbe7593311e1eaf,worked_explanation,1,1,gas_volume,not_started,unstated,0,doubao-seed-2.0-lite,boyles_law,confirmation,opportunity_missing,canonical,1,1
7edbfd1d7922420efb01,worked_explanation,1,1,trophic_transfer,wrong_attempt,frustrated,1,MiniMax-M3,trophic_energy_transfer,confirmation,main,canonical,1,1
fddc15713d9544eb2fd0,worked_explanation,1,1,binary_search_update,correct_partial,calm,1,MiniMax-M3,binary_search_interval,confirmation,main,canonical,1,1
