task,model,dimension,full_mean_delta,leaveout_mean_delta,excluded_judge,sign_reversal,absolute_change
mathdial_standard,qwen3.5-4b,epistemic_caution,0.34177215189873417,0.37341772151898733,MiniMax-M3,False,0.03164556962025317
mathdial_standard,qwen3.5-4b,help_directness,-1.0632911392405062,-1.1455696202531647,MiniMax-M3,False,0.08227848101265844
mathdial_standard,qwen3.5-4b,personalization,0.0759493670886076,0.0189873417721519,MiniMax-M3,False,0.056962025316455694
mathdial_hard,deepseek-v4-pro,affective_warmth,-0.025,0.025,deepseek-v4-pro,True,0.05
mathdial_hard,deepseek-v4-pro,autonomy_support,1.3,1.3125,deepseek-v4-pro,False,0.012499999999999956
mathdial_hard,deepseek-v4-pro,cognitive_load,-0.8,-0.65,deepseek-v4-pro,False,0.15000000000000002
mathdial_hard,deepseek-v4-pro,diagnostic_specificity,-0.75,-0.6625,deepseek-v4-pro,False,0.08750000000000002
mathdial_hard,deepseek-v4-pro,elicitation,2.1,2.1125,deepseek-v4-pro,False,0.012499999999999734
mathdial_hard,deepseek-v4-pro,epistemic_caution,0.2,0.35,deepseek-v4-pro,False,0.14999999999999997
mathdial_hard,deepseek-v4-pro,help_directness,-1.7,-1.5875,deepseek-v4-pro,False,0.11250000000000004
mathdial_hard,deepseek-v4-pro,personalization,0.025,0.025,deepseek-v4-pro,False,0.0
mathdial_hard,doubao-seed-2.0-pro,affective_warmth,-0.825,-0.725,deepseek-v4-pro,False,0.09999999999999998
mathdial_hard,doubao-seed-2.0-pro,autonomy_support,1.6,1.5375,deepseek-v4-pro,False,0.0625
mathdial_hard,doubao-seed-2.0-pro,cognitive_load,-1.05,-1.025,deepseek-v4-pro,False,0.025000000000000133
mathdial_hard,doubao-seed-2.0-pro,diagnostic_specificity,-0.8,-0.6,deepseek-v4-pro,False,0.20000000000000007
mathdial_hard,doubao-seed-2.0-pro,elicitation,2.85,2.7125,deepseek-v4-pro,False,0.13750000000000018
mathdial_hard,doubao-seed-2.0-pro,epistemic_caution,0.25,0.3625,deepseek-v4-pro,False,0.11249999999999999
mathdial_hard,doubao-seed-2.0-pro,help_directness,-1.875,-1.7625,deepseek-v4-pro,False,0.11250000000000004
mathdial_hard,doubao-seed-2.0-pro,personalization,-0.05,-0.075,deepseek-v4-pro,False,0.024999999999999994
mathdial_hard,glm-5.2,affective_warmth,-0.45,-0.425,deepseek-v4-pro,False,0.025000000000000022
mathdial_hard,glm-5.2,autonomy_support,0.2,0.2375,deepseek-v4-pro,False,0.03749999999999998
mathdial_hard,glm-5.2,cognitive_load,-0.2,-0.3125,deepseek-v4-pro,False,0.11249999999999999
mathdial_hard,glm-5.2,diagnostic_specificity,-0.3,-0.275,deepseek-v4-pro,False,0.024999999999999967
mathdial_hard,glm-5.2,elicitation,0.9,0.825,deepseek-v4-pro,False,0.07500000000000007
mathdial_hard,glm-5.2,epistemic_caution,0.1,0.1875,deepseek-v4-pro,False,0.0875
mathdial_hard,glm-5.2,help_directness,-0.6,-0.55,deepseek-v4-pro,False,0.04999999999999993
mathdial_hard,glm-5.2,personalization,0.0,0.0125,deepseek-v4-pro,False,0.0125
mathdial_hard,minimax-m2.7,affective_warmth,0.35,0.3625,deepseek-v4-pro,False,0.012500000000000011
mathdial_hard,minimax-m2.7,autonomy_support,1.45,1.6,deepseek-v4-pro,False,0.15000000000000013
mathdial_hard,minimax-m2.7,cognitive_load,-0.775,-0.8,deepseek-v4-pro,False,0.025000000000000022
mathdial_hard,minimax-m2.7,diagnostic_specificity,-0.45,-0.3625,deepseek-v4-pro,False,0.08750000000000002
mathdial_hard,minimax-m2.7,elicitation,2.675,2.5,deepseek-v4-pro,False,0.17499999999999982
mathdial_hard,minimax-m2.7,epistemic_caution,0.15,0.3,deepseek-v4-pro,False,0.15
mathdial_hard,minimax-m2.7,help_directness,-1.95,-1.8,deepseek-v4-pro,False,0.1499999999999999
mathdial_hard,minimax-m2.7,personalization,0.125,0.125,deepseek-v4-pro,False,0.0
mathdial_hard,minimax-m3,affective_warmth,-0.2,-0.075,deepseek-v4-pro,False,0.125
mathdial_hard,minimax-m3,autonomy_support,1.45,1.475,deepseek-v4-pro,False,0.025000000000000133
mathdial_hard,minimax-m3,cognitive_load,-0.975,-0.875,deepseek-v4-pro,False,0.09999999999999998
mathdial_hard,minimax-m3,diagnostic_specificity,-0.5,-0.4375,deepseek-v4-pro,False,0.0625
mathdial_hard,minimax-m3,elicitation,2.3,2.275,deepseek-v4-pro,False,0.02499999999999991
mathdial_hard,minimax-m3,epistemic_caution,0.2,0.3875,deepseek-v4-pro,False,0.1875
mathdial_hard,minimax-m3,help_directness,-1.9,-1.9,deepseek-v4-pro,False,0.0
mathdial_hard,minimax-m3,personalization,0.05,0.1375,deepseek-v4-pro,False,0.08750000000000001
mathdial_hard,qwen3.5-4b,affective_warmth,-0.375,-0.3375,deepseek-v4-pro,False,0.03749999999999998
mathdial_hard,qwen3.5-4b,autonomy_support,1.5,1.4125,deepseek-v4-pro,False,0.08749999999999991
mathdial_hard,qwen3.5-4b,cognitive_load,-0.525,-0.525,deepseek-v4-pro,False,0.0
mathdial_hard,qwen3.5-4b,diagnostic_specificity,-0.2,-0.25,deepseek-v4-pro,False,0.04999999999999999
mathdial_hard,qwen3.5-4b,elicitation,2.2,2.0625,deepseek-v4-pro,False,0.13750000000000018
mathdial_hard,qwen3.5-4b,epistemic_caution,0.225,0.2875,deepseek-v4-pro,False,0.06249999999999997
mathdial_hard,qwen3.5-4b,help_directness,-1.225,-1.15,deepseek-v4-pro,False,0.07500000000000018
mathdial_hard,qwen3.5-4b,personalization,0.1,0.15,deepseek-v4-pro,False,0.04999999999999999
mathdial_standard,deepseek-v4-pro,affective_warmth,-0.10126582278481013,-0.16455696202531644,deepseek-v4-pro,False,0.06329113924050632
mathdial_standard,deepseek-v4-pro,autonomy_support,1.2151898734177216,1.0632911392405062,deepseek-v4-pro,False,0.15189873417721533
mathdial_standard,deepseek-v4-pro,cognitive_load,-0.620253164556962,-0.5379746835443038,deepseek-v4-pro,False,0.08227848101265822
mathdial_standard,deepseek-v4-pro,diagnostic_specificity,-0.6835443037974683,-0.5,deepseek-v4-pro,False,0.18354430379746833
mathdial_standard,deepseek-v4-pro,elicitation,2.1772151898734178,1.9620253164556962,deepseek-v4-pro,False,0.21518987341772156
mathdial_standard,deepseek-v4-pro,epistemic_caution,0.43037974683544306,0.4430379746835443,deepseek-v4-pro,False,0.012658227848101222
mathdial_standard,deepseek-v4-pro,help_directness,-1.3924050632911393,-1.3734177215189873,deepseek-v4-pro,False,0.018987341772152
mathdial_standard,deepseek-v4-pro,personalization,0.012658227848101266,0.12658227848101267,deepseek-v4-pro,False,0.1139240506329114
mathdial_standard,doubao-seed-2.0-pro,affective_warmth,-0.4177215189873418,-0.36075949367088606,deepseek-v4-pro,False,0.05696202531645572
mathdial_standard,doubao-seed-2.0-pro,autonomy_support,1.9493670886075949,1.879746835443038,deepseek-v4-pro,False,0.06962025316455689
mathdial_standard,doubao-seed-2.0-pro,cognitive_load,-1.1265822784810127,-1.0379746835443038,deepseek-v4-pro,False,0.08860759493670889
mathdial_standard,doubao-seed-2.0-pro,diagnostic_specificity,-0.9746835443037974,-0.8354430379746836,deepseek-v4-pro,False,0.1392405063291139
mathdial_standard,doubao-seed-2.0-pro,elicitation,3.1645569620253164,3.0126582278481013,deepseek-v4-pro,False,0.1518987341772151
mathdial_standard,doubao-seed-2.0-pro,epistemic_caution,0.46835443037974683,0.5949367088607594,deepseek-v4-pro,False,0.1265822784810126
mathdial_standard,doubao-seed-2.0-pro,help_directness,-2.3164556962025316,-2.1582278481012658,deepseek-v4-pro,False,0.15822784810126578
mathdial_standard,doubao-seed-2.0-pro,personalization,-0.11392405063291139,-0.0379746835443038,deepseek-v4-pro,False,0.07594936708860758
mathdial_standard,glm-5.2,affective_warmth,-0.21518987341772153,-0.17721518987341772,deepseek-v4-pro,False,0.037974683544303806
mathdial_standard,glm-5.2,autonomy_support,0.5189873417721519,0.5189873417721519,deepseek-v4-pro,False,0.0
mathdial_standard,glm-5.2,cognitive_load,-0.6329113924050633,-0.5822784810126582,deepseek-v4-pro,False,0.05063291139240511
mathdial_standard,glm-5.2,diagnostic_specificity,-0.5316455696202531,-0.3670886075949367,deepseek-v4-pro,False,0.1645569620253164
mathdial_standard,glm-5.2,elicitation,1.3670886075949367,1.1772151898734178,deepseek-v4-pro,False,0.1898734177215189
mathdial_standard,glm-5.2,epistemic_caution,0.569620253164557,0.6582278481012658,deepseek-v4-pro,False,0.08860759493670878
mathdial_standard,glm-5.2,help_directness,-1.1012658227848102,-1.0126582278481013,deepseek-v4-pro,False,0.08860759493670889
mathdial_standard,glm-5.2,personalization,0.06329113924050633,0.12025316455696203,deepseek-v4-pro,False,0.056962025316455694
mathdial_standard,minimax-m2.7,affective_warmth,0.6455696202531646,0.6329113924050633,deepseek-v4-pro,False,0.012658227848101222
mathdial_standard,minimax-m2.7,autonomy_support,1.8860759493670887,1.9746835443037976,deepseek-v4-pro,False,0.08860759493670889
mathdial_standard,minimax-m2.7,cognitive_load,-0.9873417721518988,-0.8607594936708861,deepseek-v4-pro,False,0.12658227848101267
mathdial_standard,minimax-m2.7,diagnostic_specificity,-0.8607594936708861,-0.5886075949367089,deepseek-v4-pro,False,0.2721518987341772
mathdial_standard,minimax-m2.7,elicitation,3.2025316455696204,3.0759493670886076,deepseek-v4-pro,False,0.1265822784810129
mathdial_standard,minimax-m2.7,epistemic_caution,0.3670886075949367,0.45569620253164556,deepseek-v4-pro,False,0.08860759493670883
mathdial_standard,minimax-m2.7,help_directness,-2.2278481012658227,-2.132911392405063,deepseek-v4-pro,False,0.09493670886075956
mathdial_standard,minimax-m2.7,personalization,0.17721518987341772,0.1962025316455696,deepseek-v4-pro,False,0.01898734177215189
mathdial_standard,minimax-m3,affective_warmth,-0.21518987341772153,-0.21518987341772153,deepseek-v4-pro,False,0.0
mathdial_standard,minimax-m3,autonomy_support,1.6455696202531647,1.5569620253164558,deepseek-v4-pro,False,0.08860759493670889
mathdial_standard,minimax-m3,cognitive_load,-0.8227848101265823,-0.7151898734177216,deepseek-v4-pro,False,0.10759493670886078
mathdial_standard,minimax-m3,diagnostic_specificity,-0.27848101265822783,-0.25316455696202533,deepseek-v4-pro,False,0.0253164556962025
mathdial_standard,minimax-m3,elicitation,2.4683544303797467,2.310126582278481,deepseek-v4-pro,False,0.15822784810126578
mathdial_standard,minimax-m3,epistemic_caution,0.6962025316455697,0.7974683544303798,deepseek-v4-pro,False,0.10126582278481011
mathdial_standard,minimax-m3,help_directness,-2.151898734177215,-1.9620253164556962,deepseek-v4-pro,False,0.1898734177215189
mathdial_standard,minimax-m3,personalization,0.0759493670886076,0.0949367088607595,deepseek-v4-pro,False,0.018987341772151903
mathdial_standard,qwen3.5-4b,affective_warmth,-0.26582278481012656,-0.310126582278481,deepseek-v4-pro,False,0.044303797468354444
mathdial_standard,qwen3.5-4b,autonomy_support,1.3417721518987342,1.2531645569620253,deepseek-v4-pro,False,0.08860759493670889
mathdial_standard,qwen3.5-4b,cognitive_load,-0.3670886075949367,-0.37341772151898733,deepseek-v4-pro,False,0.006329113924050611
mathdial_standard,qwen3.5-4b,diagnostic_specificity,-0.0379746835443038,0.0759493670886076,deepseek-v4-pro,True,0.11392405063291139
mathdial_standard,qwen3.5-4b,elicitation,2.4430379746835444,2.310126582278481,deepseek-v4-pro,False,0.13291139240506356
mathdial_standard,qwen3.5-4b,epistemic_caution,0.34177215189873417,0.5569620253164557,deepseek-v4-pro,False,0.2151898734177215
mathdial_standard,qwen3.5-4b,help_directness,-1.0632911392405062,-1.0759493670886076,deepseek-v4-pro,False,0.012658227848101333
mathdial_standard,qwen3.5-4b,personalization,0.0759493670886076,0.13291139240506328,deepseek-v4-pro,False,0.05696202531645568
mathdial_hard,deepseek-v4-pro,affective_warmth,-0.025,0.025,glm-5.2,True,0.05
mathdial_hard,deepseek-v4-pro,autonomy_support,1.3,1.3375,glm-5.2,False,0.03749999999999987
mathdial_hard,deepseek-v4-pro,cognitive_load,-0.8,-0.6375,glm-5.2,False,0.1625000000000001
mathdial_hard,deepseek-v4-pro,diagnostic_specificity,-0.75,-0.8875,glm-5.2,False,0.13749999999999996
mathdial_hard,deepseek-v4-pro,elicitation,2.1,2.0875,glm-5.2,False,0.012500000000000178
mathdial_hard,deepseek-v4-pro,epistemic_caution,0.2,0.2375,glm-5.2,False,0.03749999999999998
mathdial_hard,deepseek-v4-pro,help_directness,-1.7,-1.8125,glm-5.2,False,0.11250000000000004
mathdial_hard,deepseek-v4-pro,personalization,0.025,0.0,glm-5.2,False,0.025
mathdial_hard,doubao-seed-2.0-pro,affective_warmth,-0.825,-0.8875,glm-5.2,False,0.0625
mathdial_hard,doubao-seed-2.0-pro,autonomy_support,1.6,1.575,glm-5.2,False,0.025000000000000133
mathdial_hard,doubao-seed-2.0-pro,cognitive_load,-1.05,-0.975,glm-5.2,False,0.07500000000000007
mathdial_hard,doubao-seed-2.0-pro,diagnostic_specificity,-0.8,-0.8375,glm-5.2,False,0.03749999999999998
mathdial_hard,doubao-seed-2.0-pro,elicitation,2.85,2.7,glm-5.2,False,0.1499999999999999
mathdial_hard,doubao-seed-2.0-pro,epistemic_caution,0.25,0.25,glm-5.2,False,0.0
mathdial_hard,doubao-seed-2.0-pro,help_directness,-1.875,-2.0375,glm-5.2,False,0.1625000000000001
mathdial_hard,doubao-seed-2.0-pro,personalization,-0.05,-0.2125,glm-5.2,False,0.16249999999999998
mathdial_hard,glm-5.2,affective_warmth,-0.45,-0.375,glm-5.2,False,0.07500000000000001
mathdial_hard,glm-5.2,autonomy_support,0.2,0.125,glm-5.2,False,0.07500000000000001
mathdial_hard,glm-5.2,cognitive_load,-0.2,-0.2625,glm-5.2,False,0.0625
mathdial_hard,glm-5.2,diagnostic_specificity,-0.3,-0.3625,glm-5.2,False,0.0625
mathdial_hard,glm-5.2,elicitation,0.9,0.8375,glm-5.2,False,0.0625
mathdial_hard,glm-5.2,epistemic_caution,0.1,0.1625,glm-5.2,False,0.0625
mathdial_hard,glm-5.2,help_directness,-0.6,-0.7125,glm-5.2,False,0.11250000000000004
mathdial_hard,glm-5.2,personalization,0.0,-0.025,glm-5.2,False,0.025
mathdial_hard,minimax-m2.7,affective_warmth,0.35,0.45,glm-5.2,False,0.10000000000000003
mathdial_hard,minimax-m2.7,autonomy_support,1.45,1.2625,glm-5.2,False,0.1875
mathdial_hard,minimax-m2.7,cognitive_load,-0.775,-0.7125,glm-5.2,False,0.0625
mathdial_hard,minimax-m2.7,diagnostic_specificity,-0.45,-0.6125,glm-5.2,False,0.16250000000000003
mathdial_hard,minimax-m2.7,elicitation,2.675,2.575,glm-5.2,False,0.09999999999999964
mathdial_hard,minimax-m2.7,epistemic_caution,0.15,0.15,glm-5.2,False,0.0
mathdial_hard,minimax-m2.7,help_directness,-1.95,-2.075,glm-5.2,False,0.12500000000000022
mathdial_hard,minimax-m2.7,personalization,0.125,0.15,glm-5.2,False,0.024999999999999994
mathdial_hard,minimax-m3,affective_warmth,-0.2,-0.0625,glm-5.2,False,0.1375
mathdial_hard,minimax-m3,autonomy_support,1.45,1.2875,glm-5.2,False,0.16249999999999987
mathdial_hard,minimax-m3,cognitive_load,-0.975,-0.9375,glm-5.2,False,0.03749999999999998
mathdial_hard,minimax-m3,diagnostic_specificity,-0.5,-0.55,glm-5.2,False,0.050000000000000044
mathdial_hard,minimax-m3,elicitation,2.3,2.225,glm-5.2,False,0.07499999999999973
mathdial_hard,minimax-m3,epistemic_caution,0.2,0.275,glm-5.2,False,0.07500000000000001
mathdial_hard,minimax-m3,help_directness,-1.9,-1.9875,glm-5.2,False,0.08750000000000013
mathdial_hard,minimax-m3,personalization,0.05,0.1875,glm-5.2,False,0.1375
mathdial_hard,qwen3.5-4b,affective_warmth,-0.375,-0.3125,glm-5.2,False,0.0625
mathdial_hard,qwen3.5-4b,autonomy_support,1.5,1.3125,glm-5.2,False,0.1875
mathdial_hard,qwen3.5-4b,cognitive_load,-0.525,-0.3125,glm-5.2,False,0.21250000000000002
mathdial_hard,qwen3.5-4b,diagnostic_specificity,-0.2,-0.3,glm-5.2,False,0.09999999999999998
mathdial_hard,qwen3.5-4b,elicitation,2.2,2.1125,glm-5.2,False,0.08750000000000036
mathdial_hard,qwen3.5-4b,epistemic_caution,0.225,0.2,glm-5.2,False,0.024999999999999994
mathdial_hard,qwen3.5-4b,help_directness,-1.225,-1.375,glm-5.2,False,0.1499999999999999
mathdial_hard,qwen3.5-4b,personalization,0.1,0.1375,glm-5.2,False,0.037500000000000006
mathdial_standard,deepseek-v4-pro,affective_warmth,-0.10126582278481013,-0.10126582278481013,glm-5.2,False,0.0
mathdial_standard,deepseek-v4-pro,autonomy_support,1.2151898734177216,1.2531645569620253,glm-5.2,False,0.03797468354430378
mathdial_standard,deepseek-v4-pro,cognitive_load,-0.620253164556962,-0.43037974683544306,glm-5.2,False,0.18987341772151894
