template,domain,source_family,progress,affect,cue_pole,cue_family,arm,model,repeat,request_id,blind_id
turning_moment,science,turning_moment,correct_partial,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,0,cue_transfer_v4:turning_moment:peer_control:correct_partial:frustrated:repeat0:doubao-seed-2.0-lite,d9e497702059235386d5
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,frustrated,frustrated,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:binary_place_value:canonical:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,77c48e52a9b72afaa1d7
binary_place_value,logic_and_data,binary_place_value,correct_partial,calm,calm,2,explicit,deepseek-v4-pro,1,cue_transfer_v4:binary_place_value:explicit:correct_partial:calm:repeat1:deepseek-v4-pro,2794f718e9d5adcf4801
homophone_choice,language,homophone_selection,wrong_attempt,calm,frustrated,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:homophone_choice:peer_control:wrong_attempt:frustrated:repeat1:deepseek-v4-pro,a2ac94f453564825e2e3
contrast_connective,language,contrast_connective,wrong_attempt,calm,calm,fixed,peer_control,deepseek-v4-pro,0,cue_transfer_v4:contrast_connective:peer_control:wrong_attempt:calm:repeat0:deepseek-v4-pro,0ce98f8849cf9618a7f2
distinct_allocation,logic_and_data,all_different_constraint,wrong_attempt,calm,calm,fixed,peer_control,MiniMax-M3,0,cue_transfer_v4:distinct_allocation:peer_control:wrong_attempt:calm:repeat0:MiniMax-M3,7ab20985607061c5684c
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,frustrated,frustrated,fixed,canonical,MiniMax-M3,0,cue_transfer_v4:algorithm_trace:canonical:correct_partial:frustrated:repeat0:MiniMax-M3,e725eca97e9249800f54
algorithm_trace,logic_and_data,loop_accumulation,wrong_attempt,frustrated,frustrated,1,explicit,glm-5.3,1,cue_transfer_v4:algorithm_trace:explicit:wrong_attempt:frustrated:repeat1:glm-5.3,d972356c7e9f88f18aed
exclusive_or,logic_and_data,exclusive_or,wrong_attempt,frustrated,frustrated,3,explicit,glm-5.3,1,cue_transfer_v4:exclusive_or:explicit:wrong_attempt:frustrated:repeat1:glm-5.3,e57f345bb71266ccd251
trophic_transfer,science,trophic_energy_transfer,correct_partial,frustrated,frustrated,3,explicit,glm-5.3,1,cue_transfer_v4:trophic_transfer:explicit:correct_partial:frustrated:repeat1:glm-5.3,8d691550daf90bbb3ca7
median_order,mathematics,median,wrong_attempt,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,1,cue_transfer_v4:median_order:peer_control:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,19a1439ef5662bb85ad7
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,correct_partial,calm,calm,2,explicit,deepseek-v4-pro,0,cue_transfer_v4:pigeonhole_guarantee:explicit:correct_partial:calm:repeat0:deepseek-v4-pro,e091c30f84d3538dff27
turning_moment,science,turning_moment,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,1,cue_transfer_v4:turning_moment:peer_control:wrong_attempt:calm:repeat1:glm-5.3,6aced1d780229edff1a3
sampling_bias,logic_and_data,sampling_frame_bias,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,0,cue_transfer_v4:sampling_bias:peer_control:wrong_attempt:calm:repeat0:glm-5.3,f752a63e5e2594c53de5
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,wrong_attempt,frustrated,frustrated,2,explicit,MiniMax-M3,0,cue_transfer_v4:pigeonhole_guarantee:explicit:wrong_attempt:frustrated:repeat0:MiniMax-M3,cbdbecdcfc8f7069bb80
triangle_area,mathematics,triangle_area,correct_partial,calm,calm,fixed,peer_control,MiniMax-M3,0,cue_transfer_v4:triangle_area:peer_control:correct_partial:calm:repeat0:MiniMax-M3,73f5e42e614632bfb17d
relative_clause,language,relative_clause_attachment,wrong_attempt,calm,calm,3,explicit,doubao-seed-2.0-lite,1,cue_transfer_v4:relative_clause:explicit:wrong_attempt:calm:repeat1:doubao-seed-2.0-lite,c785a1531f3b002fad9c
balance_water_equation,science,chemical_equation_balance,correct_partial,frustrated,frustrated,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:balance_water_equation:canonical:correct_partial:frustrated:repeat1:doubao-seed-2.0-lite,29f3184e65e2fdbe6671
exclusive_or,logic_and_data,exclusive_or,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,0,cue_transfer_v4:exclusive_or:peer_control:correct_partial:frustrated:repeat0:glm-5.3,799884c8dae4cf6e3c4b
balance_water_equation,science,chemical_equation_balance,wrong_attempt,frustrated,frustrated,fixed,canonical,deepseek-v4-pro,0,cue_transfer_v4:balance_water_equation:canonical:wrong_attempt:frustrated:repeat0:deepseek-v4-pro,b84c5237052994eac086
common_multiple,mathematics,least_common_multiple,correct_partial,calm,calm,fixed,peer_control,doubao-seed-2.0-lite,0,cue_transfer_v4:common_multiple:peer_control:correct_partial:calm:repeat0:doubao-seed-2.0-lite,5c72c89d389d81635834
passive_voice,language,active_passive_voice,wrong_attempt,calm,calm,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:passive_voice:canonical:wrong_attempt:calm:repeat0:MiniMax-M2.7,56092c8a535b35875bfb
contrast_connective,language,contrast_connective,wrong_attempt,frustrated,frustrated,fixed,canonical,glm-5.3,1,cue_transfer_v4:contrast_connective:canonical:wrong_attempt:frustrated:repeat1:glm-5.3,5f93b883652832d09e0a
common_multiple,mathematics,least_common_multiple,wrong_attempt,calm,calm,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:common_multiple:canonical:wrong_attempt:calm:repeat0:MiniMax-M2.7,ed87a2a2c6b3c4feef0c
right_triangle,mathematics,pythagorean_length,correct_partial,frustrated,frustrated,fixed,canonical,deepseek-v4-pro,1,cue_transfer_v4:right_triangle:canonical:correct_partial:frustrated:repeat1:deepseek-v4-pro,2d11b052a971cd403f18
contact_pressure,science,pressure,correct_partial,calm,calm,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:contact_pressure:peer_control:correct_partial:calm:repeat1:deepseek-v4-pro,aba1f92dd9d766cda978
shortest_path,logic_and_data,weighted_graph_path,correct_partial,calm,calm,1,implicit,deepseek-v4-pro,1,cue_transfer_v4:shortest_path:implicit:correct_partial:calm:repeat1:deepseek-v4-pro,764982ca383940c62cc4
pigeonhole_guarantee,logic_and_data,pigeonhole_principle,correct_partial,frustrated,frustrated,fixed,canonical,deepseek-v4-pro,1,cue_transfer_v4:pigeonhole_guarantee:canonical:correct_partial:frustrated:repeat1:deepseek-v4-pro,77250bf9b5bab5e25c59
question_quotation,language,direct_speech_punctuation,correct_partial,calm,calm,fixed,peer_control,MiniMax-M2.7,0,cue_transfer_v4:question_quotation:peer_control:correct_partial:calm:repeat0:MiniMax-M2.7,6f973a7aa65c61c4ae70
passive_voice,language,active_passive_voice,correct_partial,calm,calm,fixed,peer_control,MiniMax-M3,0,cue_transfer_v4:passive_voice:peer_control:correct_partial:calm:repeat0:MiniMax-M3,2a587e3e40e85f6c4428
distinct_arrangements,mathematics,factorial_counting,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:distinct_arrangements:peer_control:correct_partial:frustrated:repeat1:glm-5.3,a6664c0f9873999cf8bd
metaphor_identification,language,figurative_metaphor,wrong_attempt,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,1,cue_transfer_v4:metaphor_identification:peer_control:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,1577673e2a5aa658001a
parallel_structure,language,parallel_structure,wrong_attempt,frustrated,frustrated,2,implicit,MiniMax-M3,1,cue_transfer_v4:parallel_structure:implicit:wrong_attempt:frustrated:repeat1:MiniMax-M3,d10047b02e031fb9ab15
relative_clause,language,relative_clause_attachment,correct_partial,calm,calm,3,explicit,MiniMax-M2.7,0,cue_transfer_v4:relative_clause:explicit:correct_partial:calm:repeat0:MiniMax-M2.7,61636ab6e70f3ceb704f
homophone_choice,language,homophone_selection,wrong_attempt,calm,calm,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:homophone_choice:canonical:wrong_attempt:calm:repeat0:MiniMax-M2.7,0a5ee8b0e6eafc2a05c9
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,calm,calm,fixed,canonical,MiniMax-M3,1,cue_transfer_v4:binary_place_value:canonical:wrong_attempt:calm:repeat1:MiniMax-M3,01128438c68b2cf6646f
trophic_transfer,science,trophic_energy_transfer,correct_partial,calm,calm,0,implicit,MiniMax-M3,0,cue_transfer_v4:trophic_transfer:implicit:correct_partial:calm:repeat0:MiniMax-M3,c2d28e1485a8fd06eb31
exclusive_or,logic_and_data,exclusive_or,correct_partial,frustrated,frustrated,0,implicit,deepseek-v4-pro,0,cue_transfer_v4:exclusive_or:implicit:correct_partial:frustrated:repeat0:deepseek-v4-pro,1d27830f083ef4857fb8
homophone_choice,language,homophone_selection,correct_partial,calm,frustrated,fixed,peer_control,deepseek-v4-pro,1,cue_transfer_v4:homophone_choice:peer_control:correct_partial:frustrated:repeat1:deepseek-v4-pro,2e0d7a849a45967c8796
passive_voice,language,active_passive_voice,wrong_attempt,calm,frustrated,fixed,peer_control,MiniMax-M2.7,0,cue_transfer_v4:passive_voice:peer_control:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,dbbf0aec620b6c4135c2
right_triangle,mathematics,pythagorean_length,wrong_attempt,calm,calm,0,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:right_triangle:implicit:wrong_attempt:calm:repeat0:doubao-seed-2.0-lite,143d6885c572c5979bf5
median_order,mathematics,median,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,0,cue_transfer_v4:median_order:peer_control:correct_partial:frustrated:repeat0:glm-5.3,93ce588e65af017b5534
right_triangle,mathematics,pythagorean_length,correct_partial,frustrated,frustrated,3,explicit,doubao-seed-2.0-lite,1,cue_transfer_v4:right_triangle:explicit:correct_partial:frustrated:repeat1:doubao-seed-2.0-lite,2a94c992133b58d5b229
signed_temperature,mathematics,signed_integer_addition,wrong_attempt,calm,calm,3,explicit,deepseek-v4-pro,1,cue_transfer_v4:signed_temperature:explicit:wrong_attempt:calm:repeat1:deepseek-v4-pro,05fd9e7565c05b4bad9d
gas_volume,science,boyles_law,wrong_attempt,calm,calm,2,implicit,deepseek-v4-pro,1,cue_transfer_v4:gas_volume:implicit:wrong_attempt:calm:repeat1:deepseek-v4-pro,a68a229ab16913443045
triangle_area,mathematics,triangle_area,wrong_attempt,calm,calm,2,implicit,glm-5.3,1,cue_transfer_v4:triangle_area:implicit:wrong_attempt:calm:repeat1:glm-5.3,dbf26be4796e8638fe7f
median_order,mathematics,median,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,1,cue_transfer_v4:median_order:peer_control:wrong_attempt:calm:repeat1:glm-5.3,db1ef7b8eb11ed3538b5
parallel_structure,language,parallel_structure,wrong_attempt,frustrated,frustrated,fixed,canonical,MiniMax-M3,1,cue_transfer_v4:parallel_structure:canonical:wrong_attempt:frustrated:repeat1:MiniMax-M3,97f26b85fe44ea0d61b8
relative_clause,language,relative_clause_attachment,correct_partial,frustrated,frustrated,0,implicit,MiniMax-M2.7,0,cue_transfer_v4:relative_clause:implicit:correct_partial:frustrated:repeat0:MiniMax-M2.7,51c298ff9a97ec3d7803
contact_pressure,science,pressure,wrong_attempt,frustrated,frustrated,0,explicit,MiniMax-M3,0,cue_transfer_v4:contact_pressure:explicit:wrong_attempt:frustrated:repeat0:MiniMax-M3,a12fc3b943e456a768a4
distinct_arrangements,mathematics,factorial_counting,correct_partial,calm,calm,0,explicit,doubao-seed-2.0-lite,1,cue_transfer_v4:distinct_arrangements:explicit:correct_partial:calm:repeat1:doubao-seed-2.0-lite,d1b02f67223927a507f6
distinct_allocation,logic_and_data,all_different_constraint,wrong_attempt,calm,calm,fixed,peer_control,glm-5.3,0,cue_transfer_v4:distinct_allocation:peer_control:wrong_attempt:calm:repeat0:glm-5.3,f84f554a757208a3794b
parallel_structure,language,parallel_structure,correct_partial,calm,calm,fixed,peer_control,glm-5.3,0,cue_transfer_v4:parallel_structure:peer_control:correct_partial:calm:repeat0:glm-5.3,569e0a81ba2f36a79797
right_triangle,mathematics,pythagorean_length,correct_partial,calm,frustrated,fixed,peer_control,MiniMax-M3,0,cue_transfer_v4:right_triangle:peer_control:correct_partial:frustrated:repeat0:MiniMax-M3,5fd94621adb16dc30825
contact_pressure,science,pressure,correct_partial,frustrated,frustrated,0,explicit,glm-5.3,1,cue_transfer_v4:contact_pressure:explicit:correct_partial:frustrated:repeat1:glm-5.3,db9ec38855bffa66ad4f
relative_clause,language,relative_clause_attachment,correct_partial,frustrated,frustrated,fixed,canonical,MiniMax-M2.7,1,cue_transfer_v4:relative_clause:canonical:correct_partial:frustrated:repeat1:MiniMax-M2.7,20f0ab8fd14d85c9cda6
algorithm_trace,logic_and_data,loop_accumulation,wrong_attempt,calm,calm,fixed,canonical,MiniMax-M3,0,cue_transfer_v4:algorithm_trace:canonical:wrong_attempt:calm:repeat0:MiniMax-M3,f2e81b4f6da729a8271b
prism_volume,mathematics,rectangular_prism_volume,wrong_attempt,frustrated,frustrated,fixed,canonical,glm-5.3,0,cue_transfer_v4:prism_volume:canonical:wrong_attempt:frustrated:repeat0:glm-5.3,0c66cce9b8666ac40f1d
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,calm,calm,3,implicit,glm-5.3,1,cue_transfer_v4:binary_place_value:implicit:wrong_attempt:calm:repeat1:glm-5.3,f85a4585a8f3f9362731
passive_voice,language,active_passive_voice,wrong_attempt,calm,calm,3,implicit,glm-5.3,1,cue_transfer_v4:passive_voice:implicit:wrong_attempt:calm:repeat1:glm-5.3,f877a8b97b2586fb3e58
metaphor_identification,language,figurative_metaphor,wrong_attempt,calm,calm,1,explicit,MiniMax-M3,0,cue_transfer_v4:metaphor_identification:explicit:wrong_attempt:calm:repeat0:MiniMax-M3,6b0c99647ac83adb9a98
balance_water_equation,science,chemical_equation_balance,wrong_attempt,frustrated,frustrated,3,explicit,glm-5.3,0,cue_transfer_v4:balance_water_equation:explicit:wrong_attempt:frustrated:repeat0:glm-5.3,a7e57cfb1e69211daf76
trophic_transfer,science,trophic_energy_transfer,correct_partial,calm,calm,3,explicit,doubao-seed-2.0-lite,0,cue_transfer_v4:trophic_transfer:explicit:correct_partial:calm:repeat0:doubao-seed-2.0-lite,baf48079a4b2a7db1d54
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:algorithm_trace:peer_control:correct_partial:frustrated:repeat1:glm-5.3,c3bb4174af40420327c5
question_quotation,language,direct_speech_punctuation,correct_partial,frustrated,frustrated,0,explicit,MiniMax-M3,0,cue_transfer_v4:question_quotation:explicit:correct_partial:frustrated:repeat0:MiniMax-M3,efb8c4817dc4df6b9e18
exclusive_or,logic_and_data,exclusive_or,correct_partial,frustrated,frustrated,3,explicit,MiniMax-M2.7,1,cue_transfer_v4:exclusive_or:explicit:correct_partial:frustrated:repeat1:MiniMax-M2.7,282a105d95c44683f0d0
exponent_product,mathematics,exponent_product,wrong_attempt,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,1,cue_transfer_v4:exponent_product:peer_control:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,9007695eb32ba8da8716
right_triangle,mathematics,pythagorean_length,correct_partial,calm,calm,fixed,peer_control,MiniMax-M3,1,cue_transfer_v4:right_triangle:peer_control:correct_partial:calm:repeat1:MiniMax-M3,6c06e2b5729cae640f4b
photosynthesis_inputs,science,photosynthesis_inputs,wrong_attempt,frustrated,frustrated,0,explicit,MiniMax-M2.7,0,cue_transfer_v4:photosynthesis_inputs:explicit:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,0207a0f582c117f76326
plural_possession,language,apostrophe_possession,wrong_attempt,calm,frustrated,fixed,peer_control,MiniMax-M3,0,cue_transfer_v4:plural_possession:peer_control:wrong_attempt:frustrated:repeat0:MiniMax-M3,cbc7ecb7c13444770cac
radioactive_half_life,science,half_life,wrong_attempt,calm,calm,fixed,canonical,doubao-seed-2.0-lite,1,cue_transfer_v4:radioactive_half_life:canonical:wrong_attempt:calm:repeat1:doubao-seed-2.0-lite,e5ca7d2cb4a8c438e01e
shortest_path,logic_and_data,weighted_graph_path,wrong_attempt,calm,calm,0,explicit,doubao-seed-2.0-lite,0,cue_transfer_v4:shortest_path:explicit:wrong_attempt:calm:repeat0:doubao-seed-2.0-lite,6014944a07c1755a74fa
binary_search_update,logic_and_data,binary_search_interval,wrong_attempt,calm,calm,1,explicit,deepseek-v4-pro,1,cue_transfer_v4:binary_search_update:explicit:wrong_attempt:calm:repeat1:deepseek-v4-pro,44c694db782903e72a9d
binary_place_value,logic_and_data,binary_place_value,wrong_attempt,calm,calm,2,explicit,glm-5.3,0,cue_transfer_v4:binary_place_value:explicit:wrong_attempt:calm:repeat0:glm-5.3,cfb6b41c3cfd46df2953
relative_clause,language,relative_clause_attachment,wrong_attempt,calm,calm,3,explicit,MiniMax-M2.7,1,cue_transfer_v4:relative_clause:explicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,a598bb5f459c207ab681
exponent_product,mathematics,exponent_product,correct_partial,calm,calm,fixed,peer_control,MiniMax-M3,1,cue_transfer_v4:exponent_product:peer_control:correct_partial:calm:repeat1:MiniMax-M3,9526b1153864d6dfdce0
binary_search_update,logic_and_data,binary_search_interval,correct_partial,calm,calm,1,explicit,MiniMax-M3,0,cue_transfer_v4:binary_search_update:explicit:correct_partial:calm:repeat0:MiniMax-M3,1b5e4109214ca97e2e4c
sampling_bias,logic_and_data,sampling_frame_bias,wrong_attempt,calm,calm,0,explicit,MiniMax-M3,1,cue_transfer_v4:sampling_bias:explicit:wrong_attempt:calm:repeat1:MiniMax-M3,20d0d38d729b72acb9c7
distinct_allocation,logic_and_data,all_different_constraint,correct_partial,calm,calm,0,implicit,MiniMax-M3,1,cue_transfer_v4:distinct_allocation:implicit:correct_partial:calm:repeat1:MiniMax-M3,28a17e55223f7364cee4
signed_temperature,mathematics,signed_integer_addition,wrong_attempt,frustrated,frustrated,0,implicit,doubao-seed-2.0-lite,0,cue_transfer_v4:signed_temperature:implicit:wrong_attempt:frustrated:repeat0:doubao-seed-2.0-lite,3e38fb71c1f7cba944c8
parallel_structure,language,parallel_structure,wrong_attempt,frustrated,frustrated,2,implicit,glm-5.3,0,cue_transfer_v4:parallel_structure:implicit:wrong_attempt:frustrated:repeat0:glm-5.3,3e3bdd72fc9fa8c6cb44
common_multiple,mathematics,least_common_multiple,wrong_attempt,frustrated,frustrated,3,implicit,doubao-seed-2.0-lite,1,cue_transfer_v4:common_multiple:implicit:wrong_attempt:frustrated:repeat1:doubao-seed-2.0-lite,d7cafb13361361d507ae
balance_water_equation,science,chemical_equation_balance,correct_partial,calm,calm,fixed,canonical,MiniMax-M3,0,cue_transfer_v4:balance_water_equation:canonical:correct_partial:calm:repeat0:MiniMax-M3,c87fccbe4eb37274dff6
relative_clause,language,relative_clause_attachment,wrong_attempt,frustrated,frustrated,3,explicit,MiniMax-M2.7,0,cue_transfer_v4:relative_clause:explicit:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,429433e0474a378d2557
contact_pressure,science,pressure,correct_partial,calm,frustrated,fixed,peer_control,doubao-seed-2.0-lite,1,cue_transfer_v4:contact_pressure:peer_control:correct_partial:frustrated:repeat1:doubao-seed-2.0-lite,5418d203af566f71c57d
right_triangle,mathematics,pythagorean_length,wrong_attempt,frustrated,frustrated,3,explicit,glm-5.3,1,cue_transfer_v4:right_triangle:explicit:wrong_attempt:frustrated:repeat1:glm-5.3,43a7de7b1a3c1eb30d42
exclusive_or,logic_and_data,exclusive_or,wrong_attempt,calm,calm,0,implicit,MiniMax-M2.7,1,cue_transfer_v4:exclusive_or:implicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,500daf295ad7bb73839a
distinct_allocation,logic_and_data,all_different_constraint,wrong_attempt,frustrated,frustrated,fixed,canonical,MiniMax-M2.7,0,cue_transfer_v4:distinct_allocation:canonical:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,1d9b83144ba6cbb4c935
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,frustrated,frustrated,1,explicit,deepseek-v4-pro,0,cue_transfer_v4:algorithm_trace:explicit:correct_partial:frustrated:repeat0:deepseek-v4-pro,c4646534140c03e30d3d
triangle_area,mathematics,triangle_area,correct_partial,calm,calm,1,explicit,deepseek-v4-pro,0,cue_transfer_v4:triangle_area:explicit:correct_partial:calm:repeat0:deepseek-v4-pro,874f44be3472a5e83c7f
turning_moment,science,turning_moment,correct_partial,frustrated,frustrated,fixed,canonical,MiniMax-M3,0,cue_transfer_v4:turning_moment:canonical:correct_partial:frustrated:repeat0:MiniMax-M3,cd0e868e284eba7c6c37
binary_search_update,logic_and_data,binary_search_interval,correct_partial,calm,calm,fixed,canonical,glm-5.3,1,cue_transfer_v4:binary_search_update:canonical:correct_partial:calm:repeat1:glm-5.3,b91d322d78978d66fcf9
radioactive_half_life,science,half_life,wrong_attempt,calm,calm,3,implicit,MiniMax-M2.7,1,cue_transfer_v4:radioactive_half_life:implicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,59016d09c8d5fdcc07b5
signed_temperature,mathematics,signed_integer_addition,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:signed_temperature:peer_control:correct_partial:frustrated:repeat1:glm-5.3,2da9e5e28d4d6ce51ec4
exclusive_or,logic_and_data,exclusive_or,correct_partial,frustrated,frustrated,3,explicit,glm-5.3,1,cue_transfer_v4:exclusive_or:explicit:correct_partial:frustrated:repeat1:glm-5.3,f49d0b58c60f2ec8fcaa
homophone_choice,language,homophone_selection,wrong_attempt,calm,calm,3,explicit,MiniMax-M2.7,1,cue_transfer_v4:homophone_choice:explicit:wrong_attempt:calm:repeat1:MiniMax-M2.7,356ab3741d5c1495cb88
question_quotation,language,direct_speech_punctuation,correct_partial,calm,calm,fixed,canonical,glm-5.3,1,cue_transfer_v4:question_quotation:canonical:correct_partial:calm:repeat1:glm-5.3,c1d838e33d2757f60b88
kinetic_energy,science,kinetic_energy,correct_partial,frustrated,frustrated,2,implicit,glm-5.3,0,cue_transfer_v4:kinetic_energy:implicit:correct_partial:frustrated:repeat0:glm-5.3,7e118acd434b27acd338
exclusive_or,logic_and_data,exclusive_or,correct_partial,frustrated,frustrated,fixed,canonical,deepseek-v4-pro,0,cue_transfer_v4:exclusive_or:canonical:correct_partial:frustrated:repeat0:deepseek-v4-pro,1ac30ab18790cb8654ee
triangle_area,mathematics,triangle_area,correct_partial,calm,calm,1,explicit,doubao-seed-2.0-lite,1,cue_transfer_v4:triangle_area:explicit:correct_partial:calm:repeat1:doubao-seed-2.0-lite,fe2303ae6ffe82e2082d
contact_pressure,science,pressure,wrong_attempt,calm,frustrated,fixed,peer_control,MiniMax-M2.7,0,cue_transfer_v4:contact_pressure:peer_control:wrong_attempt:frustrated:repeat0:MiniMax-M2.7,f1cceb0e6033f140dce4
exclusive_or,logic_and_data,exclusive_or,wrong_attempt,calm,calm,fixed,canonical,glm-5.3,0,cue_transfer_v4:exclusive_or:canonical:wrong_attempt:calm:repeat0:glm-5.3,8bbcc9aa98476c015a91
homophone_choice,language,homophone_selection,wrong_attempt,frustrated,frustrated,fixed,canonical,deepseek-v4-pro,0,cue_transfer_v4:homophone_choice:canonical:wrong_attempt:frustrated:repeat0:deepseek-v4-pro,50112753f57725dbcaf6
algorithm_trace,logic_and_data,loop_accumulation,correct_partial,frustrated,frustrated,fixed,canonical,doubao-seed-2.0-lite,0,cue_transfer_v4:algorithm_trace:canonical:correct_partial:frustrated:repeat0:doubao-seed-2.0-lite,1ef7f9a0c145928cb3f4
parallel_structure,language,parallel_structure,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,0,cue_transfer_v4:parallel_structure:peer_control:correct_partial:frustrated:repeat0:glm-5.3,4d20ba37384a17e1206b
parallel_structure,language,parallel_structure,correct_partial,calm,frustrated,fixed,peer_control,glm-5.3,1,cue_transfer_v4:parallel_structure:peer_control:correct_partial:frustrated:repeat1:glm-5.3,f64a64b1b378708ff6d0
shortest_path,logic_and_data,weighted_graph_path,correct_partial,calm,calm,1,implicit,glm-5.3,1,cue_transfer_v4:shortest_path:implicit:correct_partial:calm:repeat1:glm-5.3,c378eb2330bb78a5834b
exponent_product,mathematics,exponent_product,wrong_attempt,frustrated,frustrated,1,implicit,MiniMax-M3,0,cue_transfer_v4:exponent_product:implicit:wrong_attempt:frustrated:repeat0:MiniMax-M3,761d660f543e36e86c53
