panel,model,event,present
without_MiniMax-M3,deepseek-v4-pro,epistemic_qualification,0.28125
without_MiniMax-M3,deepseek-v4-pro,information_request,0.03125
without_MiniMax-M3,deepseek-v4-pro,learner_choice,0.046875
without_MiniMax-M3,deepseek-v4-pro,reasoning_elicitation,0.21875
without_MiniMax-M3,deepseek-v4-pro,unsupported_ability_claim,0.03125
without_MiniMax-M3,deepseek-v4-pro,worked_explanation,0.96875
without_MiniMax-M3,doubao-seed-2.0-lite,affect_acknowledgement,0.71875
without_MiniMax-M3,doubao-seed-2.0-lite,answer_reveal,1.0
without_MiniMax-M3,doubao-seed-2.0-lite,epistemic_qualification,0.25
without_MiniMax-M3,doubao-seed-2.0-lite,information_request,0.0
without_MiniMax-M3,doubao-seed-2.0-lite,learner_choice,0.03125
without_MiniMax-M3,doubao-seed-2.0-lite,reasoning_elicitation,0.03125
without_MiniMax-M3,doubao-seed-2.0-lite,unsupported_ability_claim,0.015625
without_MiniMax-M3,doubao-seed-2.0-lite,worked_explanation,1.0
without_MiniMax-M3,glm-5.3,affect_acknowledgement,0.703125
without_MiniMax-M3,glm-5.3,answer_reveal,0.1875
without_MiniMax-M3,glm-5.3,epistemic_qualification,0.28125
without_MiniMax-M3,glm-5.3,information_request,0.015625
without_MiniMax-M3,glm-5.3,learner_choice,0.125
without_MiniMax-M3,glm-5.3,reasoning_elicitation,1.0
without_MiniMax-M3,glm-5.3,unsupported_ability_claim,0.0
without_MiniMax-M3,glm-5.3,worked_explanation,0.75
without_deepseek-v4-pro,MiniMax-M2.7,affect_acknowledgement,0.390625
without_deepseek-v4-pro,MiniMax-M2.7,answer_reveal,0.96875
without_deepseek-v4-pro,MiniMax-M2.7,epistemic_qualification,0.25
without_deepseek-v4-pro,MiniMax-M2.7,information_request,0.0
without_deepseek-v4-pro,MiniMax-M2.7,learner_choice,0.171875
without_deepseek-v4-pro,MiniMax-M2.7,reasoning_elicitation,0.234375
without_deepseek-v4-pro,MiniMax-M2.7,unsupported_ability_claim,0.0625
without_deepseek-v4-pro,MiniMax-M2.7,worked_explanation,1.0
without_deepseek-v4-pro,MiniMax-M3,affect_acknowledgement,0.859375
without_deepseek-v4-pro,MiniMax-M3,answer_reveal,0.859375
without_deepseek-v4-pro,MiniMax-M3,epistemic_qualification,0.234375
without_deepseek-v4-pro,MiniMax-M3,information_request,0.0
without_deepseek-v4-pro,MiniMax-M3,learner_choice,0.234375
without_deepseek-v4-pro,MiniMax-M3,reasoning_elicitation,0.46875
without_deepseek-v4-pro,MiniMax-M3,unsupported_ability_claim,0.28125
without_deepseek-v4-pro,MiniMax-M3,worked_explanation,1.0
without_deepseek-v4-pro,deepseek-v4-pro,affect_acknowledgement,0.84375
without_deepseek-v4-pro,deepseek-v4-pro,answer_reveal,1.0
without_deepseek-v4-pro,deepseek-v4-pro,epistemic_qualification,0.234375
without_deepseek-v4-pro,deepseek-v4-pro,information_request,0.015625
without_deepseek-v4-pro,deepseek-v4-pro,learner_choice,0.0625
without_deepseek-v4-pro,deepseek-v4-pro,reasoning_elicitation,0.203125
without_deepseek-v4-pro,deepseek-v4-pro,unsupported_ability_claim,0.046875
without_deepseek-v4-pro,deepseek-v4-pro,worked_explanation,1.0
without_deepseek-v4-pro,doubao-seed-2.0-lite,affect_acknowledgement,0.703125
without_deepseek-v4-pro,doubao-seed-2.0-lite,answer_reveal,1.0
without_deepseek-v4-pro,doubao-seed-2.0-lite,epistemic_qualification,0.1875
without_deepseek-v4-pro,doubao-seed-2.0-lite,information_request,0.0
without_deepseek-v4-pro,doubao-seed-2.0-lite,learner_choice,0.03125
without_deepseek-v4-pro,doubao-seed-2.0-lite,reasoning_elicitation,0.015625
without_deepseek-v4-pro,doubao-seed-2.0-lite,unsupported_ability_claim,0.046875
without_deepseek-v4-pro,doubao-seed-2.0-lite,worked_explanation,1.0
without_deepseek-v4-pro,glm-5.3,affect_acknowledgement,0.703125
without_deepseek-v4-pro,glm-5.3,answer_reveal,0.15625
without_deepseek-v4-pro,glm-5.3,epistemic_qualification,0.171875
without_deepseek-v4-pro,glm-5.3,information_request,0.0
without_deepseek-v4-pro,glm-5.3,learner_choice,0.140625
without_deepseek-v4-pro,glm-5.3,reasoning_elicitation,1.0
without_deepseek-v4-pro,glm-5.3,unsupported_ability_claim,0.03125
without_deepseek-v4-pro,glm-5.3,worked_explanation,0.71875
without_glm-5.3,MiniMax-M2.7,affect_acknowledgement,0.375
without_glm-5.3,MiniMax-M2.7,answer_reveal,0.953125
without_glm-5.3,MiniMax-M2.7,epistemic_qualification,0.265625
without_glm-5.3,MiniMax-M2.7,information_request,0.015625
without_glm-5.3,MiniMax-M2.7,learner_choice,0.25
without_glm-5.3,MiniMax-M2.7,reasoning_elicitation,0.1875
without_glm-5.3,MiniMax-M2.7,unsupported_ability_claim,0.125
without_glm-5.3,MiniMax-M2.7,worked_explanation,1.0
without_glm-5.3,MiniMax-M3,affect_acknowledgement,0.859375
without_glm-5.3,MiniMax-M3,answer_reveal,0.875
without_glm-5.3,MiniMax-M3,epistemic_qualification,0.234375
without_glm-5.3,MiniMax-M3,information_request,0.0
without_glm-5.3,MiniMax-M3,learner_choice,0.34375
without_glm-5.3,MiniMax-M3,reasoning_elicitation,0.390625
without_glm-5.3,MiniMax-M3,unsupported_ability_claim,0.375
without_glm-5.3,MiniMax-M3,worked_explanation,1.0
without_glm-5.3,deepseek-v4-pro,affect_acknowledgement,0.828125
without_glm-5.3,deepseek-v4-pro,answer_reveal,1.0
without_glm-5.3,deepseek-v4-pro,epistemic_qualification,0.265625
without_glm-5.3,deepseek-v4-pro,information_request,0.046875
without_glm-5.3,deepseek-v4-pro,learner_choice,0.078125
without_glm-5.3,deepseek-v4-pro,reasoning_elicitation,0.203125
without_glm-5.3,deepseek-v4-pro,unsupported_ability_claim,0.078125
without_glm-5.3,deepseek-v4-pro,worked_explanation,0.96875
without_glm-5.3,doubao-seed-2.0-lite,affect_acknowledgement,0.671875
without_glm-5.3,doubao-seed-2.0-lite,answer_reveal,1.0
without_glm-5.3,doubao-seed-2.0-lite,epistemic_qualification,0.21875
without_glm-5.3,doubao-seed-2.0-lite,information_request,0.0
without_glm-5.3,doubao-seed-2.0-lite,learner_choice,0.03125
without_glm-5.3,doubao-seed-2.0-lite,reasoning_elicitation,0.015625
without_glm-5.3,doubao-seed-2.0-lite,unsupported_ability_claim,0.0625
without_glm-5.3,doubao-seed-2.0-lite,worked_explanation,1.0
without_glm-5.3,glm-5.3,affect_acknowledgement,0.6875
without_glm-5.3,glm-5.3,answer_reveal,0.15625
without_glm-5.3,glm-5.3,epistemic_qualification,0.203125
without_glm-5.3,glm-5.3,information_request,0.015625
without_glm-5.3,glm-5.3,learner_choice,0.171875
without_glm-5.3,glm-5.3,reasoning_elicitation,1.0
without_glm-5.3,glm-5.3,unsupported_ability_claim,0.03125
without_glm-5.3,glm-5.3,worked_explanation,0.71875
