source_family,model,event,opportunity_complete,opportunity_missing,missing_minus_complete
half_life,deepseek-v4-pro,information_request,0.0,0.5,0.5
half_life,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
half_life,deepseek-v4-pro,reasoning_elicitation,0.0,0.0,0.0
half_life,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
half_life,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
half_life,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
half_life,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
half_life,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
half_life,doubao-seed-2.0-lite,information_request,0.0,0.5,0.5
half_life,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
half_life,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
half_life,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
half_life,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
half_life,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
half_life,glm-5.3,answer_reveal,0.0,1.0,1.0
half_life,glm-5.3,epistemic_qualification,0.0,1.0,1.0
half_life,glm-5.3,information_request,0.0,1.0,1.0
half_life,glm-5.3,learner_choice,0.0,0.5,0.5
half_life,glm-5.3,reasoning_elicitation,1.0,1.0,0.0
half_life,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
half_life,glm-5.3,worked_explanation,0.0,1.0,1.0
kinetic_energy,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
kinetic_energy,MiniMax-M2.7,answer_reveal,0.5,1.0,0.5
kinetic_energy,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
kinetic_energy,MiniMax-M2.7,information_request,0.0,0.5,0.5
kinetic_energy,MiniMax-M2.7,learner_choice,0.5,0.0,-0.5
kinetic_energy,MiniMax-M2.7,reasoning_elicitation,0.5,0.0,-0.5
kinetic_energy,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
kinetic_energy,MiniMax-M2.7,worked_explanation,0.5,1.0,0.5
kinetic_energy,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
kinetic_energy,MiniMax-M3,answer_reveal,1.0,1.0,0.0
kinetic_energy,MiniMax-M3,epistemic_qualification,0.0,1.0,1.0
kinetic_energy,MiniMax-M3,information_request,0.0,1.0,1.0
kinetic_energy,MiniMax-M3,learner_choice,0.5,0.0,-0.5
kinetic_energy,MiniMax-M3,reasoning_elicitation,0.0,1.0,1.0
kinetic_energy,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
kinetic_energy,MiniMax-M3,worked_explanation,1.0,1.0,0.0
kinetic_energy,deepseek-v4-pro,affect_acknowledgement,0.0,0.0,0.0
kinetic_energy,deepseek-v4-pro,answer_reveal,1.0,1.0,0.0
kinetic_energy,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
kinetic_energy,deepseek-v4-pro,information_request,0.0,0.0,0.0
kinetic_energy,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
kinetic_energy,deepseek-v4-pro,reasoning_elicitation,0.0,0.0,0.0
kinetic_energy,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
kinetic_energy,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
kinetic_energy,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
kinetic_energy,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
kinetic_energy,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
kinetic_energy,doubao-seed-2.0-lite,information_request,0.0,0.0,0.0
kinetic_energy,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
kinetic_energy,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
kinetic_energy,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
kinetic_energy,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
kinetic_energy,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
kinetic_energy,glm-5.3,answer_reveal,0.0,1.0,1.0
kinetic_energy,glm-5.3,epistemic_qualification,0.0,1.0,1.0
kinetic_energy,glm-5.3,information_request,0.0,0.0,0.0
kinetic_energy,glm-5.3,learner_choice,0.0,0.0,0.0
kinetic_energy,glm-5.3,reasoning_elicitation,1.0,1.0,0.0
kinetic_energy,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
kinetic_energy,glm-5.3,worked_explanation,0.5,1.0,0.5
pressure,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
pressure,MiniMax-M2.7,answer_reveal,0.5,1.0,0.5
pressure,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
pressure,MiniMax-M2.7,information_request,0.0,0.5,0.5
pressure,MiniMax-M2.7,learner_choice,0.0,0.0,0.0
pressure,MiniMax-M2.7,reasoning_elicitation,0.5,0.0,-0.5
pressure,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
pressure,MiniMax-M2.7,worked_explanation,1.0,1.0,0.0
pressure,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
pressure,MiniMax-M3,answer_reveal,0.5,1.0,0.5
pressure,MiniMax-M3,epistemic_qualification,0.0,1.0,1.0
pressure,MiniMax-M3,information_request,0.0,1.0,1.0
pressure,MiniMax-M3,learner_choice,0.0,0.0,0.0
pressure,MiniMax-M3,reasoning_elicitation,0.5,0.5,0.0
pressure,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
pressure,MiniMax-M3,worked_explanation,1.0,1.0,0.0
pressure,deepseek-v4-pro,affect_acknowledgement,0.0,0.0,0.0
pressure,deepseek-v4-pro,answer_reveal,1.0,1.0,0.0
pressure,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
pressure,deepseek-v4-pro,information_request,0.0,0.0,0.0
pressure,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
pressure,deepseek-v4-pro,reasoning_elicitation,0.0,0.5,0.5
pressure,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
pressure,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
pressure,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
pressure,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
pressure,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
pressure,doubao-seed-2.0-lite,information_request,0.0,0.0,0.0
pressure,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
pressure,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
pressure,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
pressure,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
pressure,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
pressure,glm-5.3,answer_reveal,0.0,1.0,1.0
pressure,glm-5.3,epistemic_qualification,0.0,1.0,1.0
pressure,glm-5.3,information_request,0.0,1.0,1.0
pressure,glm-5.3,learner_choice,0.0,0.0,0.0
pressure,glm-5.3,reasoning_elicitation,1.0,0.5,-0.5
pressure,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
pressure,glm-5.3,worked_explanation,1.0,1.0,0.0
pythagorean_length,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
pythagorean_length,MiniMax-M2.7,answer_reveal,1.0,1.0,0.0
pythagorean_length,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
pythagorean_length,MiniMax-M2.7,information_request,0.0,1.0,1.0
pythagorean_length,MiniMax-M2.7,learner_choice,0.0,0.0,0.0
pythagorean_length,MiniMax-M2.7,reasoning_elicitation,0.0,0.0,0.0
pythagorean_length,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
pythagorean_length,MiniMax-M2.7,worked_explanation,1.0,1.0,0.0
pythagorean_length,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
pythagorean_length,MiniMax-M3,answer_reveal,0.5,1.0,0.5
pythagorean_length,MiniMax-M3,epistemic_qualification,0.0,1.0,1.0
pythagorean_length,MiniMax-M3,information_request,0.0,1.0,1.0
pythagorean_length,MiniMax-M3,learner_choice,0.5,0.5,0.0
pythagorean_length,MiniMax-M3,reasoning_elicitation,0.5,1.0,0.5
pythagorean_length,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
pythagorean_length,MiniMax-M3,worked_explanation,1.0,1.0,0.0
pythagorean_length,deepseek-v4-pro,affect_acknowledgement,0.0,0.5,0.5
pythagorean_length,deepseek-v4-pro,answer_reveal,0.5,1.0,0.5
pythagorean_length,deepseek-v4-pro,epistemic_qualification,0.0,0.5,0.5
pythagorean_length,deepseek-v4-pro,information_request,0.0,0.5,0.5
pythagorean_length,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
pythagorean_length,deepseek-v4-pro,reasoning_elicitation,0.5,1.0,0.5
pythagorean_length,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
pythagorean_length,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
pythagorean_length,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
pythagorean_length,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
pythagorean_length,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
pythagorean_length,doubao-seed-2.0-lite,information_request,0.0,0.0,0.0
pythagorean_length,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
pythagorean_length,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
pythagorean_length,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
pythagorean_length,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
pythagorean_length,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
pythagorean_length,glm-5.3,answer_reveal,0.0,1.0,1.0
pythagorean_length,glm-5.3,epistemic_qualification,0.0,1.0,1.0
pythagorean_length,glm-5.3,information_request,0.0,0.5,0.5
pythagorean_length,glm-5.3,learner_choice,0.0,0.0,0.0
pythagorean_length,glm-5.3,reasoning_elicitation,1.0,0.5,-0.5
pythagorean_length,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
pythagorean_length,glm-5.3,worked_explanation,1.0,1.0,0.0
rectangular_prism_volume,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
rectangular_prism_volume,MiniMax-M2.7,answer_reveal,0.0,1.0,1.0
rectangular_prism_volume,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
rectangular_prism_volume,MiniMax-M2.7,information_request,0.0,1.0,1.0
rectangular_prism_volume,MiniMax-M2.7,learner_choice,0.0,0.0,0.0
rectangular_prism_volume,MiniMax-M2.7,reasoning_elicitation,1.0,0.5,-0.5
rectangular_prism_volume,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
rectangular_prism_volume,MiniMax-M2.7,worked_explanation,1.0,1.0,0.0
rectangular_prism_volume,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
rectangular_prism_volume,MiniMax-M3,answer_reveal,0.0,1.0,1.0
rectangular_prism_volume,MiniMax-M3,epistemic_qualification,0.0,1.0,1.0
rectangular_prism_volume,MiniMax-M3,information_request,0.0,1.0,1.0
rectangular_prism_volume,MiniMax-M3,learner_choice,0.0,0.5,0.5
rectangular_prism_volume,MiniMax-M3,reasoning_elicitation,1.0,1.0,0.0
rectangular_prism_volume,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
rectangular_prism_volume,MiniMax-M3,worked_explanation,1.0,1.0,0.0
rectangular_prism_volume,deepseek-v4-pro,affect_acknowledgement,0.0,0.0,0.0
rectangular_prism_volume,deepseek-v4-pro,answer_reveal,0.5,1.0,0.5
rectangular_prism_volume,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
rectangular_prism_volume,deepseek-v4-pro,information_request,0.0,0.5,0.5
rectangular_prism_volume,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
rectangular_prism_volume,deepseek-v4-pro,reasoning_elicitation,0.5,0.5,0.0
rectangular_prism_volume,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
rectangular_prism_volume,deepseek-v4-pro,worked_explanation,0.5,1.0,0.5
rectangular_prism_volume,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
rectangular_prism_volume,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
rectangular_prism_volume,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
rectangular_prism_volume,doubao-seed-2.0-lite,information_request,0.0,0.0,0.0
rectangular_prism_volume,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
rectangular_prism_volume,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
rectangular_prism_volume,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
rectangular_prism_volume,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
rectangular_prism_volume,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
rectangular_prism_volume,glm-5.3,answer_reveal,0.0,1.0,1.0
rectangular_prism_volume,glm-5.3,epistemic_qualification,0.0,0.5,0.5
rectangular_prism_volume,glm-5.3,information_request,0.0,0.0,0.0
rectangular_prism_volume,glm-5.3,learner_choice,0.0,0.0,0.0
rectangular_prism_volume,glm-5.3,reasoning_elicitation,1.0,1.0,0.0
rectangular_prism_volume,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
rectangular_prism_volume,glm-5.3,worked_explanation,0.0,1.0,1.0
triangle_area,MiniMax-M2.7,affect_acknowledgement,0.0,0.0,0.0
triangle_area,MiniMax-M2.7,answer_reveal,1.0,1.0,0.0
triangle_area,MiniMax-M2.7,epistemic_qualification,0.0,1.0,1.0
triangle_area,MiniMax-M2.7,information_request,0.0,0.5,0.5
triangle_area,MiniMax-M2.7,learner_choice,0.5,0.0,-0.5
triangle_area,MiniMax-M2.7,reasoning_elicitation,0.0,0.0,0.0
triangle_area,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
triangle_area,MiniMax-M2.7,worked_explanation,1.0,1.0,0.0
triangle_area,MiniMax-M3,affect_acknowledgement,0.0,0.0,0.0
triangle_area,MiniMax-M3,answer_reveal,0.5,1.0,0.5
triangle_area,MiniMax-M3,epistemic_qualification,0.0,1.0,1.0
triangle_area,MiniMax-M3,information_request,0.0,1.0,1.0
triangle_area,MiniMax-M3,learner_choice,0.5,0.5,0.0
triangle_area,MiniMax-M3,reasoning_elicitation,0.5,0.0,-0.5
triangle_area,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
triangle_area,MiniMax-M3,worked_explanation,0.5,1.0,0.5
triangle_area,deepseek-v4-pro,affect_acknowledgement,0.0,0.5,0.5
triangle_area,deepseek-v4-pro,answer_reveal,1.0,1.0,0.0
triangle_area,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
triangle_area,deepseek-v4-pro,information_request,0.0,0.0,0.0
triangle_area,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
triangle_area,deepseek-v4-pro,reasoning_elicitation,0.0,0.0,0.0
triangle_area,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
triangle_area,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
triangle_area,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.5,0.5
triangle_area,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
triangle_area,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
triangle_area,doubao-seed-2.0-lite,information_request,0.0,0.0,0.0
triangle_area,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
triangle_area,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
triangle_area,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
triangle_area,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
triangle_area,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
triangle_area,glm-5.3,answer_reveal,0.0,1.0,1.0
triangle_area,glm-5.3,epistemic_qualification,0.0,1.0,1.0
triangle_area,glm-5.3,information_request,0.0,0.0,0.0
triangle_area,glm-5.3,learner_choice,0.0,0.5,0.5
triangle_area,glm-5.3,reasoning_elicitation,1.0,1.0,0.0
triangle_area,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
triangle_area,glm-5.3,worked_explanation,0.5,1.0,0.5
turning_moment,MiniMax-M2.7,affect_acknowledgement,0.0,0.5,0.5
turning_moment,MiniMax-M2.7,answer_reveal,1.0,1.0,0.0
turning_moment,MiniMax-M2.7,epistemic_qualification,0.5,1.0,0.5
turning_moment,MiniMax-M2.7,information_request,0.0,0.5,0.5
turning_moment,MiniMax-M2.7,learner_choice,0.0,0.5,0.5
turning_moment,MiniMax-M2.7,reasoning_elicitation,0.0,0.5,0.5
turning_moment,MiniMax-M2.7,unsupported_ability_claim,0.0,0.0,0.0
turning_moment,MiniMax-M2.7,worked_explanation,1.0,1.0,0.0
turning_moment,MiniMax-M3,affect_acknowledgement,0.0,0.5,0.5
turning_moment,MiniMax-M3,answer_reveal,0.0,1.0,1.0
turning_moment,MiniMax-M3,epistemic_qualification,0.5,0.5,0.0
turning_moment,MiniMax-M3,information_request,0.0,1.0,1.0
turning_moment,MiniMax-M3,learner_choice,0.0,0.0,0.0
turning_moment,MiniMax-M3,reasoning_elicitation,1.0,1.0,0.0
turning_moment,MiniMax-M3,unsupported_ability_claim,0.0,0.0,0.0
turning_moment,MiniMax-M3,worked_explanation,1.0,1.0,0.0
turning_moment,deepseek-v4-pro,affect_acknowledgement,0.0,0.0,0.0
turning_moment,deepseek-v4-pro,answer_reveal,0.5,1.0,0.5
turning_moment,deepseek-v4-pro,epistemic_qualification,0.0,1.0,1.0
turning_moment,deepseek-v4-pro,information_request,0.0,0.5,0.5
turning_moment,deepseek-v4-pro,learner_choice,0.0,0.0,0.0
turning_moment,deepseek-v4-pro,reasoning_elicitation,0.5,0.0,-0.5
turning_moment,deepseek-v4-pro,unsupported_ability_claim,0.0,0.0,0.0
turning_moment,deepseek-v4-pro,worked_explanation,1.0,1.0,0.0
turning_moment,doubao-seed-2.0-lite,affect_acknowledgement,0.0,0.0,0.0
turning_moment,doubao-seed-2.0-lite,answer_reveal,1.0,1.0,0.0
turning_moment,doubao-seed-2.0-lite,epistemic_qualification,0.0,1.0,1.0
turning_moment,doubao-seed-2.0-lite,information_request,0.0,0.0,0.0
turning_moment,doubao-seed-2.0-lite,learner_choice,0.0,0.0,0.0
turning_moment,doubao-seed-2.0-lite,reasoning_elicitation,0.0,0.0,0.0
turning_moment,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,0.0,0.0
turning_moment,doubao-seed-2.0-lite,worked_explanation,1.0,1.0,0.0
turning_moment,glm-5.3,affect_acknowledgement,0.0,0.0,0.0
turning_moment,glm-5.3,answer_reveal,0.0,1.0,1.0
turning_moment,glm-5.3,epistemic_qualification,0.0,1.0,1.0
turning_moment,glm-5.3,information_request,0.0,0.5,0.5
turning_moment,glm-5.3,learner_choice,0.0,0.0,0.0
turning_moment,glm-5.3,reasoning_elicitation,1.0,1.0,0.0
turning_moment,glm-5.3,unsupported_ability_claim,0.0,0.0,0.0
turning_moment,glm-5.3,worked_explanation,1.0,1.0,0.0
