template,source_family,model,event,training_rate,training_n,later_rate,later_n,later_minus_training
ratio_partition,ratio_partition,glm-5.3,affect_acknowledgement,0.5,2,0.5,2,0.0
ratio_partition,ratio_partition,glm-5.3,answer_reveal,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,glm-5.3,epistemic_qualification,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,glm-5.3,information_request,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,glm-5.3,learner_choice,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,glm-5.3,reasoning_elicitation,1.0,2,1.0,2,0.0
ratio_partition,ratio_partition,glm-5.3,unsupported_ability_claim,0.0,2,0.0,2,0.0
ratio_partition,ratio_partition,glm-5.3,worked_explanation,0.5,2,0.0,2,-0.5
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,affect_acknowledgement,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,answer_reveal,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,epistemic_qualification,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,information_request,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,learner_choice,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,reasoning_elicitation,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,unsupported_ability_claim,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M2.7,worked_explanation,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M3,affect_acknowledgement,0.5,2,0.5,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M3,answer_reveal,0.5,2,1.0,2,0.5
simple_inheritance,mendelian_inheritance,MiniMax-M3,epistemic_qualification,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M3,information_request,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M3,learner_choice,0.0,2,0.5,2,0.5
simple_inheritance,mendelian_inheritance,MiniMax-M3,reasoning_elicitation,0.5,2,0.5,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M3,unsupported_ability_claim,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,MiniMax-M3,worked_explanation,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,affect_acknowledgement,1.0,2,0.0,2,-1.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,answer_reveal,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,epistemic_qualification,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,information_request,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,learner_choice,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,reasoning_elicitation,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,unsupported_ability_claim,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,deepseek-v4-pro,worked_explanation,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,affect_acknowledgement,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,answer_reveal,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,epistemic_qualification,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,information_request,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,learner_choice,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,reasoning_elicitation,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,doubao-seed-2.0-lite,worked_explanation,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,affect_acknowledgement,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,answer_reveal,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,epistemic_qualification,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,information_request,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,learner_choice,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,reasoning_elicitation,1.0,2,1.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,unsupported_ability_claim,0.0,2,0.0,2,0.0
simple_inheritance,mendelian_inheritance,glm-5.3,worked_explanation,0.0,2,0.5,2,0.5
universal_counterexample,counterexample,MiniMax-M2.7,affect_acknowledgement,0.0,2,1.0,2,1.0
universal_counterexample,counterexample,MiniMax-M2.7,answer_reveal,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,MiniMax-M2.7,epistemic_qualification,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M2.7,information_request,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M2.7,learner_choice,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M2.7,reasoning_elicitation,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M2.7,unsupported_ability_claim,0.0,2,0.5,2,0.5
universal_counterexample,counterexample,MiniMax-M2.7,worked_explanation,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,MiniMax-M3,affect_acknowledgement,0.0,2,0.5,2,0.5
universal_counterexample,counterexample,MiniMax-M3,answer_reveal,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,MiniMax-M3,epistemic_qualification,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M3,information_request,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M3,learner_choice,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M3,reasoning_elicitation,0.0,2,0.5,2,0.5
universal_counterexample,counterexample,MiniMax-M3,unsupported_ability_claim,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,MiniMax-M3,worked_explanation,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,deepseek-v4-pro,affect_acknowledgement,0.0,2,0.5,2,0.5
universal_counterexample,counterexample,deepseek-v4-pro,answer_reveal,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,deepseek-v4-pro,epistemic_qualification,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,deepseek-v4-pro,information_request,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,deepseek-v4-pro,learner_choice,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,deepseek-v4-pro,reasoning_elicitation,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,deepseek-v4-pro,unsupported_ability_claim,0.0,2,0.5,2,0.5
universal_counterexample,counterexample,deepseek-v4-pro,worked_explanation,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,affect_acknowledgement,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,answer_reveal,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,epistemic_qualification,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,information_request,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,learner_choice,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,reasoning_elicitation,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,unsupported_ability_claim,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,doubao-seed-2.0-lite,worked_explanation,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,glm-5.3,affect_acknowledgement,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,glm-5.3,answer_reveal,1.0,2,0.5,2,-0.5
universal_counterexample,counterexample,glm-5.3,epistemic_qualification,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,glm-5.3,information_request,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,glm-5.3,learner_choice,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,glm-5.3,reasoning_elicitation,1.0,2,1.0,2,0.0
universal_counterexample,counterexample,glm-5.3,unsupported_ability_claim,0.0,2,0.0,2,0.0
universal_counterexample,counterexample,glm-5.3,worked_explanation,1.0,2,1.0,2,0.0
