model,event,progress,affect,arm,change_from_canonical
MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,ask,-0.1875
MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,explain,-0.03125
MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,neutral_a,0.15625
MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,neutral_b,0.21875
MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,ask,-0.09375
MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,explain,0.0625
MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,neutral_a,-0.03125
MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,neutral_b,0.03125
MiniMax-M3,answer_reveal,correct_partial,calm,ask,-0.59375
MiniMax-M3,answer_reveal,correct_partial,calm,explain,0.375
MiniMax-M3,answer_reveal,correct_partial,calm,neutral_a,-0.03125
MiniMax-M3,answer_reveal,correct_partial,calm,neutral_b,-0.03125
MiniMax-M3,answer_reveal,correct_partial,frustrated,ask,-0.8125
MiniMax-M3,answer_reveal,correct_partial,frustrated,explain,0.09375
MiniMax-M3,answer_reveal,correct_partial,frustrated,neutral_a,-0.03125
MiniMax-M3,answer_reveal,correct_partial,frustrated,neutral_b,-0.15625
MiniMax-M3,answer_reveal,wrong_attempt,calm,ask,-0.8125
MiniMax-M3,answer_reveal,wrong_attempt,calm,explain,0.1875
MiniMax-M3,answer_reveal,wrong_attempt,calm,neutral_a,-0.09375
MiniMax-M3,answer_reveal,wrong_attempt,calm,neutral_b,-0.03125
MiniMax-M3,answer_reveal,wrong_attempt,frustrated,ask,-0.78125
MiniMax-M3,answer_reveal,wrong_attempt,frustrated,explain,0.21875
MiniMax-M3,answer_reveal,wrong_attempt,frustrated,neutral_a,0.0
MiniMax-M3,answer_reveal,wrong_attempt,frustrated,neutral_b,0.03125
MiniMax-M3,reasoning_elicitation,correct_partial,calm,ask,0.5
MiniMax-M3,reasoning_elicitation,correct_partial,calm,explain,-0.0625
MiniMax-M3,reasoning_elicitation,correct_partial,calm,neutral_a,0.09375
MiniMax-M3,reasoning_elicitation,correct_partial,calm,neutral_b,0.21875
MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,ask,0.4375
MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,explain,-0.125
MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,neutral_a,-0.15625
MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,neutral_b,0.0
MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,ask,0.4375
MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,explain,-0.0625
MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,neutral_a,0.0625
MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,neutral_b,0.03125
MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,ask,0.375
MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,explain,-0.1875
MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,neutral_a,-0.09375
MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,neutral_b,-0.0625
deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,ask,-0.03125
deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,explain,-0.125
deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,neutral_a,0.0
deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,neutral_b,0.0625
deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,ask,-0.15625
deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,explain,-0.3125
deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,neutral_a,-0.15625
deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,neutral_b,-0.03125
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,ask,-0.15625
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,explain,-0.09375
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,neutral_a,0.03125
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,neutral_b,-0.03125
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,ask,0.15625
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,explain,0.03125
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,neutral_a,0.09375
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,neutral_b,0.125
deepseek-v4-pro,answer_reveal,correct_partial,calm,ask,-1.0
deepseek-v4-pro,answer_reveal,correct_partial,calm,explain,0.0
deepseek-v4-pro,answer_reveal,correct_partial,calm,neutral_a,0.0
deepseek-v4-pro,answer_reveal,correct_partial,calm,neutral_b,0.0
deepseek-v4-pro,answer_reveal,correct_partial,frustrated,ask,-1.0
deepseek-v4-pro,answer_reveal,correct_partial,frustrated,explain,0.0
deepseek-v4-pro,answer_reveal,correct_partial,frustrated,neutral_a,-0.03125
deepseek-v4-pro,answer_reveal,correct_partial,frustrated,neutral_b,0.0
deepseek-v4-pro,answer_reveal,wrong_attempt,calm,ask,-1.0
deepseek-v4-pro,answer_reveal,wrong_attempt,calm,explain,0.0
deepseek-v4-pro,answer_reveal,wrong_attempt,calm,neutral_a,0.0
deepseek-v4-pro,answer_reveal,wrong_attempt,calm,neutral_b,0.0
deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,ask,-1.0
deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,explain,0.0
deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,neutral_a,0.0
deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,neutral_b,0.0
deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,ask,1.0
deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,explain,0.03125
deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,neutral_a,0.0
deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,neutral_b,0.03125
deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,ask,0.96875
deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,explain,0.0625
deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,neutral_a,0.03125
deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,neutral_b,0.0625
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,ask,0.9375
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,explain,-0.03125
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,neutral_a,-0.0625
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,neutral_b,-0.03125
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,ask,0.96875
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,explain,0.03125
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,neutral_a,-0.03125
deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,neutral_b,-0.03125
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,ask,0.0
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,explain,0.0
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,neutral_a,0.0
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,neutral_b,0.0
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,ask,-0.28125
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,explain,-0.34375
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,neutral_a,-0.0625
doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,neutral_b,-0.09375
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,ask,-0.09375
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,explain,-0.25
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,neutral_a,0.0625
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,neutral_b,0.0
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,ask,-0.0625
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,explain,-0.03125
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,neutral_a,0.0
doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,neutral_b,0.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,ask,-1.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,explain,0.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,neutral_a,0.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,neutral_b,0.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,ask,-1.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,explain,0.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,neutral_a,0.0
doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,neutral_b,0.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,ask,-1.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,explain,0.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,neutral_a,0.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,neutral_b,0.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,ask,-1.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,explain,0.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,neutral_a,0.0
doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,neutral_b,0.0
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,ask,1.0
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,explain,0.03125
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,neutral_a,0.0625
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,neutral_b,0.03125
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,ask,1.0
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,explain,0.0
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,neutral_a,0.0
doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,neutral_b,0.0
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,ask,0.875
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,explain,-0.09375
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,neutral_a,-0.0625
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,neutral_b,-0.0625
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,ask,0.96875
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,explain,-0.03125
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,neutral_a,-0.03125
doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,neutral_b,0.0
glm-5.3,affect_acknowledgement,correct_partial,calm,ask,-0.09375
glm-5.3,affect_acknowledgement,correct_partial,calm,explain,0.0
glm-5.3,affect_acknowledgement,correct_partial,calm,neutral_a,0.03125
glm-5.3,affect_acknowledgement,correct_partial,calm,neutral_b,0.125
glm-5.3,affect_acknowledgement,correct_partial,frustrated,ask,0.03125
glm-5.3,affect_acknowledgement,correct_partial,frustrated,explain,-0.03125
glm-5.3,affect_acknowledgement,correct_partial,frustrated,neutral_a,0.03125
glm-5.3,affect_acknowledgement,correct_partial,frustrated,neutral_b,0.125
glm-5.3,affect_acknowledgement,wrong_attempt,calm,ask,-0.0625
glm-5.3,affect_acknowledgement,wrong_attempt,calm,explain,-0.09375
glm-5.3,affect_acknowledgement,wrong_attempt,calm,neutral_a,0.1875
glm-5.3,affect_acknowledgement,wrong_attempt,calm,neutral_b,0.3125
glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,ask,0.0625
glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,explain,0.0
glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,neutral_a,0.03125
glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,neutral_b,0.0625
glm-5.3,answer_reveal,correct_partial,calm,ask,-0.1875
glm-5.3,answer_reveal,correct_partial,calm,explain,0.8125
glm-5.3,answer_reveal,correct_partial,calm,neutral_a,0.09375
glm-5.3,answer_reveal,correct_partial,calm,neutral_b,0.25
glm-5.3,answer_reveal,correct_partial,frustrated,ask,-0.4375
glm-5.3,answer_reveal,correct_partial,frustrated,explain,0.5625
glm-5.3,answer_reveal,correct_partial,frustrated,neutral_a,-0.03125
glm-5.3,answer_reveal,correct_partial,frustrated,neutral_b,0.125
glm-5.3,answer_reveal,wrong_attempt,calm,ask,-0.15625
glm-5.3,answer_reveal,wrong_attempt,calm,explain,0.84375
glm-5.3,answer_reveal,wrong_attempt,calm,neutral_a,0.03125
glm-5.3,answer_reveal,wrong_attempt,calm,neutral_b,0.15625
glm-5.3,answer_reveal,wrong_attempt,frustrated,ask,-0.3125
glm-5.3,answer_reveal,wrong_attempt,frustrated,explain,0.6875
glm-5.3,answer_reveal,wrong_attempt,frustrated,neutral_a,-0.03125
glm-5.3,answer_reveal,wrong_attempt,frustrated,neutral_b,0.09375
glm-5.3,reasoning_elicitation,correct_partial,calm,ask,0.0
glm-5.3,reasoning_elicitation,correct_partial,calm,explain,-0.40625
glm-5.3,reasoning_elicitation,correct_partial,calm,neutral_a,-0.03125
glm-5.3,reasoning_elicitation,correct_partial,calm,neutral_b,-0.125
glm-5.3,reasoning_elicitation,correct_partial,frustrated,ask,0.125
glm-5.3,reasoning_elicitation,correct_partial,frustrated,explain,-0.34375
glm-5.3,reasoning_elicitation,correct_partial,frustrated,neutral_a,0.09375
glm-5.3,reasoning_elicitation,correct_partial,frustrated,neutral_b,0.03125
glm-5.3,reasoning_elicitation,wrong_attempt,calm,ask,0.0
glm-5.3,reasoning_elicitation,wrong_attempt,calm,explain,-0.28125
glm-5.3,reasoning_elicitation,wrong_attempt,calm,neutral_a,0.0
glm-5.3,reasoning_elicitation,wrong_attempt,calm,neutral_b,-0.03125
glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,ask,0.0625
glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,explain,-0.28125
glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,neutral_a,0.03125
glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,neutral_b,-0.03125
