model,context_group,scenario,language,items,incorrect_inclusion_rate,omission_rate,perfect_match_rate,rfs
minimax-m2.7,Personalized Learning Support (PLS)|zh,Personalized Learning Support (PLS),zh,542,0.21217712177121772,0.01107011070110701,0.7767527675276753,0.7822878228782287
minimax-m2.7,Problem Solving (PS)|en,Problem Solving (PS),en,484,0.30165289256198347,0.10330578512396695,0.5950413223140496,0.6446280991735537
minimax-m2.7,Problem Solving (PS)|zh,Problem Solving (PS),zh,483,0.29606625258799174,0.08902691511387163,0.6149068322981367,0.6594202898550725
glm-5.2,Emotional Support (ES)|en,Emotional Support (ES),en,536,0.2667910447761194,0.08768656716417911,0.6455223880597015,0.6893656716417911
glm-5.2,Emotional Support (ES)|zh,Emotional Support (ES),zh,536,0.26865671641791045,0.08955223880597014,0.6417910447761194,0.6865671641791045
glm-5.2,Error Correction (EC)|en,Error Correction (EC),en,572,0.07167832167832168,0.5384615384615384,0.38986013986013984,0.6590909090909091
glm-5.2,Error Correction (EC)|zh,Error Correction (EC),zh,572,0.07167832167832168,0.5034965034965035,0.42482517482517484,0.6765734265734266
glm-5.2,Idea Provision (IP)|en,Idea Provision (IP),en,501,0.13572854291417166,0.04790419161676647,0.8163672654690619,0.8393213572854291
glm-5.2,Idea Provision (IP)|zh,Idea Provision (IP),zh,501,0.10778443113772455,0.04590818363273453,0.846307385229541,0.8672654690618763
glm-5.2,Personalized Learning Support (PLS)|en,Personalized Learning Support (PLS),en,542,0.05166051660516605,0.13837638376383765,0.8099630996309963,0.8791512915129152
glm-5.2,Personalized Learning Support (PLS)|zh,Personalized Learning Support (PLS),zh,542,0.04059040590405904,0.14575645756457564,0.8136531365313653,0.8865313653136532
glm-5.2,Problem Solving (PS)|en,Problem Solving (PS),en,484,0.1652892561983471,0.24586776859504134,0.5888429752066116,0.7107438016528925
glm-5.2,Problem Solving (PS)|zh,Problem Solving (PS),zh,484,0.17148760330578514,0.22933884297520662,0.5991735537190083,0.7128099173553719
deepseek-v4-pro,Emotional Support (ES)|en,Emotional Support (ES),en,536,0.2873134328358209,0.09514925373134328,0.6175373134328358,0.6651119402985075
deepseek-v4-pro,Emotional Support (ES)|zh,Emotional Support (ES),zh,536,0.31156716417910446,0.06343283582089553,0.625,0.6567164179104478
deepseek-v4-pro,Error Correction (EC)|en,Error Correction (EC),en,571,0.15061295971978983,0.21891418563922943,0.6304728546409807,0.7399299474605955
deepseek-v4-pro,Error Correction (EC)|zh,Error Correction (EC),zh,572,0.11363636363636363,0.23426573426573427,0.6520979020979021,0.7692307692307693
deepseek-v4-pro,Idea Provision (IP)|en,Idea Provision (IP),en,501,0.1996007984031936,0.033932135728542916,0.7664670658682635,0.782435129740519
deepseek-v4-pro,Idea Provision (IP)|zh,Idea Provision (IP),zh,501,0.16167664670658682,0.029940119760479042,0.8083832335329342,0.8213572854291418
deepseek-v4-pro,Personalized Learning Support (PLS)|en,Personalized Learning Support (PLS),en,542,0.0996309963099631,0.06088560885608856,0.8394833948339483,0.8699261992619927
deepseek-v4-pro,Personalized Learning Support (PLS)|zh,Personalized Learning Support (PLS),zh,542,0.07195571955719557,0.07564575645756458,0.8523985239852399,0.8902214022140221
deepseek-v4-pro,Problem Solving (PS)|en,Problem Solving (PS),en,482,0.2033195020746888,0.17219917012448133,0.6244813278008299,0.7105809128630706
deepseek-v4-pro,Problem Solving (PS)|zh,Problem Solving (PS),zh,483,0.2277432712215321,0.14699792960662525,0.6252587991718427,0.6987577639751553
doubao-seed-2.0-pro,Emotional Support (ES)|en,Emotional Support (ES),en,536,0.26865671641791045,0.09888059701492537,0.6324626865671642,0.6819029850746269
doubao-seed-2.0-pro,Emotional Support (ES)|zh,Emotional Support (ES),zh,536,0.2873134328358209,0.06343283582089553,0.6492537313432836,0.6809701492537313
doubao-seed-2.0-pro,Error Correction (EC)|en,Error Correction (EC),en,572,0.1346153846153846,0.25,0.6153846153846154,0.7403846153846154
doubao-seed-2.0-pro,Error Correction (EC)|zh,Error Correction (EC),zh,572,0.10314685314685315,0.256993006993007,0.6398601398601399,0.7683566433566433
doubao-seed-2.0-pro,Idea Provision (IP)|en,Idea Provision (IP),en,501,0.22355289421157684,0.031936127744510975,0.7445109780439122,0.7584830339321357
doubao-seed-2.0-pro,Idea Provision (IP)|zh,Idea Provision (IP),zh,501,0.1996007984031936,0.03592814371257485,0.7644710578842315,0.7754491017964071
doubao-seed-2.0-pro,Personalized Learning Support (PLS)|en,Personalized Learning Support (PLS),en,542,0.08487084870848709,0.05719557195571956,0.8579335793357934,0.8865313653136532
doubao-seed-2.0-pro,Personalized Learning Support (PLS)|zh,Personalized Learning Support (PLS),zh,542,0.07380073800738007,0.05904059040590406,0.8671586715867159,0.8966789667896679
doubao-seed-2.0-pro,Problem Solving (PS)|en,Problem Solving (PS),en,484,0.19421487603305784,0.21074380165289255,0.5950413223140496,0.6993801652892562
doubao-seed-2.0-pro,Problem Solving (PS)|zh,Problem Solving (PS),zh,484,0.1962809917355372,0.16735537190082644,0.6363636363636364,0.7179752066115702
qwen3.5-4b,Emotional Support (ES)|en,Emotional Support (ES),en,536,0.2555970149253731,0.22388059701492538,0.5205223880597015,0.6324626865671642
qwen3.5-4b,Emotional Support (ES)|zh,Emotional Support (ES),zh,536,0.2593283582089552,0.15858208955223882,0.582089552238806,0.6613805970149254
qwen3.5-4b,Error Correction (EC)|en,Error Correction (EC),en,572,0.10839160839160839,0.263986013986014,0.6276223776223776,0.7596153846153846
qwen3.5-4b,Error Correction (EC)|zh,Error Correction (EC),zh,572,0.09615384615384616,0.256993006993007,0.6468531468531469,0.7753496503496503
qwen3.5-4b,Idea Provision (IP)|en,Idea Provision (IP),en,501,0.18163672654690619,0.05788423153692615,0.7604790419161677,0.7874251497005988
qwen3.5-4b,Idea Provision (IP)|zh,Idea Provision (IP),zh,501,0.16367265469061876,0.05389221556886228,0.782435129740519,0.8023952095808383
qwen3.5-4b,Personalized Learning Support (PLS)|en,Personalized Learning Support (PLS),en,542,0.11439114391143912,0.08487084870848709,0.8007380073800738,0.8413284132841329
qwen3.5-4b,Personalized Learning Support (PLS)|zh,Personalized Learning Support (PLS),zh,542,0.0940959409594096,0.09778597785977859,0.8081180811808119,0.8570110701107011
qwen3.5-4b,Problem Solving (PS)|en,Problem Solving (PS),en,484,0.1859504132231405,0.1962809917355372,0.6177685950413223,0.7159090909090909
qwen3.5-4b,Problem Solving (PS)|zh,Problem Solving (PS),zh,484,0.1859504132231405,0.16735537190082644,0.6466942148760331,0.7303719008264463
