event,comparison,baseline,model,sources,mean_difference,source_standard_error,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,deleted_generator
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-5.539749214986708e-05,0.0006209048117345988,,-0.0012380698039160714,0.0011551012179330563,0.05,-0.0013217412046148118,0.0012109462203150777,deepseek-v4-pro
affect_acknowledgement,default_vs_context,context,default_profile,32,0.028750453823694195,0.004052016161901676,,0.020756679343111036,0.03622750000919901,0.05,0.02048631237648016,0.03701459527090823,deepseek-v4-pro
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.0028436517591653326,0.0013396728898698584,,0.0003431424036295484,0.005581088922330957,0.05,0.00011137088650302199,0.005575932631827643,deepseek-v4-pro
answer_reveal,default_vs_context,context,default_profile,32,0.10252011527084678,0.011076220080709492,,0.08007111490864914,0.12260662247180078,0.05,0.07993001548099386,0.1251102150606997,doubao-seed-2.0-lite
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.000515259530015104,0.0005335319112795101,,-0.00047906634167288405,0.0015771127947187813,0.05,-0.0005728859771210325,0.0016034050371512404,doubao-seed-2.0-lite
reasoning_elicitation,default_vs_context,context,default_profile,32,0.13857933418688761,0.0048699643995733,,0.1292487594357503,0.14783745724959277,0.05,0.12864697631048605,0.14851169206328918,doubao-seed-2.0-lite
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.00023993344915590247,0.0004040628405796319,,-0.0009915360124777915,0.0005671453981662545,0.05,-0.00106402504570719,0.0005841581473953851,doubao-seed-2.0-lite
affect_acknowledgement,default_vs_context,context,default_profile,32,0.02194992124827549,0.0035632698813540514,,0.014884093582512607,0.02854844475039802,0.05,0.01468258441211457,0.029217258084436412,doubao-seed-2.0-lite
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.005641284621234613,0.002340053488947139,,0.001027988669176666,0.009958044808837739,0.05,0.0008687140652400942,0.010413855177229132,doubao-seed-2.0-lite
answer_reveal,default_vs_context,context,default_profile,32,0.0039419494996645755,0.0019398560495782877,,0.00041917939903947534,0.007936089411952597,0.05,-1.441299752375988e-05,0.00789831199685291,glm-5.3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0006680136841482125,0.001060874887315596,,-0.0015163892459408232,0.002591015167267222,0.05,-0.0014956549134762201,0.0028316822817726454,glm-5.3
reasoning_elicitation,default_vs_context,context,default_profile,32,0.0307997105333684,0.00590853450656205,,0.019443712436239977,0.04196670873191157,0.05,0.01874917495873793,0.04285024610799887,glm-5.3
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-2.6309937414975256e-05,0.0006078377911320998,,-0.0011600140985188506,0.0011784282436855236,0.05,-0.0012660032856567842,0.0012133834108268337,glm-5.3
affect_acknowledgement,default_vs_context,context,default_profile,32,0.02485891125612478,0.0035744441861467356,,0.017668980861764688,0.031460090631468714,0.05,0.017568784275085046,0.032149038237164515,glm-5.3
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.011536934009276191,0.0023470198860598545,,0.006933182664011159,0.015971809149965426,0.05,0.006750155392697352,0.01632371262585503,glm-5.3
