group,learner_need,question_policy,answer_policy,tone_policy,n,question_first,answer_reveal_correct,warmth_marker,question_any,answer_reveal_any,word_count,char_count,sentence_count
MiniMax-M3,explore,explain_only,reveal,warm,8,0.0,0.375,0.75,0.25,0.375,112.125,613.125,7.25
MiniMax-M3,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.25,0.0,87.5,468.125,5.75
MiniMax-M3,explore,explain_only,withhold,warm,8,0.0,0.0,0.375,0.25,0.0,132.375,713.875,8.5
MiniMax-M3,explore,question_first,reveal,neutral,8,1.0,0.5,0.0,1.0,0.5,55.75,304.75,3.75
MiniMax-M3,explore,question_first,reveal,warm,8,0.5,1.0,0.75,1.0,1.0,91.75,500.0,6.5
MiniMax-M3,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,23.125,121.375,1.125
MiniMax-M3,explore,question_first,withhold,warm,8,0.125,0.0,0.5,1.0,0.0,79.375,426.375,5.0
deepseek-v4-pro,direct,explain_only,reveal,neutral,8,0.0,0.875,0.0,0.0,1.0,48.125,265.5,4.5
deepseek-v4-pro,direct,explain_only,reveal,warm,8,0.0,1.0,0.625,0.0,1.0,62.125,337.75,4.875
deepseek-v4-pro,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,67.625,369.75,4.375
deepseek-v4-pro,direct,explain_only,withhold,warm,8,0.0,0.0,0.625,0.125,0.0,82.375,447.25,5.5
deepseek-v4-pro,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,60.125,325.25,5.5
deepseek-v4-pro,direct,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,70.75,380.75,6.125
deepseek-v4-pro,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,59.125,327.625,5.0
deepseek-v4-pro,direct,question_first,withhold,warm,8,1.0,0.0,0.875,1.0,0.0,81.625,433.875,6.0
deepseek-v4-pro,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,46.0,257.25,4.0
deepseek-v4-pro,explore,explain_only,reveal,warm,8,0.0,1.0,0.5,0.0,1.0,59.0,324.875,4.75
deepseek-v4-pro,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,82.0,456.25,6.125
deepseek-v4-pro,explore,explain_only,withhold,warm,8,0.0,0.0,0.75,0.0,0.0,86.25,475.875,4.875
deepseek-v4-pro,explore,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,63.0,353.5,5.25
deepseek-v4-pro,explore,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,69.0,376.75,5.625
deepseek-v4-pro,explore,question_first,withhold,neutral,8,0.875,0.0,0.0,1.0,0.0,63.75,365.75,3.75
deepseek-v4-pro,explore,question_first,withhold,warm,8,0.75,0.0,0.5,1.0,0.0,82.0,436.25,5.625
doubao-seed-2.0-lite,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,78.125,446.375,5.125
doubao-seed-2.0-lite,direct,explain_only,reveal,warm,8,0.0,1.0,0.375,0.0,1.0,104.375,579.75,5.875
doubao-seed-2.0-lite,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,99.125,572.5,4.375
doubao-seed-2.0-lite,direct,explain_only,withhold,warm,8,0.0,0.0,0.375,0.0,0.0,149.75,847.375,6.5
doubao-seed-2.0-lite,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,81.375,448.625,6.25
doubao-seed-2.0-lite,direct,question_first,reveal,warm,8,1.0,1.0,0.375,1.0,1.0,105.0,573.625,7.25
doubao-seed-2.0-lite,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,108.375,624.75,5.375
doubao-seed-2.0-lite,direct,question_first,withhold,warm,8,1.0,0.0,0.875,1.0,0.0,136.0,745.5,6.125
doubao-seed-2.0-lite,explore,explain_only,reveal,neutral,8,0.0,0.875,0.0,0.0,1.0,66.375,385.125,4.25
doubao-seed-2.0-lite,explore,explain_only,reveal,warm,8,0.0,1.0,0.5,0.0,1.0,84.5,487.875,4.5
doubao-seed-2.0-lite,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,83.625,482.875,3.75
doubao-seed-2.0-lite,explore,explain_only,withhold,warm,8,0.0,0.0,0.625,0.0,0.0,117.5,675.625,4.5
doubao-seed-2.0-lite,explore,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,66.25,372.375,4.625
doubao-seed-2.0-lite,explore,question_first,reveal,warm,8,1.0,1.0,0.375,1.0,1.0,73.625,406.875,5.125
doubao-seed-2.0-lite,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,75.75,428.375,3.5
doubao-seed-2.0-lite,explore,question_first,withhold,warm,8,1.0,0.0,0.75,1.0,0.0,103.25,580.0,4.25
glm-5.2,direct,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,51.625,265.625,4.875
glm-5.2,direct,explain_only,reveal,warm,8,0.0,1.0,0.375,0.0,1.0,71.625,386.5,5.375
glm-5.2,direct,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,68.75,378.75,4.75
glm-5.2,direct,explain_only,withhold,warm,8,0.0,0.0,0.5,0.125,0.0,89.75,497.5,7.25
glm-5.2,direct,question_first,reveal,neutral,8,1.0,1.0,0.0,1.0,1.0,56.125,294.25,4.875
glm-5.2,direct,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,81.25,443.5,5.75
glm-5.2,direct,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,71.625,383.75,5.25
glm-5.2,direct,question_first,withhold,warm,8,0.5,0.0,0.75,1.0,0.0,104.5,567.0,7.0
glm-5.2,explore,explain_only,reveal,neutral,8,0.0,1.0,0.0,0.0,1.0,65.375,364.375,5.125
glm-5.2,explore,explain_only,reveal,warm,8,0.0,1.0,0.25,0.0,1.0,78.5,433.125,5.0
glm-5.2,explore,explain_only,withhold,neutral,8,0.0,0.0,0.0,0.0,0.0,66.375,386.875,4.625
glm-5.2,explore,explain_only,withhold,warm,8,0.0,0.0,0.75,0.0,0.0,89.875,492.75,5.625
glm-5.2,explore,question_first,reveal,neutral,8,0.875,0.875,0.0,1.0,0.875,56.625,297.0,4.75
glm-5.2,explore,question_first,reveal,warm,8,1.0,1.0,0.5,1.0,1.0,88.375,483.625,6.25
glm-5.2,explore,question_first,withhold,neutral,8,1.0,0.0,0.0,1.0,0.0,54.0,289.125,3.375
glm-5.2,explore,question_first,withhold,warm,8,0.875,0.0,0.5,1.0,0.0,91.75,500.25,4.75
