task,model,dimension,contexts,raw_mean,mean_item_centered_score,centered_across_models
mathdial_standard,doubao-seed-2.0-pro,epistemic_caution,79,1.0759493670886076,-0.11392405063291138,-0.11392405063291133
mathdial_standard,doubao-seed-2.0-pro,help_directness,79,3.8987341772151898,0.12025316455696199,0.12025316455696222
mathdial_standard,doubao-seed-2.0-pro,personalization,79,3.0,0.16244725738396623,0.16244725738396637
mathdial_standard,glm-5.2,affective_warmth,79,3.1772151898734178,0.08860759493670883,0.08860759493670889
mathdial_standard,glm-5.2,autonomy_support,79,2.962025316455696,1.0485232067510548,1.0485232067510548
mathdial_standard,glm-5.2,cognitive_load,79,1.9240506329113924,-0.270042194092827,-0.2700421940928268
mathdial_standard,glm-5.2,diagnostic_specificity,79,3.6582278481012658,0.02320675105485232,0.02320675105485215
mathdial_standard,glm-5.2,elicitation,79,3.2658227848101267,1.2848101265822784,1.2848101265822784
mathdial_standard,glm-5.2,epistemic_caution,79,1.1518987341772151,-0.0379746835443038,-0.03797468354430378
mathdial_standard,glm-5.2,help_directness,79,2.9746835443037973,-0.8037974683544303,-0.8037974683544302
mathdial_standard,glm-5.2,personalization,79,2.8860759493670884,0.048523206751054836,0.048523206751054815
mathdial_standard,minimax-m2.7,affective_warmth,79,2.4556962025316458,-0.6329113924050633,-0.6329113924050631
mathdial_standard,minimax-m2.7,autonomy_support,79,1.1898734177215189,-0.7236286919831223,-0.7236286919831223
mathdial_standard,minimax-m2.7,cognitive_load,79,2.607594936708861,0.4135021097046413,0.41350210970464163
mathdial_standard,minimax-m2.7,diagnostic_specificity,79,3.4936708860759493,-0.14135021097046416,-0.1413502109704643
mathdial_standard,minimax-m2.7,elicitation,79,1.1139240506329113,-0.8670886075949367,-0.8670886075949369
mathdial_standard,minimax-m2.7,epistemic_caution,79,1.1898734177215189,9.134746405143692e-18,0.0
mathdial_standard,minimax-m2.7,help_directness,79,4.6835443037974684,0.9050632911392406,0.9050632911392409
mathdial_standard,minimax-m2.7,personalization,79,2.632911392405063,-0.2046413502109705,-0.20464135021097052
mathdial_standard,minimax-m3,affective_warmth,79,3.2278481012658227,0.1392405063291139,0.13924050632911378
mathdial_standard,minimax-m3,autonomy_support,79,1.759493670886076,-0.1540084388185654,-0.15400843881856519
mathdial_standard,minimax-m3,cognitive_load,79,2.4430379746835444,0.2489451476793249,0.24894514767932518
mathdial_standard,minimax-m3,diagnostic_specificity,79,3.607594936708861,-0.02742616033755273,-0.02742616033755274
mathdial_standard,minimax-m3,elicitation,79,1.9240506329113924,-0.05696202531645565,-0.05696202531645578
mathdial_standard,minimax-m3,epistemic_caution,79,1.1772151898734178,-0.012658227848101266,-0.012658227848101111
mathdial_standard,minimax-m3,help_directness,79,4.139240506329114,0.360759493670886,0.3607594936708862
mathdial_standard,minimax-m3,personalization,79,2.8227848101265822,-0.014767932489451489,-0.014767932489451407
mathdial_standard,qwen3.5-4b,affective_warmth,79,3.278481012658228,0.18987341772151894,0.1898734177215191
mathdial_standard,qwen3.5-4b,autonomy_support,79,1.5949367088607596,-0.31856540084388185,-0.31856540084388163
mathdial_standard,qwen3.5-4b,cognitive_load,79,1.9240506329113924,-0.270042194092827,-0.2700421940928268
mathdial_standard,qwen3.5-4b,diagnostic_specificity,79,3.430379746835443,-0.2046413502109705,-0.20464135021097052
mathdial_standard,qwen3.5-4b,elicitation,79,1.4303797468354431,-0.5506329113924051,-0.5506329113924051
mathdial_standard,qwen3.5-4b,epistemic_caution,79,1.1898734177215189,5.6213824031653495e-18,0.0
mathdial_standard,qwen3.5-4b,help_directness,79,3.6455696202531644,-0.1329113924050633,-0.1329113924050631
mathdial_standard,qwen3.5-4b,personalization,79,2.8354430379746836,-0.002109704641350223,-0.002109704641350074
