arm,model,event,interpretation,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note
implicit,MiniMax-M2.7,affect_acknowledgement,student cue contrast,32,0.453125,0.3671875,0.5390625,0.057717746020138044,3.6728259280485687e-09,
implicit,MiniMax-M2.7,answer_reveal,student cue contrast,32,0.0234375,0.0,0.046875,0.01308786509334555,0.041549375641236834,
implicit,MiniMax-M2.7,reasoning_elicitation,student cue contrast,32,-0.0625,-0.109375,-0.015625,0.02749633406650374,0.9849468860403212,
implicit,MiniMax-M3,affect_acknowledgement,student cue contrast,32,0.75,0.6484375,0.84375,0.053834798075881804,3.439551270666613e-15,
implicit,MiniMax-M3,answer_reveal,student cue contrast,32,0.234375,0.14042968750000018,0.3359375,0.05492101641771425,8.6394453020769e-05,
implicit,MiniMax-M3,reasoning_elicitation,student cue contrast,32,-0.1953125,-0.296875,-0.09375,0.05468749999999999,0.99940868628025,
implicit,deepseek-v4-pro,affect_acknowledgement,student cue contrast,32,0.5078125,0.4140625,0.6015625,0.053227930408807356,4.869995551653154e-11,
implicit,deepseek-v4-pro,answer_reveal,student cue contrast,32,0.1015625,0.0390625,0.1796875,0.04178986742205849,0.010534148396095129,
implicit,deepseek-v4-pro,reasoning_elicitation,student cue contrast,32,-0.0703125,-0.15625,0.0078125,0.04793410374056544,0.923756438349287,
implicit,doubao-seed-2.0-lite,affect_acknowledgement,student cue contrast,32,0.6484375,0.5625,0.734375,0.04743864750620259,5.72600756824566e-15,
implicit,doubao-seed-2.0-lite,answer_reveal,student cue contrast,32,0.0078125,0.0,0.0234375,0.0078125,0.1625263663617667,
implicit,doubao-seed-2.0-lite,reasoning_elicitation,student cue contrast,32,-0.0703125,-0.125,-0.0234375,0.025682162344740616,0.9949232282927412,
implicit,glm-5.3,affect_acknowledgement,student cue contrast,32,0.84375,0.765625,0.9140625,0.040082450306594845,3.2015935046661596e-20,
implicit,glm-5.3,answer_reveal,student cue contrast,32,0.1875,0.125,0.25,0.035497614640441544,4.7828359605365735e-06,
implicit,glm-5.3,reasoning_elicitation,student cue contrast,32,-0.078125,-0.1328125,-0.03125,0.0261757301866911,0.9972507223922292,
peer_control,MiniMax-M2.7,affect_acknowledgement,peer quote contrast; own affect fixed calm,32,0.3046875,0.2109375,0.39082031249999716,0.04727234148160238,1.739118903798646e-07,
peer_control,MiniMax-M2.7,answer_reveal,peer quote contrast; own affect fixed calm,32,0.0,-0.0234375,0.0234375,0.01122533137667343,0.5,
peer_control,MiniMax-M2.7,reasoning_elicitation,peer quote contrast; own affect fixed calm,32,-0.0390625,-0.078125,0.0,0.02275553537320025,0.9519862766287629,
peer_control,MiniMax-M3,affect_acknowledgement,peer quote contrast; own affect fixed calm,32,0.25,0.15625,0.3359375,0.04893008507867579,7.849454712429441e-06,
peer_control,MiniMax-M3,answer_reveal,peer quote contrast; own affect fixed calm,32,0.03125,-0.0390625,0.109375,0.040082450306594845,0.22075651817870573,
peer_control,MiniMax-M3,reasoning_elicitation,peer quote contrast; own affect fixed calm,32,-0.0234375,-0.1328125,0.0859375,0.06185083737241845,0.6463407027179762,
peer_control,deepseek-v4-pro,affect_acknowledgement,peer quote contrast; own affect fixed calm,32,0.265625,0.1796875,0.3515625,0.04754229335295117,1.9945969602342435e-06,
peer_control,deepseek-v4-pro,answer_reveal,peer quote contrast; own affect fixed calm,32,0.0,0.0,0.0,0.0,1.0,Zero source variance; no t-test decision
peer_control,deepseek-v4-pro,reasoning_elicitation,peer quote contrast; own affect fixed calm,32,0.0078125,0.0,0.0234375,0.0078125,0.1625263663617667,
peer_control,doubao-seed-2.0-lite,affect_acknowledgement,peer quote contrast; own affect fixed calm,32,-0.046875,-0.1171875,0.03125,0.041148916959447224,0.868317566745773,
peer_control,doubao-seed-2.0-lite,answer_reveal,peer quote contrast; own affect fixed calm,32,0.0,0.0,0.0,0.0,1.0,Zero source variance; no t-test decision
peer_control,doubao-seed-2.0-lite,reasoning_elicitation,peer quote contrast; own affect fixed calm,32,-0.0390625,-0.0703125,-0.0078125,0.01979409825187393,0.9712916442584157,
peer_control,glm-5.3,affect_acknowledgement,peer quote contrast; own affect fixed calm,32,0.234375,0.140625,0.328125,0.04884954167414668,1.9151705251274908e-05,
peer_control,glm-5.3,answer_reveal,peer quote contrast; own affect fixed calm,32,0.015625,-0.0703125,0.1015625,0.04619806914517029,0.3687395884088956,
peer_control,glm-5.3,reasoning_elicitation,peer quote contrast; own affect fixed calm,32,0.0,-0.0546875,0.0546875,0.029699435206968213,0.5,
