arm,cue_family,model,event,size,mean
explicit,3,doubao-seed-2.0-lite,affect_acknowledgement,64,0.53125
explicit,3,doubao-seed-2.0-lite,answer_reveal,64,1.0
explicit,3,doubao-seed-2.0-lite,reasoning_elicitation,64,0.03125
explicit,3,glm-5.3,affect_acknowledgement,64,0.71875
explicit,3,glm-5.3,answer_reveal,64,0.09375
explicit,3,glm-5.3,reasoning_elicitation,64,0.953125
implicit,0,MiniMax-M2.7,affect_acknowledgement,64,0.171875
implicit,0,MiniMax-M2.7,answer_reveal,64,0.984375
implicit,0,MiniMax-M2.7,reasoning_elicitation,64,0.0625
implicit,0,MiniMax-M3,affect_acknowledgement,64,0.484375
implicit,0,MiniMax-M3,answer_reveal,64,0.65625
implicit,0,MiniMax-M3,reasoning_elicitation,64,0.546875
implicit,0,deepseek-v4-pro,affect_acknowledgement,64,0.265625
implicit,0,deepseek-v4-pro,answer_reveal,64,0.828125
implicit,0,deepseek-v4-pro,reasoning_elicitation,64,0.171875
implicit,0,doubao-seed-2.0-lite,affect_acknowledgement,64,0.484375
implicit,0,doubao-seed-2.0-lite,answer_reveal,64,0.984375
implicit,0,doubao-seed-2.0-lite,reasoning_elicitation,64,0.015625
implicit,0,glm-5.3,affect_acknowledgement,64,0.46875
implicit,0,glm-5.3,answer_reveal,64,0.171875
implicit,0,glm-5.3,reasoning_elicitation,64,0.984375
implicit,1,MiniMax-M2.7,affect_acknowledgement,64,0.21875
implicit,1,MiniMax-M2.7,answer_reveal,64,1.0
implicit,1,MiniMax-M2.7,reasoning_elicitation,64,0.015625
implicit,1,MiniMax-M3,affect_acknowledgement,64,0.578125
implicit,1,MiniMax-M3,answer_reveal,64,0.890625
implicit,1,MiniMax-M3,reasoning_elicitation,64,0.453125
implicit,1,deepseek-v4-pro,affect_acknowledgement,64,0.40625
implicit,1,deepseek-v4-pro,answer_reveal,64,1.0
implicit,1,deepseek-v4-pro,reasoning_elicitation,64,0.046875
implicit,1,doubao-seed-2.0-lite,affect_acknowledgement,64,0.4375
implicit,1,doubao-seed-2.0-lite,answer_reveal,64,1.0
implicit,1,doubao-seed-2.0-lite,reasoning_elicitation,64,0.0625
implicit,1,glm-5.3,affect_acknowledgement,64,0.53125
implicit,1,glm-5.3,answer_reveal,64,0.34375
implicit,1,glm-5.3,reasoning_elicitation,64,0.921875
implicit,2,MiniMax-M2.7,affect_acknowledgement,64,0.359375
implicit,2,MiniMax-M2.7,answer_reveal,64,0.984375
implicit,2,MiniMax-M2.7,reasoning_elicitation,64,0.09375
implicit,2,MiniMax-M3,affect_acknowledgement,64,0.5
implicit,2,MiniMax-M3,answer_reveal,64,0.828125
implicit,2,MiniMax-M3,reasoning_elicitation,64,0.53125
implicit,2,deepseek-v4-pro,affect_acknowledgement,64,0.34375
implicit,2,deepseek-v4-pro,answer_reveal,64,0.96875
implicit,2,deepseek-v4-pro,reasoning_elicitation,64,0.0625
implicit,2,doubao-seed-2.0-lite,affect_acknowledgement,64,0.40625
implicit,2,doubao-seed-2.0-lite,answer_reveal,64,1.0
implicit,2,doubao-seed-2.0-lite,reasoning_elicitation,64,0.0625
implicit,2,glm-5.3,affect_acknowledgement,64,0.46875
implicit,2,glm-5.3,answer_reveal,64,0.203125
implicit,2,glm-5.3,reasoning_elicitation,64,0.9375
implicit,3,MiniMax-M2.7,affect_acknowledgement,64,0.34375
implicit,3,MiniMax-M2.7,answer_reveal,64,0.984375
implicit,3,MiniMax-M2.7,reasoning_elicitation,64,0.078125
implicit,3,MiniMax-M3,affect_acknowledgement,64,0.65625
implicit,3,MiniMax-M3,answer_reveal,64,0.84375
implicit,3,MiniMax-M3,reasoning_elicitation,64,0.515625
implicit,3,deepseek-v4-pro,affect_acknowledgement,64,0.40625
implicit,3,deepseek-v4-pro,answer_reveal,64,1.0
implicit,3,deepseek-v4-pro,reasoning_elicitation,64,0.015625
implicit,3,doubao-seed-2.0-lite,affect_acknowledgement,64,0.40625
implicit,3,doubao-seed-2.0-lite,answer_reveal,64,1.0
implicit,3,doubao-seed-2.0-lite,reasoning_elicitation,64,0.0
implicit,3,glm-5.3,affect_acknowledgement,64,0.59375
implicit,3,glm-5.3,answer_reveal,64,0.25
implicit,3,glm-5.3,reasoning_elicitation,64,0.96875
peer_control,fixed,MiniMax-M2.7,affect_acknowledgement,256,0.30859375
peer_control,fixed,MiniMax-M2.7,answer_reveal,256,0.9921875
peer_control,fixed,MiniMax-M2.7,reasoning_elicitation,256,0.05859375
peer_control,fixed,MiniMax-M3,affect_acknowledgement,256,0.65625
peer_control,fixed,MiniMax-M3,answer_reveal,256,0.921875
peer_control,fixed,MiniMax-M3,reasoning_elicitation,256,0.32421875
peer_control,fixed,deepseek-v4-pro,affect_acknowledgement,256,0.515625
peer_control,fixed,deepseek-v4-pro,answer_reveal,256,1.0
peer_control,fixed,deepseek-v4-pro,reasoning_elicitation,256,0.00390625
peer_control,fixed,doubao-seed-2.0-lite,affect_acknowledgement,256,0.34375
peer_control,fixed,doubao-seed-2.0-lite,answer_reveal,256,1.0
peer_control,fixed,doubao-seed-2.0-lite,reasoning_elicitation,256,0.02734375
peer_control,fixed,glm-5.3,affect_acknowledgement,256,0.6484375
peer_control,fixed,glm-5.3,answer_reveal,256,0.2265625
peer_control,fixed,glm-5.3,reasoning_elicitation,256,0.9609375
