source_family,model,event,arm,present
all_different_constraint,doubao-seed-2.0-lite,answer_reveal,neutral_b,1.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,ask,1.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.125
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,explain,0.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,0.0
all_different_constraint,doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,0.0
all_different_constraint,glm-5.3,affect_acknowledgement,ask,0.5
all_different_constraint,glm-5.3,affect_acknowledgement,canonical,0.5
all_different_constraint,glm-5.3,affect_acknowledgement,explain,0.625
all_different_constraint,glm-5.3,affect_acknowledgement,neutral_a,0.75
all_different_constraint,glm-5.3,affect_acknowledgement,neutral_b,1.0
all_different_constraint,glm-5.3,answer_reveal,ask,0.0
all_different_constraint,glm-5.3,answer_reveal,canonical,0.0
all_different_constraint,glm-5.3,answer_reveal,explain,1.0
all_different_constraint,glm-5.3,answer_reveal,neutral_a,0.0
all_different_constraint,glm-5.3,answer_reveal,neutral_b,0.5
all_different_constraint,glm-5.3,reasoning_elicitation,ask,1.0
all_different_constraint,glm-5.3,reasoning_elicitation,canonical,1.0
all_different_constraint,glm-5.3,reasoning_elicitation,explain,0.375
all_different_constraint,glm-5.3,reasoning_elicitation,neutral_a,1.0
all_different_constraint,glm-5.3,reasoning_elicitation,neutral_b,0.5
apostrophe_possession,MiniMax-M2.7,affect_acknowledgement,canonical,0.25
apostrophe_possession,MiniMax-M2.7,answer_reveal,canonical,1.0
apostrophe_possession,MiniMax-M2.7,reasoning_elicitation,canonical,0.0
apostrophe_possession,MiniMax-M3,affect_acknowledgement,canonical,0.75
apostrophe_possession,MiniMax-M3,answer_reveal,canonical,1.0
apostrophe_possession,MiniMax-M3,reasoning_elicitation,canonical,0.75
apostrophe_possession,deepseek-v4-pro,affect_acknowledgement,canonical,0.0
apostrophe_possession,deepseek-v4-pro,answer_reveal,canonical,1.0
apostrophe_possession,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
apostrophe_possession,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.375
apostrophe_possession,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
apostrophe_possession,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.125
apostrophe_possession,glm-5.3,affect_acknowledgement,canonical,0.25
apostrophe_possession,glm-5.3,answer_reveal,canonical,0.5
apostrophe_possession,glm-5.3,reasoning_elicitation,canonical,1.0
binary_place_value,MiniMax-M2.7,affect_acknowledgement,canonical,0.25
binary_place_value,MiniMax-M2.7,answer_reveal,canonical,0.875
binary_place_value,MiniMax-M2.7,reasoning_elicitation,canonical,0.25
binary_place_value,MiniMax-M3,affect_acknowledgement,canonical,0.875
binary_place_value,MiniMax-M3,answer_reveal,canonical,0.875
binary_place_value,MiniMax-M3,reasoning_elicitation,canonical,0.5
binary_place_value,deepseek-v4-pro,affect_acknowledgement,canonical,1.0
binary_place_value,deepseek-v4-pro,answer_reveal,canonical,1.0
binary_place_value,deepseek-v4-pro,reasoning_elicitation,canonical,0.125
binary_place_value,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.75
binary_place_value,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
binary_place_value,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
binary_place_value,glm-5.3,affect_acknowledgement,canonical,0.75
binary_place_value,glm-5.3,answer_reveal,canonical,0.0
binary_place_value,glm-5.3,reasoning_elicitation,canonical,1.0
binary_search_interval,MiniMax-M2.7,affect_acknowledgement,canonical,0.375
binary_search_interval,MiniMax-M2.7,answer_reveal,canonical,1.0
binary_search_interval,MiniMax-M2.7,reasoning_elicitation,canonical,0.0
binary_search_interval,MiniMax-M3,affect_acknowledgement,canonical,0.5
binary_search_interval,MiniMax-M3,answer_reveal,canonical,0.75
binary_search_interval,MiniMax-M3,reasoning_elicitation,canonical,0.75
binary_search_interval,deepseek-v4-pro,affect_acknowledgement,canonical,0.75
binary_search_interval,deepseek-v4-pro,answer_reveal,canonical,1.0
binary_search_interval,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
binary_search_interval,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.75
binary_search_interval,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
binary_search_interval,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
binary_search_interval,glm-5.3,affect_acknowledgement,canonical,0.625
binary_search_interval,glm-5.3,answer_reveal,canonical,0.25
binary_search_interval,glm-5.3,reasoning_elicitation,canonical,0.875
boyles_law,MiniMax-M2.7,affect_acknowledgement,ask,0.125
boyles_law,MiniMax-M2.7,affect_acknowledgement,canonical,0.25
boyles_law,MiniMax-M2.7,affect_acknowledgement,explain,0.5
boyles_law,MiniMax-M2.7,affect_acknowledgement,neutral_a,0.375
boyles_law,MiniMax-M2.7,affect_acknowledgement,neutral_b,0.125
boyles_law,MiniMax-M2.7,answer_reveal,ask,0.0
boyles_law,MiniMax-M2.7,answer_reveal,canonical,1.0
boyles_law,MiniMax-M2.7,answer_reveal,explain,1.0
boyles_law,MiniMax-M2.7,answer_reveal,neutral_a,1.0
boyles_law,MiniMax-M2.7,answer_reveal,neutral_b,1.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,ask,1.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,canonical,0.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,explain,0.125
boyles_law,MiniMax-M2.7,reasoning_elicitation,neutral_a,0.0
boyles_law,MiniMax-M2.7,reasoning_elicitation,neutral_b,0.125
boyles_law,MiniMax-M3,affect_acknowledgement,ask,0.5
boyles_law,MiniMax-M3,affect_acknowledgement,canonical,0.875
boyles_law,MiniMax-M3,affect_acknowledgement,explain,0.75
boyles_law,MiniMax-M3,affect_acknowledgement,neutral_a,0.75
boyles_law,MiniMax-M3,affect_acknowledgement,neutral_b,0.75
boyles_law,MiniMax-M3,answer_reveal,ask,0.0
boyles_law,MiniMax-M3,answer_reveal,canonical,0.75
boyles_law,MiniMax-M3,answer_reveal,explain,1.0
boyles_law,MiniMax-M3,answer_reveal,neutral_a,0.75
boyles_law,MiniMax-M3,answer_reveal,neutral_b,0.375
boyles_law,MiniMax-M3,reasoning_elicitation,ask,1.0
boyles_law,MiniMax-M3,reasoning_elicitation,canonical,0.25
boyles_law,MiniMax-M3,reasoning_elicitation,explain,0.25
boyles_law,MiniMax-M3,reasoning_elicitation,neutral_a,0.375
boyles_law,MiniMax-M3,reasoning_elicitation,neutral_b,0.625
boyles_law,deepseek-v4-pro,affect_acknowledgement,ask,0.75
boyles_law,deepseek-v4-pro,affect_acknowledgement,canonical,0.875
boyles_law,deepseek-v4-pro,affect_acknowledgement,explain,0.625
boyles_law,deepseek-v4-pro,affect_acknowledgement,neutral_a,0.625
boyles_law,deepseek-v4-pro,affect_acknowledgement,neutral_b,0.75
boyles_law,deepseek-v4-pro,answer_reveal,ask,0.0
boyles_law,deepseek-v4-pro,answer_reveal,canonical,1.0
boyles_law,deepseek-v4-pro,answer_reveal,explain,1.0
boyles_law,deepseek-v4-pro,answer_reveal,neutral_a,1.0
boyles_law,deepseek-v4-pro,answer_reveal,neutral_b,1.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,ask,1.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,explain,0.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,neutral_a,0.0
boyles_law,deepseek-v4-pro,reasoning_elicitation,neutral_b,0.0
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,ask,0.5
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.625
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,explain,0.375
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,0.75
boyles_law,doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,0.75
boyles_law,doubao-seed-2.0-lite,answer_reveal,ask,0.0
boyles_law,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
boyles_law,doubao-seed-2.0-lite,answer_reveal,explain,1.0
boyles_law,doubao-seed-2.0-lite,answer_reveal,neutral_a,1.0
boyles_law,doubao-seed-2.0-lite,answer_reveal,neutral_b,1.0
boyles_law,doubao-seed-2.0-lite,reasoning_elicitation,ask,1.0
boyles_law,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
boyles_law,doubao-seed-2.0-lite,reasoning_elicitation,explain,0.0
boyles_law,doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,0.0
boyles_law,doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,0.0
boyles_law,glm-5.3,affect_acknowledgement,ask,0.25
boyles_law,glm-5.3,affect_acknowledgement,canonical,0.375
boyles_law,glm-5.3,affect_acknowledgement,explain,0.5
boyles_law,glm-5.3,affect_acknowledgement,neutral_a,0.625
boyles_law,glm-5.3,affect_acknowledgement,neutral_b,0.875
boyles_law,glm-5.3,answer_reveal,ask,0.0
boyles_law,glm-5.3,answer_reveal,canonical,0.125
boyles_law,glm-5.3,answer_reveal,explain,1.0
boyles_law,glm-5.3,answer_reveal,neutral_a,0.125
boyles_law,glm-5.3,answer_reveal,neutral_b,0.5
boyles_law,glm-5.3,reasoning_elicitation,ask,1.0
boyles_law,glm-5.3,reasoning_elicitation,canonical,0.875
boyles_law,glm-5.3,reasoning_elicitation,explain,0.5
boyles_law,glm-5.3,reasoning_elicitation,neutral_a,0.875
boyles_law,glm-5.3,reasoning_elicitation,neutral_b,0.875
chemical_equation_balance,MiniMax-M2.7,affect_acknowledgement,canonical,0.25
chemical_equation_balance,MiniMax-M2.7,answer_reveal,canonical,1.0
chemical_equation_balance,MiniMax-M2.7,reasoning_elicitation,canonical,0.125
chemical_equation_balance,MiniMax-M3,affect_acknowledgement,canonical,0.75
chemical_equation_balance,MiniMax-M3,answer_reveal,canonical,0.75
chemical_equation_balance,MiniMax-M3,reasoning_elicitation,canonical,0.5
chemical_equation_balance,deepseek-v4-pro,affect_acknowledgement,canonical,0.875
chemical_equation_balance,deepseek-v4-pro,answer_reveal,canonical,1.0
chemical_equation_balance,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
chemical_equation_balance,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.75
chemical_equation_balance,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
chemical_equation_balance,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
chemical_equation_balance,glm-5.3,affect_acknowledgement,canonical,0.625
chemical_equation_balance,glm-5.3,answer_reveal,canonical,0.25
chemical_equation_balance,glm-5.3,reasoning_elicitation,canonical,1.0
contrast_connective,MiniMax-M2.7,affect_acknowledgement,canonical,0.375
contrast_connective,MiniMax-M2.7,answer_reveal,canonical,1.0
contrast_connective,MiniMax-M2.7,reasoning_elicitation,canonical,0.25
contrast_connective,MiniMax-M3,affect_acknowledgement,canonical,0.125
contrast_connective,MiniMax-M3,answer_reveal,canonical,1.0
contrast_connective,MiniMax-M3,reasoning_elicitation,canonical,0.25
contrast_connective,deepseek-v4-pro,affect_acknowledgement,canonical,0.375
contrast_connective,deepseek-v4-pro,answer_reveal,canonical,1.0
contrast_connective,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
contrast_connective,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.375
contrast_connective,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
contrast_connective,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
contrast_connective,glm-5.3,affect_acknowledgement,canonical,0.25
contrast_connective,glm-5.3,answer_reveal,canonical,0.625
contrast_connective,glm-5.3,reasoning_elicitation,canonical,1.0
direct_speech_punctuation,MiniMax-M2.7,affect_acknowledgement,ask,0.0
direct_speech_punctuation,MiniMax-M2.7,affect_acknowledgement,canonical,0.125
direct_speech_punctuation,MiniMax-M2.7,affect_acknowledgement,explain,0.125
direct_speech_punctuation,MiniMax-M2.7,affect_acknowledgement,neutral_a,0.125
direct_speech_punctuation,MiniMax-M2.7,affect_acknowledgement,neutral_b,0.375
direct_speech_punctuation,MiniMax-M2.7,answer_reveal,ask,0.25
direct_speech_punctuation,MiniMax-M2.7,answer_reveal,canonical,1.0
direct_speech_punctuation,MiniMax-M2.7,answer_reveal,explain,1.0
direct_speech_punctuation,MiniMax-M2.7,answer_reveal,neutral_a,1.0
direct_speech_punctuation,MiniMax-M2.7,answer_reveal,neutral_b,1.0
direct_speech_punctuation,MiniMax-M2.7,reasoning_elicitation,ask,1.0
direct_speech_punctuation,MiniMax-M2.7,reasoning_elicitation,canonical,0.0
direct_speech_punctuation,MiniMax-M2.7,reasoning_elicitation,explain,0.0
direct_speech_punctuation,MiniMax-M2.7,reasoning_elicitation,neutral_a,0.25
direct_speech_punctuation,MiniMax-M2.7,reasoning_elicitation,neutral_b,0.0
direct_speech_punctuation,MiniMax-M3,affect_acknowledgement,ask,0.375
direct_speech_punctuation,MiniMax-M3,affect_acknowledgement,canonical,0.5
direct_speech_punctuation,MiniMax-M3,affect_acknowledgement,explain,0.5
direct_speech_punctuation,MiniMax-M3,affect_acknowledgement,neutral_a,0.625
direct_speech_punctuation,MiniMax-M3,affect_acknowledgement,neutral_b,0.625
direct_speech_punctuation,MiniMax-M3,answer_reveal,ask,0.125
direct_speech_punctuation,MiniMax-M3,answer_reveal,canonical,1.0
direct_speech_punctuation,MiniMax-M3,answer_reveal,explain,1.0
direct_speech_punctuation,MiniMax-M3,answer_reveal,neutral_a,1.0
direct_speech_punctuation,MiniMax-M3,answer_reveal,neutral_b,0.875
direct_speech_punctuation,MiniMax-M3,reasoning_elicitation,ask,1.0
direct_speech_punctuation,MiniMax-M3,reasoning_elicitation,canonical,0.5
direct_speech_punctuation,MiniMax-M3,reasoning_elicitation,explain,0.5
direct_speech_punctuation,MiniMax-M3,reasoning_elicitation,neutral_a,0.25
direct_speech_punctuation,MiniMax-M3,reasoning_elicitation,neutral_b,0.375
direct_speech_punctuation,deepseek-v4-pro,affect_acknowledgement,ask,0.375
direct_speech_punctuation,deepseek-v4-pro,affect_acknowledgement,canonical,0.125
direct_speech_punctuation,deepseek-v4-pro,affect_acknowledgement,explain,0.0
direct_speech_punctuation,deepseek-v4-pro,affect_acknowledgement,neutral_a,0.125
direct_speech_punctuation,deepseek-v4-pro,affect_acknowledgement,neutral_b,0.125
direct_speech_punctuation,deepseek-v4-pro,answer_reveal,ask,0.0
direct_speech_punctuation,deepseek-v4-pro,answer_reveal,canonical,1.0
direct_speech_punctuation,deepseek-v4-pro,answer_reveal,explain,1.0
direct_speech_punctuation,deepseek-v4-pro,answer_reveal,neutral_a,1.0
direct_speech_punctuation,deepseek-v4-pro,answer_reveal,neutral_b,1.0
direct_speech_punctuation,deepseek-v4-pro,reasoning_elicitation,ask,1.0
direct_speech_punctuation,deepseek-v4-pro,reasoning_elicitation,canonical,0.0
direct_speech_punctuation,deepseek-v4-pro,reasoning_elicitation,explain,0.0
direct_speech_punctuation,deepseek-v4-pro,reasoning_elicitation,neutral_a,0.0
direct_speech_punctuation,deepseek-v4-pro,reasoning_elicitation,neutral_b,0.0
direct_speech_punctuation,doubao-seed-2.0-lite,affect_acknowledgement,ask,0.25
direct_speech_punctuation,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.5
direct_speech_punctuation,doubao-seed-2.0-lite,affect_acknowledgement,explain,0.5
direct_speech_punctuation,doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,0.625
direct_speech_punctuation,doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,0.5
direct_speech_punctuation,doubao-seed-2.0-lite,answer_reveal,ask,0.0
direct_speech_punctuation,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
direct_speech_punctuation,doubao-seed-2.0-lite,answer_reveal,explain,1.0
direct_speech_punctuation,doubao-seed-2.0-lite,answer_reveal,neutral_a,1.0
direct_speech_punctuation,doubao-seed-2.0-lite,answer_reveal,neutral_b,1.0
direct_speech_punctuation,doubao-seed-2.0-lite,reasoning_elicitation,ask,1.0
direct_speech_punctuation,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.0
direct_speech_punctuation,doubao-seed-2.0-lite,reasoning_elicitation,explain,0.125
direct_speech_punctuation,doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,0.0
direct_speech_punctuation,doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,0.0
direct_speech_punctuation,glm-5.3,affect_acknowledgement,ask,0.5
direct_speech_punctuation,glm-5.3,affect_acknowledgement,canonical,0.5
direct_speech_punctuation,glm-5.3,affect_acknowledgement,explain,0.5
direct_speech_punctuation,glm-5.3,affect_acknowledgement,neutral_a,0.25
direct_speech_punctuation,glm-5.3,affect_acknowledgement,neutral_b,0.375
direct_speech_punctuation,glm-5.3,answer_reveal,ask,0.0
direct_speech_punctuation,glm-5.3,answer_reveal,canonical,0.875
direct_speech_punctuation,glm-5.3,answer_reveal,explain,1.0
direct_speech_punctuation,glm-5.3,answer_reveal,neutral_a,0.875
direct_speech_punctuation,glm-5.3,answer_reveal,neutral_b,1.0
direct_speech_punctuation,glm-5.3,reasoning_elicitation,ask,1.0
direct_speech_punctuation,glm-5.3,reasoning_elicitation,canonical,1.0
direct_speech_punctuation,glm-5.3,reasoning_elicitation,explain,0.875
direct_speech_punctuation,glm-5.3,reasoning_elicitation,neutral_a,1.0
direct_speech_punctuation,glm-5.3,reasoning_elicitation,neutral_b,0.75
exclusive_or,MiniMax-M2.7,affect_acknowledgement,ask,0.375
exclusive_or,MiniMax-M2.7,affect_acknowledgement,canonical,0.25
exclusive_or,MiniMax-M2.7,affect_acknowledgement,explain,0.0
exclusive_or,MiniMax-M2.7,affect_acknowledgement,neutral_a,0.625
exclusive_or,MiniMax-M2.7,affect_acknowledgement,neutral_b,0.25
exclusive_or,MiniMax-M2.7,answer_reveal,ask,0.0
exclusive_or,MiniMax-M2.7,answer_reveal,canonical,1.0
exclusive_or,MiniMax-M2.7,answer_reveal,explain,1.0
exclusive_or,MiniMax-M2.7,answer_reveal,neutral_a,1.0
exclusive_or,MiniMax-M2.7,answer_reveal,neutral_b,1.0
exclusive_or,MiniMax-M2.7,reasoning_elicitation,ask,1.0
exclusive_or,MiniMax-M2.7,reasoning_elicitation,canonical,0.125
exclusive_or,MiniMax-M2.7,reasoning_elicitation,explain,0.0
exclusive_or,MiniMax-M2.7,reasoning_elicitation,neutral_a,0.0
exclusive_or,MiniMax-M2.7,reasoning_elicitation,neutral_b,0.375
exclusive_or,MiniMax-M3,affect_acknowledgement,ask,0.5
exclusive_or,MiniMax-M3,affect_acknowledgement,canonical,0.75
exclusive_or,MiniMax-M3,affect_acknowledgement,explain,0.375
exclusive_or,MiniMax-M3,affect_acknowledgement,neutral_a,0.75
exclusive_or,MiniMax-M3,affect_acknowledgement,neutral_b,0.5
exclusive_or,MiniMax-M3,answer_reveal,ask,0.0
exclusive_or,MiniMax-M3,answer_reveal,canonical,0.75
exclusive_or,MiniMax-M3,answer_reveal,explain,1.0
exclusive_or,MiniMax-M3,answer_reveal,neutral_a,0.75
exclusive_or,MiniMax-M3,answer_reveal,neutral_b,1.0
exclusive_or,MiniMax-M3,reasoning_elicitation,ask,1.0
exclusive_or,MiniMax-M3,reasoning_elicitation,canonical,0.75
exclusive_or,MiniMax-M3,reasoning_elicitation,explain,0.625
exclusive_or,MiniMax-M3,reasoning_elicitation,neutral_a,0.625
exclusive_or,MiniMax-M3,reasoning_elicitation,neutral_b,0.875
exclusive_or,deepseek-v4-pro,affect_acknowledgement,ask,0.625
exclusive_or,deepseek-v4-pro,affect_acknowledgement,canonical,0.625
exclusive_or,deepseek-v4-pro,affect_acknowledgement,explain,0.375
exclusive_or,deepseek-v4-pro,affect_acknowledgement,neutral_a,0.5
exclusive_or,deepseek-v4-pro,affect_acknowledgement,neutral_b,0.625
exclusive_or,deepseek-v4-pro,answer_reveal,ask,0.0
exclusive_or,deepseek-v4-pro,answer_reveal,canonical,1.0
exclusive_or,deepseek-v4-pro,answer_reveal,explain,1.0
exclusive_or,deepseek-v4-pro,answer_reveal,neutral_a,1.0
exclusive_or,deepseek-v4-pro,answer_reveal,neutral_b,1.0
exclusive_or,deepseek-v4-pro,reasoning_elicitation,ask,1.0
exclusive_or,deepseek-v4-pro,reasoning_elicitation,canonical,0.125
exclusive_or,deepseek-v4-pro,reasoning_elicitation,explain,0.0
exclusive_or,deepseek-v4-pro,reasoning_elicitation,neutral_a,0.0
exclusive_or,deepseek-v4-pro,reasoning_elicitation,neutral_b,0.0
exclusive_or,doubao-seed-2.0-lite,affect_acknowledgement,ask,0.625
exclusive_or,doubao-seed-2.0-lite,affect_acknowledgement,canonical,0.5
exclusive_or,doubao-seed-2.0-lite,affect_acknowledgement,explain,0.625
exclusive_or,doubao-seed-2.0-lite,affect_acknowledgement,neutral_a,0.5
exclusive_or,doubao-seed-2.0-lite,affect_acknowledgement,neutral_b,0.5
exclusive_or,doubao-seed-2.0-lite,answer_reveal,ask,0.0
exclusive_or,doubao-seed-2.0-lite,answer_reveal,canonical,1.0
exclusive_or,doubao-seed-2.0-lite,answer_reveal,explain,1.0
exclusive_or,doubao-seed-2.0-lite,answer_reveal,neutral_a,1.0
exclusive_or,doubao-seed-2.0-lite,answer_reveal,neutral_b,1.0
exclusive_or,doubao-seed-2.0-lite,reasoning_elicitation,ask,1.0
exclusive_or,doubao-seed-2.0-lite,reasoning_elicitation,canonical,0.125
exclusive_or,doubao-seed-2.0-lite,reasoning_elicitation,explain,0.125
exclusive_or,doubao-seed-2.0-lite,reasoning_elicitation,neutral_a,0.125
exclusive_or,doubao-seed-2.0-lite,reasoning_elicitation,neutral_b,0.0
exclusive_or,glm-5.3,affect_acknowledgement,ask,0.375
exclusive_or,glm-5.3,affect_acknowledgement,canonical,0.5
exclusive_or,glm-5.3,affect_acknowledgement,explain,0.5
exclusive_or,glm-5.3,affect_acknowledgement,neutral_a,0.75
exclusive_or,glm-5.3,affect_acknowledgement,neutral_b,0.5
exclusive_or,glm-5.3,answer_reveal,ask,0.0
exclusive_or,glm-5.3,answer_reveal,canonical,0.125
exclusive_or,glm-5.3,answer_reveal,explain,1.0
exclusive_or,glm-5.3,answer_reveal,neutral_a,0.25
exclusive_or,glm-5.3,answer_reveal,neutral_b,0.375
exclusive_or,glm-5.3,reasoning_elicitation,ask,1.0
exclusive_or,glm-5.3,reasoning_elicitation,canonical,0.875
exclusive_or,glm-5.3,reasoning_elicitation,explain,0.25
exclusive_or,glm-5.3,reasoning_elicitation,neutral_a,1.0
exclusive_or,glm-5.3,reasoning_elicitation,neutral_b,1.0
