model,event,template,present
MiniMax-M3,information_request,ratio_partition,0.0
MiniMax-M3,information_request,simple_inheritance,0.0
MiniMax-M3,information_request,universal_counterexample,0.0
MiniMax-M3,learner_choice,past_tense,0.0
MiniMax-M3,learner_choice,ratio_partition,0.0
MiniMax-M3,learner_choice,simple_inheritance,0.5
MiniMax-M3,learner_choice,universal_counterexample,0.0
MiniMax-M3,reasoning_elicitation,past_tense,1.0
MiniMax-M3,reasoning_elicitation,ratio_partition,1.0
MiniMax-M3,reasoning_elicitation,simple_inheritance,0.5
MiniMax-M3,reasoning_elicitation,universal_counterexample,0.5
MiniMax-M3,unsupported_ability_claim,past_tense,0.0
MiniMax-M3,unsupported_ability_claim,ratio_partition,0.0
MiniMax-M3,unsupported_ability_claim,simple_inheritance,0.0
MiniMax-M3,unsupported_ability_claim,universal_counterexample,0.0
MiniMax-M3,worked_explanation,past_tense,1.0
MiniMax-M3,worked_explanation,ratio_partition,0.5
MiniMax-M3,worked_explanation,simple_inheritance,1.0
MiniMax-M3,worked_explanation,universal_counterexample,1.0
deepseek-v4-pro,affect_acknowledgement,past_tense,0.0
deepseek-v4-pro,affect_acknowledgement,ratio_partition,1.0
deepseek-v4-pro,affect_acknowledgement,simple_inheritance,0.0
deepseek-v4-pro,affect_acknowledgement,universal_counterexample,0.5
deepseek-v4-pro,answer_reveal,past_tense,1.0
deepseek-v4-pro,answer_reveal,ratio_partition,1.0
deepseek-v4-pro,answer_reveal,simple_inheritance,1.0
deepseek-v4-pro,answer_reveal,universal_counterexample,1.0
deepseek-v4-pro,epistemic_qualification,past_tense,0.5
deepseek-v4-pro,epistemic_qualification,ratio_partition,0.0
deepseek-v4-pro,epistemic_qualification,simple_inheritance,0.0
deepseek-v4-pro,epistemic_qualification,universal_counterexample,0.0
deepseek-v4-pro,information_request,past_tense,0.0
deepseek-v4-pro,information_request,ratio_partition,0.0
deepseek-v4-pro,information_request,simple_inheritance,0.0
deepseek-v4-pro,information_request,universal_counterexample,0.0
deepseek-v4-pro,learner_choice,past_tense,0.0
deepseek-v4-pro,learner_choice,ratio_partition,0.0
deepseek-v4-pro,learner_choice,simple_inheritance,0.0
deepseek-v4-pro,learner_choice,universal_counterexample,0.0
deepseek-v4-pro,reasoning_elicitation,past_tense,0.0
deepseek-v4-pro,reasoning_elicitation,ratio_partition,0.0
deepseek-v4-pro,reasoning_elicitation,simple_inheritance,0.0
deepseek-v4-pro,reasoning_elicitation,universal_counterexample,0.0
deepseek-v4-pro,unsupported_ability_claim,past_tense,0.0
deepseek-v4-pro,unsupported_ability_claim,ratio_partition,0.0
deepseek-v4-pro,unsupported_ability_claim,simple_inheritance,0.0
deepseek-v4-pro,unsupported_ability_claim,universal_counterexample,0.5
deepseek-v4-pro,worked_explanation,past_tense,1.0
deepseek-v4-pro,worked_explanation,ratio_partition,1.0
deepseek-v4-pro,worked_explanation,simple_inheritance,1.0
deepseek-v4-pro,worked_explanation,universal_counterexample,1.0
doubao-seed-2.0-lite,affect_acknowledgement,past_tense,0.0
doubao-seed-2.0-lite,affect_acknowledgement,ratio_partition,0.5
doubao-seed-2.0-lite,affect_acknowledgement,simple_inheritance,0.0
doubao-seed-2.0-lite,affect_acknowledgement,universal_counterexample,0.0
doubao-seed-2.0-lite,answer_reveal,past_tense,1.0
doubao-seed-2.0-lite,answer_reveal,ratio_partition,1.0
doubao-seed-2.0-lite,answer_reveal,simple_inheritance,1.0
doubao-seed-2.0-lite,answer_reveal,universal_counterexample,1.0
doubao-seed-2.0-lite,epistemic_qualification,past_tense,0.0
doubao-seed-2.0-lite,epistemic_qualification,ratio_partition,0.0
doubao-seed-2.0-lite,epistemic_qualification,simple_inheritance,0.0
doubao-seed-2.0-lite,epistemic_qualification,universal_counterexample,0.0
doubao-seed-2.0-lite,information_request,past_tense,0.0
doubao-seed-2.0-lite,information_request,ratio_partition,0.0
doubao-seed-2.0-lite,information_request,simple_inheritance,0.0
doubao-seed-2.0-lite,information_request,universal_counterexample,0.0
doubao-seed-2.0-lite,learner_choice,past_tense,0.0
doubao-seed-2.0-lite,learner_choice,ratio_partition,0.0
doubao-seed-2.0-lite,learner_choice,simple_inheritance,0.0
doubao-seed-2.0-lite,learner_choice,universal_counterexample,0.0
doubao-seed-2.0-lite,reasoning_elicitation,past_tense,0.0
doubao-seed-2.0-lite,reasoning_elicitation,ratio_partition,0.5
doubao-seed-2.0-lite,reasoning_elicitation,simple_inheritance,0.0
doubao-seed-2.0-lite,reasoning_elicitation,universal_counterexample,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,past_tense,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,ratio_partition,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,simple_inheritance,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,universal_counterexample,0.0
doubao-seed-2.0-lite,worked_explanation,past_tense,1.0
doubao-seed-2.0-lite,worked_explanation,ratio_partition,1.0
doubao-seed-2.0-lite,worked_explanation,simple_inheritance,1.0
doubao-seed-2.0-lite,worked_explanation,universal_counterexample,1.0
glm-5.3,affect_acknowledgement,past_tense,0.5
glm-5.3,affect_acknowledgement,ratio_partition,0.5
glm-5.3,affect_acknowledgement,simple_inheritance,0.0
glm-5.3,affect_acknowledgement,universal_counterexample,0.0
glm-5.3,answer_reveal,past_tense,0.5
glm-5.3,answer_reveal,ratio_partition,0.0
glm-5.3,answer_reveal,simple_inheritance,0.0
glm-5.3,answer_reveal,universal_counterexample,0.5
glm-5.3,epistemic_qualification,past_tense,0.0
glm-5.3,epistemic_qualification,ratio_partition,0.0
glm-5.3,epistemic_qualification,simple_inheritance,0.0
glm-5.3,epistemic_qualification,universal_counterexample,0.0
glm-5.3,information_request,past_tense,0.0
glm-5.3,information_request,ratio_partition,0.0
glm-5.3,information_request,simple_inheritance,0.0
glm-5.3,information_request,universal_counterexample,0.0
glm-5.3,learner_choice,past_tense,0.0
glm-5.3,learner_choice,ratio_partition,0.0
glm-5.3,learner_choice,simple_inheritance,0.0
glm-5.3,learner_choice,universal_counterexample,0.0
glm-5.3,reasoning_elicitation,past_tense,1.0
glm-5.3,reasoning_elicitation,ratio_partition,1.0
glm-5.3,reasoning_elicitation,simple_inheritance,1.0
glm-5.3,reasoning_elicitation,universal_counterexample,1.0
glm-5.3,unsupported_ability_claim,past_tense,0.0
glm-5.3,unsupported_ability_claim,ratio_partition,0.0
glm-5.3,unsupported_ability_claim,simple_inheritance,0.0
glm-5.3,unsupported_ability_claim,universal_counterexample,0.0
glm-5.3,worked_explanation,past_tense,1.0
glm-5.3,worked_explanation,ratio_partition,0.0
glm-5.3,worked_explanation,simple_inheritance,0.5
glm-5.3,worked_explanation,universal_counterexample,1.0
